nice: cannot set niceness: Permission denied
Precompiling packages...
   1578.2 ms  ✓ nghttp2_jll
   1678.5 ms  ✓ CompilerSupportLibraries_jll
   1683.4 ms  ✓ UUIDs
   1761.8 ms  ✓ MozillaCACerts_jll
   1772.6 ms  ✓ Logging
   1776.3 ms  ✓ Unicode
   1809.8 ms  ✓ OpenSSL_jll
   1791.9 ms  ✓ Zlib_jll
   1845.0 ms  ✓ NetworkOptions
   1933.3 ms  ✓ Base64
    526.6 ms  ✓ LibSSH2_jll
    629.3 ms  ✓ p7zip_jll
    688.4 ms  ✓ Printf
    458.4 ms  ✓ LibGit2_jll
    462.4 ms  ✓ LibCURL_jll
   3300.1 ms  ✓ ArgTools
    880.2 ms  ✓ LibCURL
    691.0 ms  ✓ Tar
   3077.4 ms  ✓ Dates
   3163.6 ms  ✓ LibGit2
    455.6 ms  ✓ TOML
   3025.2 ms  ✓ Downloads
   9580.2 ms  ✓ StyledStrings
   1702.6 ms  ✓ JuliaSyntaxHighlighting
   3867.8 ms  ✓ Markdown
  47496.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2383.9 ms  ✓ ConcreteStructs
   2482.5 ms  ✓ MuladdMacro
   2491.0 ms  ✓ Future
   2589.8 ms  ✓ ExprTools
   2593.5 ms  ✓ IteratorInterfaceExtensions
   2648.7 ms  ✓ StatsAPI
   2777.1 ms  ✓ PositiveFactorizations
   3377.2 ms  ✓ AbstractFFTs
   3976.1 ms  ✓ ADTypes
   4283.3 ms  ✓ Serialization
   4773.6 ms  ✓ FillArrays
   2517.4 ms  ✓ OpenLibm_jll
   2608.9 ms  ✓ CommonSolve
   2902.8 ms  ✓ InverseFunctions
   5496.0 ms  ✓ InitialValues
   5601.2 ms  ✓ Combinatorics
   3091.0 ms  ✓ IterTools
   3035.0 ms  ✓ SuiteSparse_jll
   3395.9 ms  ✓ Statistics
   2706.4 ms  ✓ ManualMemory
   2610.5 ms  ✓ EnumX
   2489.6 ms  ✓ Reexport
   2313.9 ms  ✓ SIMDTypes
   2595.0 ms  ✓ Mmap
   2302.2 ms  ✓ PtrArrays
   2660.0 ms  ✓ CompositionsBase
   4388.8 ms  ✓ Requires
   3198.2 ms  ✓ AbstractTrees
   4449.5 ms  ✓ DocStringExtensions
   2601.5 ms  ✓ FastPower
   2396.2 ms  ✓ TaskLocalValues
   5392.1 ms  ✓ SpatialIndexing
  10487.2 ms  ✓ FunctionWrappers
  10561.8 ms  ✓ Bessels
   2910.3 ms  ✓ HashArrayMappedTries
   2901.2 ms  ✓ StableTasks
   2748.8 ms  ✓ IfElse
   3085.8 ms  ✓ CPUTime
   3507.4 ms  ✓ EnzymeCore
   2244.9 ms  ✓ CommonWorldInvalidations
   2582.9 ms  ✓ FastClosures
   2789.0 ms  ✓ DataAPI
   2699.9 ms  ✓ ChunkSplitters
   2801.7 ms  ✓ StaticArraysCore
   9806.8 ms  ✓ OrderedCollections
   3303.5 ms  ✓ SciMLPublic
   3593.3 ms  ✓ LoggingExtras
  14787.1 ms  ✓ ExproniconLite
   4380.9 ms  ✓ CpuId
   3900.8 ms  ✓ Preferences
   2305.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4994.8 ms  ✓ LazyArtifacts
   2500.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   8912.7 ms  ✓ ConstructionBase
   2805.4 ms  ✓ AliasTables
   2590.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  13565.4 ms  ✓ IrrationalConstants
   2788.2 ms  ✓ Adapt
   2899.4 ms  ✓ FunctionWrappersWrappers
   3485.6 ms  ✓ ScopedValues
  18319.1 ms  ✓ MacroTools
   2897.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   8898.7 ms  ✓ RuntimeGeneratedFunctions
  10309.1 ms  ✓ Compat
   9066.9 ms  ✓ NaNMath
   3245.3 ms  ✓ DiffResults
   8891.3 ms  ✓ DataStructures
   2805.1 ms  ✓ PrecompileTools
  12905.6 ms  ✓ InteractiveUtils
   3005.7 ms  ✓ JLLWrappers
  11578.3 ms  ✓ DifferentiationInterface
   2507.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10502.6 ms  ✓ Distances
   2580.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3492.2 ms  ✓ SciMLLogging
  10595.3 ms  ✓ ThreadingUtilities
   3669.8 ms  ✓ GPUArraysCore
   3948.5 ms  ✓ LogExpFunctions
   2793.8 ms  ✓ EnzymeCore → AdaptExt
   3088.1 ms  ✓ TruncatedStacktraces
   3095.1 ms  ✓ CommonSubexpressions
   2938.9 ms  ✓ SortingAlgorithms
   9092.4 ms  ✓ Missings
   2993.0 ms  ✓ Compat → CompatLinearAlgebraExt
  16912.1 ms  ✓ Distributed
   9702.3 ms  ✓ Jieko
   4185.9 ms  ✓ Rmath_jll
   4090.5 ms  ✓ FFTW_jll
   4003.1 ms  ✓ OpenSpecFun_jll
   2589.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2172.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  10785.8 ms  ✓ ArrayInterface
   8708.7 ms  ✓ RecipesBase
   6416.5 ms  ✓ IntelOpenMP_jll
   6905.2 ms  ✓ oneTBB_jll
  10286.6 ms  ✓ QuadGK
   4201.9 ms  ✓ ProgressMeter
   1994.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2218.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   6202.8 ms  ✓ Setfield
   3802.1 ms  ✓ Rmath
   3692.0 ms  ✓ PreallocationTools
   2287.5 ms  ✓ FiniteDiff
   1413.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4729.8 ms  ✓ MKL_jll
   6016.3 ms  ✓ SciMLStructures
  11702.8 ms  ✓ Accessors
  21708.5 ms  ✓ SparseArrays
   9197.8 ms  ✓ SpecialFunctions
   2883.2 ms  ✓ Accessors → LinearAlgebraExt
   2795.3 ms  ✓ SuiteSparse
   3607.6 ms  ✓ Statistics → SparseArraysExt
  19244.7 ms  ✓ Test
   4016.4 ms  ✓ Adapt → AdaptSparseArraysExt
   3913.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  19615.9 ms  ✓ Static
   4258.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4300.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   4140.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4592.9 ms  ✓ Distances → DistancesSparseArraysExt
   3801.9 ms  ✓ DiffRules
   5313.8 ms  ✓ HypergeometricFunctions
   3458.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   4282.9 ms  ✓ BangBang
   3685.4 ms  ✓ Accessors → TestExt
   4799.1 ms  ✓ PDMats
   2598.9 ms  ✓ BitTwiddlingConvenienceFunctions
   8091.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3498.8 ms  ✓ FillArrays → FillArraysPDMatsExt
   5493.4 ms  ✓ CPUSummary
  11983.3 ms  ✓ SymbolicIndexingInterface
   2792.8 ms  ✓ PolyesterWeave
  13992.3 ms  ✓ SciMLOperators
   9793.1 ms  ✓ OhMyThreads
  15824.8 ms  ✓ StatsBase
  37098.6 ms  ✓ StaticArrays
   3105.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4205.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3603.9 ms  ✓ OhMyThreads → MarkdownExt
  15016.2 ms  ✓ StatsFuns
   3593.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3780.2 ms  ✓ Adapt → AdaptStaticArraysExt
   3919.9 ms  ✓ PDMats → StatsBaseExt
   3986.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3402.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4787.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  22312.7 ms  ✓ Roots
   3203.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3784.6 ms  ✓ BangBang → BangBangStaticArraysExt
   6401.2 ms  ✓ Accessors → StaticArraysExt
  23007.1 ms  ✓ ForwardDiff
  16500.0 ms  ✓ RecursiveArrayTools
   3115.4 ms  ✓ Roots → RootsForwardDiffExt
   3590.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   4712.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   4490.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4907.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   6989.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  48740.1 ms  ✓ Moshi
  55925.1 ms  ✓ Parsers
  41760.9 ms  ✓ FFTW
   8412.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  17450.9 ms  ✓ NearestNeighbors
   2187.1 ms  ✓ NLSolversBase
   3319.3 ms  ✓ JSON
   1667.9 ms  ✓ Neighborhood
  19404.4 ms  ✓ Distributions
   2951.7 ms  ✓ Clustering
   3329.3 ms  ✓ LineSearches
   1998.6 ms  ✓ Distributions → DistributionsTestExt
   3117.5 ms  ✓ StateSpaceSets
   3267.0 ms  ✓ Optim
   3312.4 ms  ✓ DelayEmbeddings
   6460.2 ms  ✓ BlackBoxOptim
  20638.5 ms  ✓ SciMLBase
  52458.5 ms  ✓ StaticArrayInterface
  60656.7 ms  ✓ Polynomials
   1470.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    742.3 ms  ✓ CloseOpenIntervals
    841.0 ms  ✓ LayoutPointers
    882.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2098.7 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
    985.4 ms  ✓ Polynomials → PolynomialsFFTWExt
   2618.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    731.4 ms  ✓ StrideArraysCore
    582.2 ms  ✓ Polyester
    612.0 ms  ✓ FastBroadcast
    581.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2127.4 ms  ✓ DSP
   1914.2 ms  ✓ DiffEqBase
   2506.7 ms  ✓ Wavelets
   1080.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1122.9 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2841.7 ms  ✓ OrdinaryDiffEqCore
    918.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3170.6 ms  ✓ ComplexityMeasures
   4318.0 ms  ✓ OrdinaryDiffEqTsit5
   2408.4 ms  ✓ DynamicalSystemsBase
   3246.9 ms  ✓ Attractors
  199 dependencies successfully precompiled in 121 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.3 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 582.59
	System time (seconds): 48.14
	Percent of CPU this job got: 341%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:04.75
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2151776
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 693
	Minor (reclaiming a frame) page faults: 11864397
	Voluntary context switches: 31810
	Involuntary context switches: 71033
	Swaps: 0
	File system inputs: 0
	File system outputs: 1025672
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
