nice: cannot set niceness: Permission denied
Precompiling packages...
    398.9 ms  ✓ CPUTime
    419.1 ms  ✓ Reexport
    555.6 ms  ✓ ConstructionBase
    468.9 ms  ✓ StatsAPI
    611.7 ms  ✓ IterTools
    451.7 ms  ✓ CommonSolve
   1346.4 ms  ✓ IrrationalConstants
   1054.1 ms  ✓ Combinatorics
    588.5 ms  ✓ StableTasks
    527.9 ms  ✓ StaticArraysCore
    605.1 ms  ✓ Statistics
    531.3 ms  ✓ ChunkSplitters
    439.8 ms  ✓ IfElse
    859.5 ms  ✓ SuiteSparse_jll
    720.3 ms  ✓ EnzymeCore
    499.2 ms  ✓ PtrArrays
    540.6 ms  ✓ Mmap
    483.3 ms  ✓ TaskLocalValues
    548.0 ms  ✓ ManualMemory
    532.3 ms  ✓ PositiveFactorizations
    487.4 ms  ✓ DataAPI
    429.8 ms  ✓ CommonWorldInvalidations
    848.7 ms  ✓ SciMLPublic
    418.7 ms  ✓ Future
    435.7 ms  ✓ FastPower
    440.7 ms  ✓ CompositionsBase
    510.0 ms  ✓ InverseFunctions
    618.2 ms  ✓ AbstractTrees
    493.7 ms  ✓ MuladdMacro
    706.9 ms  ✓ AbstractFFTs
    581.8 ms  ✓ EnumX
   2353.2 ms  ✓ ExproniconLite
   1390.9 ms  ✓ InitialValues
   5788.3 ms  ✓ MacroTools
    518.2 ms  ✓ ExprTools
    713.7 ms  ✓ OpenLibm_jll
    437.7 ms  ✓ ConcreteStructs
   1131.3 ms  ✓ FillArrays
    906.0 ms  ✓ SpatialIndexing
    667.2 ms  ✓ OrderedCollections
    484.4 ms  ✓ HashArrayMappedTries
    715.0 ms  ✓ ADTypes
    712.5 ms  ✓ Serialization
   1760.5 ms  ✓ Bessels
    695.1 ms  ✓ DocStringExtensions
    514.9 ms  ✓ FastClosures
    451.5 ms  ✓ SIMDTypes
    434.7 ms  ✓ IteratorInterfaceExtensions
    776.3 ms  ✓ Requires
    768.7 ms  ✓ CpuId
    588.2 ms  ✓ LoggingExtras
    595.2 ms  ✓ Compat
   1285.4 ms  ✓ InteractiveUtils
    900.0 ms  ✓ LazyArtifacts
    501.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    495.7 ms  ✓ DiffResults
    574.3 ms  ✓ AliasTables
    815.2 ms  ✓ Distances
   3842.9 ms  ✓ FunctionWrappers
   2132.5 ms  ✓ Preferences
    538.7 ms  ✓ Missings
    459.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    470.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1312.2 ms  ✓ ThreadingUtilities
    584.6 ms  ✓ CommonSubexpressions
    476.5 ms  ✓ FillArrays → FillArraysStatisticsExt
    455.6 ms  ✓ ScopedValues
    530.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2040.1 ms  ✓ Jieko
    455.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1925.8 ms  ✓ DataStructures
   2646.1 ms  ✓ Accessors
   1181.9 ms  ✓ DifferentiationInterface
    496.4 ms  ✓ RuntimeGeneratedFunctions
    756.5 ms  ✓ LogExpFunctions
    589.8 ms  ✓ Adapt
    534.6 ms  ✓ Compat → CompatLinearAlgebraExt
   4239.9 ms  ✓ TimerOutputs
    404.5 ms  ✓ FunctionWrappersWrappers
    544.9 ms  ✓ PrecompileTools
   2807.4 ms  ✓ Distributed
   1502.5 ms  ✓ Setfield
    602.0 ms  ✓ JLLWrappers
    641.4 ms  ✓ SciMLLogging
    535.0 ms  ✓ TruncatedStacktraces
    525.4 ms  ✓ NaNMath
    544.6 ms  ✓ SortingAlgorithms
   4575.5 ms  ✓ SparseArrays
    970.4 ms  ✓ QuadGK
    525.2 ms  ✓ Accessors → LinearAlgebraExt
    449.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    589.6 ms  ✓ GPUArraysCore
    423.8 ms  ✓ EnzymeCore → AdaptExt
    605.3 ms  ✓ ArrayInterface
    424.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   9603.3 ms  ✓ Test
   1044.9 ms  ✓ ProgressMeter
    758.7 ms  ✓ Rmath_jll
    812.6 ms  ✓ OpenSpecFun_jll
  10519.8 ms  ✓ Moshi
   1233.3 ms  ✓ IntelOpenMP_jll
   1352.9 ms  ✓ oneTBB_jll
    940.8 ms  ✓ FFTW_jll
    864.6 ms  ✓ Statistics → SparseArraysExt
    913.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
    783.4 ms  ✓ SuiteSparse
    849.2 ms  ✓ Distances → DistancesSparseArraysExt
    831.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    798.6 ms  ✓ Adapt → AdaptSparseArraysExt
   1068.7 ms  ✓ BangBang
  15496.0 ms  ✓ Parsers
    578.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2698.5 ms  ✓ RecipesBase
  16315.6 ms  ✓ StaticArrays
    573.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3969.4 ms  ✓ Roots
    960.4 ms  ✓ MaybeInplace
    805.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    812.1 ms  ✓ SciMLStructures
    700.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    706.8 ms  ✓ Accessors → TestExt
   1467.6 ms  ✓ PreallocationTools
   2071.3 ms  ✓ SciMLOperators
   1634.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    914.1 ms  ✓ Rmath
   1458.4 ms  ✓ MKL_jll
   1017.4 ms  ✓ PDMats
   1036.4 ms  ✓ OhMyThreads
   2903.9 ms  ✓ SpecialFunctions
   2936.5 ms  ✓ StatsBase
    696.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2043.7 ms  ✓ JSON
    763.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    802.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
    732.8 ms  ✓ Accessors → StaticArraysExt
    702.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    712.2 ms  ✓ Adapt → AdaptStaticArraysExt
    763.8 ms  ✓ BangBang → BangBangStaticArraysExt
    841.9 ms  ✓ FiniteDiff
    715.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    595.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1351.0 ms  ✓ SymbolicIndexingInterface
    785.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    763.2 ms  ✓ FillArrays → FillArraysPDMatsExt
    701.6 ms  ✓ OhMyThreads → MarkdownExt
    768.1 ms  ✓ DiffRules
   1264.2 ms  ✓ HypergeometricFunctions
    729.5 ms  ✓ PDMats → StatsBaseExt
  27412.2 ms  ✓ Static
    578.0 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    594.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    528.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5020.4 ms  ✓ NearestNeighbors
   4041.3 ms  ✓ ForwardDiff
   4878.1 ms  ✓ RecursiveArrayTools
    653.9 ms  ✓ BitTwiddlingConvenienceFunctions
   2196.2 ms  ✓ StatsFuns
   1248.4 ms  ✓ CPUSummary
   1115.4 ms  ✓ Neighborhood
    809.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2039.9 ms  ✓ Clustering
    653.9 ms  ✓ FastPower → FastPowerForwardDiffExt
    805.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    704.3 ms  ✓ Roots → RootsForwardDiffExt
    893.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  13578.8 ms  ✓ FFTW
   1437.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    589.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    617.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
    482.4 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
    668.1 ms  ✓ PolyesterWeave
   1045.5 ms  ✓ StateSpaceSets
   1018.8 ms  ✓ NLSolversBase
   1081.7 ms  ✓ LineSearches
   5315.3 ms  ✓ Distributions
   3131.6 ms  ✓ Optim
   1499.3 ms  ✓ Distributions → DistributionsTestExt
  25525.9 ms  ✓ Polynomials
   1878.9 ms  ✓ DelayEmbeddings
    894.8 ms  ✓ Polynomials → PolynomialsFFTWExt
  15796.2 ms  ✓ StaticArrayInterface
   4620.8 ms  ✓ BlackBoxOptim
    599.9 ms  ✓ CloseOpenIntervals
    710.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    566.3 ms  ✓ LayoutPointers
   2487.8 ms  ✓ DSP
    722.8 ms  ✓ StrideArraysCore
    593.0 ms  ✓ Polyester
  11600.7 ms  ✓ SciMLBase
   1724.0 ms  ✓ Wavelets
    677.5 ms  ✓ FastBroadcast
    827.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    657.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1143.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1300.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2184.3 ms  ✓ SciMLJacobianOperators
   3131.8 ms  ✓ ComplexityMeasures
   4506.7 ms  ✓ NonlinearSolveBase
   1026.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1084.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3127.5 ms  ✓ BracketingNonlinearSolve
    885.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2075.0 ms  ✓ DiffEqBase
   1048.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1047.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3079.6 ms  ✓ OrdinaryDiffEqCore
   1189.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   9595.5 ms  ✓ OrdinaryDiffEqTsit5
   1735.7 ms  ✓ DynamicalSystemsBase
   3108.8 ms  ✓ Attractors
  210 dependencies successfully precompiled in 101 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 469.48
	System time (seconds): 38.36
	Percent of CPU this job got: 260%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:14.91
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2777832
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 840
	Minor (reclaiming a frame) page faults: 13432666
	Voluntary context switches: 37672
	Involuntary context switches: 13992
	Swaps: 0
	File system inputs: 0
	File system outputs: 1120632
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
