nice: cannot set niceness: Permission denied
Precompiling packages...
   1471.8 ms  ✓ OpenSSL_jll
   1506.9 ms  ✓ MozillaCACerts_jll
   1748.8 ms  ✓ Logging
   1827.7 ms  ✓ UUIDs
   1825.6 ms  ✓ nghttp2_jll
   1845.0 ms  ✓ NetworkOptions
   1839.4 ms  ✓ Zlib_jll
   1849.4 ms  ✓ Unicode
   1846.6 ms  ✓ Base64
   1913.0 ms  ✓ CompilerSupportLibraries_jll
    772.1 ms  ✓ LibSSH2_jll
    633.2 ms  ✓ p7zip_jll
    770.2 ms  ✓ Printf
    554.3 ms  ✓ LibGit2_jll
    552.8 ms  ✓ LibCURL_jll
    768.2 ms  ✓ LibCURL
   3555.4 ms  ✓ ArgTools
    653.8 ms  ✓ Tar
   3051.3 ms  ✓ Dates
   3107.4 ms  ✓ LibGit2
    463.2 ms  ✓ TOML
   3114.4 ms  ✓ Downloads
   9837.3 ms  ✓ StyledStrings
   1739.6 ms  ✓ JuliaSyntaxHighlighting
   3891.5 ms  ✓ Markdown
  47851.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2240.7 ms  ✓ IteratorInterfaceExtensions
   2423.2 ms  ✓ MuladdMacro
   2434.1 ms  ✓ Future
   2643.2 ms  ✓ ExprTools
   2654.1 ms  ✓ ConcreteStructs
   2815.9 ms  ✓ StatsAPI
   2925.3 ms  ✓ PositiveFactorizations
   3642.8 ms  ✓ AbstractFFTs
   3926.4 ms  ✓ Serialization
   4245.3 ms  ✓ ADTypes
   2576.4 ms  ✓ OpenLibm_jll
   2617.9 ms  ✓ InverseFunctions
   5034.6 ms  ✓ FillArrays
   2404.5 ms  ✓ CommonSolve
   5533.5 ms  ✓ InitialValues
   3303.4 ms  ✓ Statistics
   3105.8 ms  ✓ SuiteSparse_jll
   5946.2 ms  ✓ Combinatorics
   3496.9 ms  ✓ IterTools
   2982.4 ms  ✓ ManualMemory
   2607.7 ms  ✓ EnumX
   2393.8 ms  ✓ Reexport
   2568.9 ms  ✓ SIMDTypes
   3984.9 ms  ✓ Requires
   2494.3 ms  ✓ CompositionsBase
   3103.9 ms  ✓ Mmap
   3583.8 ms  ✓ DocStringExtensions
   2528.1 ms  ✓ PtrArrays
   3514.3 ms  ✓ AbstractTrees
   4605.5 ms  ✓ SpatialIndexing
   2617.3 ms  ✓ FastPower
   2701.5 ms  ✓ TaskLocalValues
   2906.9 ms  ✓ HashArrayMappedTries
  10933.5 ms  ✓ Bessels
   3005.5 ms  ✓ StableTasks
  11328.4 ms  ✓ FunctionWrappers
   2301.4 ms  ✓ IfElse
   2602.4 ms  ✓ DataAPI
   2988.4 ms  ✓ CommonWorldInvalidations
   2691.2 ms  ✓ FastClosures
   2878.5 ms  ✓ ChunkSplitters
   2813.3 ms  ✓ SciMLPublic
   2894.9 ms  ✓ StaticArraysCore
   4508.7 ms  ✓ EnzymeCore
   3065.0 ms  ✓ LoggingExtras
  10392.5 ms  ✓ OrderedCollections
   3875.1 ms  ✓ Preferences
   3927.3 ms  ✓ CpuId
  16140.4 ms  ✓ ExproniconLite
   3023.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5309.6 ms  ✓ LazyArtifacts
   2430.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   9017.2 ms  ✓ ConstructionBase
   2493.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3004.5 ms  ✓ Adapt
   3086.1 ms  ✓ AliasTables
  14898.2 ms  ✓ IrrationalConstants
   3611.9 ms  ✓ ScopedValues
   8987.7 ms  ✓ RuntimeGeneratedFunctions
  10864.5 ms  ✓ Compat
   9193.6 ms  ✓ NaNMath
   2700.2 ms  ✓ DiffResults
  20109.7 ms  ✓ MacroTools
   3079.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2622.6 ms  ✓ PrecompileTools
  11690.3 ms  ✓ DifferentiationInterface
   3282.3 ms  ✓ JLLWrappers
   2387.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10885.7 ms  ✓ Distances
   2416.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  14577.1 ms  ✓ InteractiveUtils
   3400.4 ms  ✓ SciMLLogging
   2211.1 ms  ✓ EnzymeCore → AdaptExt
   2601.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2999.3 ms  ✓ GPUArraysCore
   2929.7 ms  ✓ CommonSubexpressions
   4184.3 ms  ✓ LogExpFunctions
  13393.9 ms  ✓ ThreadingUtilities
  10198.3 ms  ✓ Missings
  17521.7 ms  ✓ Distributed
  10119.9 ms  ✓ DataStructures
   4285.5 ms  ✓ Rmath_jll
  19608.4 ms  ✓ TimerOutputs
   4369.8 ms  ✓ FFTW_jll
  10000.8 ms  ✓ Jieko
   3400.6 ms  ✓ TruncatedStacktraces
   2699.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   5228.9 ms  ✓ OpenSpecFun_jll
   6779.1 ms  ✓ oneTBB_jll
   2674.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  10999.6 ms  ✓ ArrayInterface
   9127.4 ms  ✓ RecipesBase
   7682.9 ms  ✓ IntelOpenMP_jll
   2983.0 ms  ✓ SortingAlgorithms
   6896.8 ms  ✓ Setfield
   4727.2 ms  ✓ ProgressMeter
   2908.8 ms  ✓ FastBroadcast
   2530.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3221.4 ms  ✓ MaybeInplace
   2323.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   4008.7 ms  ✓ Rmath
   2777.9 ms  ✓ FiniteDiff
  25787.4 ms  ✓ SparseArrays
   5503.2 ms  ✓ PreallocationTools
   9411.5 ms  ✓ QuadGK
   2528.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5883.5 ms  ✓ MKL_jll
   2909.6 ms  ✓ SuiteSparse
   3275.4 ms  ✓ Statistics → SparseArraysExt
   3469.3 ms  ✓ Adapt → AdaptSparseArraysExt
   3507.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   9297.1 ms  ✓ SciMLStructures
   3169.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
  11925.4 ms  ✓ FunctionWrappersWrappers
   3292.5 ms  ✓ Distances → DistancesSparseArraysExt
   3196.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3298.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  12709.7 ms  ✓ SpecialFunctions
   3013.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  17302.3 ms  ✓ Accessors
   1781.8 ms  ✓ Accessors → LinearAlgebraExt
   3505.2 ms  ✓ PDMats
   2488.6 ms  ✓ DiffRules
   4715.8 ms  ✓ HypergeometricFunctions
   3984.7 ms  ✓ BangBang
   9428.5 ms  ✓ NLSolversBase
   5899.0 ms  ✓ FillArrays → FillArraysPDMatsExt
  24797.5 ms  ✓ Test
   5801.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  12481.0 ms  ✓ SymbolicIndexingInterface
   6362.8 ms  ✓ Accessors → TestExt
  16300.4 ms  ✓ StatsBase
  14601.8 ms  ✓ SciMLOperators
  11414.7 ms  ✓ OhMyThreads
   4317.0 ms  ✓ PDMats → StatsBaseExt
  11478.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   4011.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
  13973.3 ms  ✓ LineSearches
  42783.8 ms  ✓ StaticArrays
   5387.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4782.2 ms  ✓ OhMyThreads → MarkdownExt
  21617.4 ms  ✓ Roots
   3212.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3287.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3687.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3711.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3711.0 ms  ✓ Adapt → AdaptStaticArraysExt
  46103.7 ms  ✓ Static
  22529.1 ms  ✓ ForwardDiff
   3682.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4124.1 ms  ✓ Accessors → StaticArraysExt
   3608.4 ms  ✓ BangBang → BangBangStaticArraysExt
   2300.4 ms  ✓ FastBroadcast → FastBroadcastStaticExt
   2508.1 ms  ✓ BitTwiddlingConvenienceFunctions
   2988.4 ms  ✓ FastPower → FastPowerForwardDiffExt
  24101.3 ms  ✓ StatsFuns
   4004.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2994.8 ms  ✓ Roots → RootsForwardDiffExt
   6079.8 ms  ✓ CPUSummary
  11424.7 ms  ✓ Optim
   6010.1 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3478.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3526.7 ms  ✓ PolyesterWeave
   9727.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  48388.6 ms  ✓ Moshi
  40604.1 ms  ✓ FFTW
  13600.1 ms  ✓ StaticArrayInterface
   1414.3 ms  ✓ CloseOpenIntervals
   2110.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2254.5 ms  ✓ LayoutPointers
  26400.5 ms  ✓ RecursiveArrayTools
  16649.3 ms  ✓ NearestNeighbors
   1226.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1234.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1496.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1523.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1668.3 ms  ✓ Neighborhood
   1787.6 ms  ✓ StrideArraysCore
  14512.2 ms  ✓ Distributions
   1050.3 ms  ✓ Polyester
   2849.9 ms  ✓ Clustering
    809.1 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
   1604.0 ms  ✓ Distributions → DistributionsTestExt
   2641.7 ms  ✓ StateSpaceSets
   1217.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastPolyesterExt
   2632.1 ms  ✓ DelayEmbeddings
   5232.2 ms  ✓ BlackBoxOptim
  55578.3 ms  ✓ Polynomials
    784.4 ms  ✓ Polynomials → PolynomialsFFTWExt
    816.9 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2165.4 ms  ✓ DSP
  13403.5 ms  ✓ SciMLBase
    930.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1328.1 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1947.4 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2928.9 ms  ✓ Wavelets
   3366.0 ms  ✓ SciMLJacobianOperators
   3102.3 ms  ✓ ComplexityMeasures
   6185.2 ms  ✓ NonlinearSolveBase
   1158.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3281.0 ms  ✓ BracketingNonlinearSolve
   4797.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1535.7 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3298.0 ms  ✓ DiffEqBase
   1108.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3366.3 ms  ✓ OrdinaryDiffEqCore
   3385.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1188.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   5700.9 ms  ✓ OrdinaryDiffEqTsit5
   2668.3 ms  ✓ DynamicalSystemsBase
   3576.9 ms  ✓ Attractors
  211 dependencies successfully precompiled in 135 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 600.98
	System time (seconds): 48.94
	Percent of CPU this job got: 325%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:19.49
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2193328
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 715
	Minor (reclaiming a frame) page faults: 12605292
	Voluntary context switches: 35600
	Involuntary context switches: 82209
	Swaps: 0
	File system inputs: 0
	File system outputs: 1092912
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
