nice: cannot set niceness: Permission denied
Precompiling packages...
   1931.9 ms  ✓ LazyArtifacts
   1940.2 ms  ✓ IteratorInterfaceExtensions
   1945.1 ms  ✓ MuladdMacro
   2021.4 ms  ✓ ConcreteStructs
   2035.1 ms  ✓ ExprTools
   2221.6 ms  ✓ PositiveFactorizations
   2233.5 ms  ✓ StatsAPI
   2825.5 ms  ✓ AbstractFFTs
   3130.4 ms  ✓ ADTypes
   1689.9 ms  ✓ CommonSolve
   3928.1 ms  ✓ FunctionWrappers
   1911.2 ms  ✓ CompilerSupportLibraries_jll
   1991.9 ms  ✓ OpenLibm_jll
   4200.1 ms  ✓ Combinatorics
   4109.5 ms  ✓ InitialValues
   2278.9 ms  ✓ InverseFunctions
   4489.4 ms  ✓ FillArrays
   2490.8 ms  ✓ SuiteSparse_jll
   2622.9 ms  ✓ IterTools
   2303.8 ms  ✓ ManualMemory
   1919.9 ms  ✓ Reexport
   1816.7 ms  ✓ SIMDTypes
   2292.2 ms  ✓ EnumX
   2503.7 ms  ✓ Requires
   2507.2 ms  ✓ OrderedCollections
   2695.8 ms  ✓ Compat
   3783.9 ms  ✓ Preferences
   2819.6 ms  ✓ DocStringExtensions
   2702.7 ms  ✓ AbstractTrees
   7714.5 ms  ✓ Bessels
   1788.3 ms  ✓ FastPower
   4002.8 ms  ✓ SpatialIndexing
   1993.7 ms  ✓ CompositionsBase
   1801.7 ms  ✓ PtrArrays
   8200.1 ms  ✓ ExproniconLite
   2784.4 ms  ✓ HashArrayMappedTries
   2792.6 ms  ✓ Adapt
   1916.6 ms  ✓ IfElse
   1890.6 ms  ✓ CPUTime
   2294.7 ms  ✓ ConstructionBase
   1906.9 ms  ✓ FastClosures
   2707.3 ms  ✓ StableTasks
   1991.4 ms  ✓ CommonWorldInvalidations
   1989.6 ms  ✓ DataAPI
   8205.7 ms  ✓ Distributed
   3621.2 ms  ✓ CpuId
   2421.1 ms  ✓ ChunkSplitters
   3180.0 ms  ✓ EnzymeCore
   5791.6 ms  ✓ IrrationalConstants
   2591.6 ms  ✓ SciMLPublic
   2795.3 ms  ✓ LoggingExtras
   2081.9 ms  ✓ FunctionWrappersWrappers
   2403.6 ms  ✓ RuntimeGeneratedFunctions
   3007.5 ms  ✓ StaticArraysCore
   2488.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2500.4 ms  ✓ NaNMath
   2398.8 ms  ✓ Compat → CompatLinearAlgebraExt
  10795.4 ms  ✓ MacroTools
   2200.3 ms  ✓ PrecompileTools
   3719.3 ms  ✓ ProgressMeter
   2208.1 ms  ✓ AliasTables
   3087.3 ms  ✓ JLLWrappers
   2209.6 ms  ✓ ScopedValues
   2005.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4904.0 ms  ✓ DifferentiationInterface
  14940.3 ms  ✓ Test
   2608.9 ms  ✓ GPUArraysCore
   1901.0 ms  ✓ TaskLocalValues
   2402.0 ms  ✓ Missings
   3087.0 ms  ✓ ArrayInterface
   1984.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2102.1 ms  ✓ EnzymeCore → AdaptExt
   6194.0 ms  ✓ ThreadingUtilities
   1995.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2314.6 ms  ✓ SciMLLogging
   2093.7 ms  ✓ DiffResults
   2113.3 ms  ✓ TruncatedStacktraces
   2216.2 ms  ✓ CommonSubexpressions
   3108.8 ms  ✓ LogExpFunctions
   2385.0 ms  ✓ IntelOpenMP_jll
   2504.1 ms  ✓ Rmath_jll
   2091.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8127.1 ms  ✓ DataStructures
   3601.8 ms  ✓ Static
   2875.8 ms  ✓ oneTBB_jll
   3104.3 ms  ✓ FFTW_jll
   2684.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   8097.7 ms  ✓ Jieko
   2600.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2500.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2896.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1988.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6219.4 ms  ✓ RecipesBase
   2973.0 ms  ✓ SciMLStructures
   2514.7 ms  ✓ OpenSpecFun_jll
   5205.9 ms  ✓ Setfield
   5410.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2621.6 ms  ✓ SortingAlgorithms
   1810.1 ms  ✓ BitTwiddlingConvenienceFunctions
   3114.9 ms  ✓ Rmath
   4295.0 ms  ✓ PreallocationTools
   2207.8 ms  ✓ MKL_jll
   3211.0 ms  ✓ QuadGK
   7804.4 ms  ✓ Accessors
   2191.7 ms  ✓ FiniteDiff
  14406.3 ms  ✓ SparseArrays
   3124.0 ms  ✓ CPUSummary
   3819.8 ms  ✓ StaticArrayInterface
   2289.5 ms  ✓ Accessors → LinearAlgebraExt
   2380.0 ms  ✓ SuiteSparse
   2313.9 ms  ✓ PolyesterWeave
   2491.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2471.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2588.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2792.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2177.7 ms  ✓ CloseOpenIntervals
   3302.2 ms  ✓ Statistics
   2777.3 ms  ✓ LayoutPointers
   2483.8 ms  ✓ Accessors → TestExt
   2508.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3212.7 ms  ✓ BangBang
   2503.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   3587.6 ms  ✓ PDMats
   3700.8 ms  ✓ Distances
   9790.6 ms  ✓ SpecialFunctions
   5195.5 ms  ✓ SymbolicIndexingInterface
   2495.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3605.7 ms  ✓ StrideArraysCore
   2400.1 ms  ✓ FillArrays → FillArraysPDMatsExt
   2070.5 ms  ✓ Distances → DistancesSparseArraysExt
