nice: cannot set niceness: Permission denied
Precompiling packages...
    446.2 ms  ✓ Reexport
    490.4 ms  ✓ StatsAPI
    604.4 ms  ✓ ConstructionBase
    443.5 ms  ✓ CommonSolve
    642.6 ms  ✓ IterTools
   1308.8 ms  ✓ IrrationalConstants
   1056.6 ms  ✓ Combinatorics
    594.6 ms  ✓ StableTasks
    643.1 ms  ✓ Statistics
    547.2 ms  ✓ StaticArraysCore
    523.4 ms  ✓ ChunkSplitters
    463.7 ms  ✓ IfElse
    741.4 ms  ✓ EnzymeCore
    942.2 ms  ✓ SuiteSparse_jll
    493.7 ms  ✓ PtrArrays
    553.5 ms  ✓ Mmap
    481.2 ms  ✓ TaskLocalValues
    534.0 ms  ✓ ManualMemory
    567.3 ms  ✓ PositiveFactorizations
    496.1 ms  ✓ DataAPI
    439.7 ms  ✓ CommonWorldInvalidations
    748.8 ms  ✓ SciMLPublic
    459.6 ms  ✓ Future
    521.4 ms  ✓ FastPower
    608.1 ms  ✓ InverseFunctions
    538.6 ms  ✓ CompositionsBase
   4621.9 ms  ✓ MacroTools
    499.5 ms  ✓ MuladdMacro
    702.7 ms  ✓ AbstractTrees
    614.6 ms  ✓ AbstractFFTs
   2276.4 ms  ✓ ExproniconLite
    524.8 ms  ✓ EnumX
   1287.2 ms  ✓ InitialValues
    745.1 ms  ✓ OpenLibm_jll
    505.6 ms  ✓ ExprTools
    433.7 ms  ✓ ConcreteStructs
   1094.3 ms  ✓ FillArrays
    942.3 ms  ✓ SpatialIndexing
    712.2 ms  ✓ OrderedCollections
    513.0 ms  ✓ HashArrayMappedTries
    754.9 ms  ✓ ADTypes
    749.4 ms  ✓ Serialization
   1673.9 ms  ✓ Bessels
    704.5 ms  ✓ DocStringExtensions
    511.9 ms  ✓ FastClosures
    459.0 ms  ✓ SIMDTypes
    477.8 ms  ✓ IteratorInterfaceExtensions
    798.9 ms  ✓ Requires
    790.3 ms  ✓ CpuId
    699.7 ms  ✓ LoggingExtras
   2889.3 ms  ✓ FunctionWrappers
    626.2 ms  ✓ Compat
   1429.0 ms  ✓ InteractiveUtils
    455.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1021.9 ms  ✓ LazyArtifacts
    491.3 ms  ✓ DiffResults
    835.1 ms  ✓ Distances
    542.9 ms  ✓ AliasTables
    552.1 ms  ✓ Missings
   1940.3 ms  ✓ Preferences
    589.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    475.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1255.4 ms  ✓ ThreadingUtilities
    607.3 ms  ✓ CommonSubexpressions
    555.4 ms  ✓ NaNMath
    526.2 ms  ✓ FillArrays → FillArraysStatisticsExt
    486.0 ms  ✓ ScopedValues
    450.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    494.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1915.3 ms  ✓ Jieko
   1129.6 ms  ✓ DifferentiationInterface
   1889.3 ms  ✓ DataStructures
    531.6 ms  ✓ RuntimeGeneratedFunctions
    731.5 ms  ✓ LogExpFunctions
    608.9 ms  ✓ Adapt
   3555.6 ms  ✓ TimerOutputs
    560.6 ms  ✓ FunctionWrappersWrappers
    514.4 ms  ✓ Compat → CompatLinearAlgebraExt
    611.1 ms  ✓ PrecompileTools
   2639.1 ms  ✓ Distributed
   1365.6 ms  ✓ Setfield
    707.6 ms  ✓ JLLWrappers
    887.2 ms  ✓ SciMLLogging
    791.4 ms  ✓ TruncatedStacktraces
   4380.1 ms  ✓ SparseArrays
    587.7 ms  ✓ SortingAlgorithms
    435.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    972.1 ms  ✓ QuadGK
    735.1 ms  ✓ ArrayInterface
   2397.8 ms  ✓ Accessors
    424.0 ms  ✓ EnzymeCore → AdaptExt
    639.0 ms  ✓ GPUArraysCore
   2204.1 ms  ✓ RecipesBase
   1074.8 ms  ✓ ProgressMeter
   8109.0 ms  ✓ Test
    995.9 ms  ✓ Rmath_jll
   1052.8 ms  ✓ OpenSpecFun_jll
   1629.6 ms  ✓ IntelOpenMP_jll
   1747.1 ms  ✓ oneTBB_jll
   1187.5 ms  ✓ FFTW_jll
    786.7 ms  ✓ Statistics → SparseArraysExt
  10004.2 ms  ✓ Moshi
    769.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
    611.2 ms  ✓ SuiteSparse
    643.2 ms  ✓ Distances → DistancesSparseArraysExt
    671.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    654.1 ms  ✓ Adapt → AdaptSparseArraysExt
    451.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    835.4 ms  ✓ MaybeInplace
    785.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1110.0 ms  ✓ SciMLStructures
    714.9 ms  ✓ Accessors → LinearAlgebraExt
   1749.1 ms  ✓ PreallocationTools
    540.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    560.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    765.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  13649.9 ms  ✓ StaticArrays
    809.1 ms  ✓ Accessors → TestExt
   1778.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    842.9 ms  ✓ Rmath
   1358.6 ms  ✓ MKL_jll
   2555.8 ms  ✓ SpecialFunctions
    899.3 ms  ✓ PDMats
   2335.3 ms  ✓ StatsBase
    733.5 ms  ✓ FiniteDiff
    660.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    862.5 ms  ✓ BangBang
   1153.5 ms  ✓ SymbolicIndexingInterface
   1768.1 ms  ✓ SciMLOperators
    774.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    905.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    986.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
    901.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    966.1 ms  ✓ Adapt → AdaptStaticArraysExt
   3387.8 ms  ✓ Roots
    965.7 ms  ✓ Accessors → StaticArraysExt
   1369.9 ms  ✓ HypergeometricFunctions
    826.3 ms  ✓ DiffRules
    825.4 ms  ✓ FillArrays → FillArraysPDMatsExt
    893.2 ms  ✓ PDMats → StatsBaseExt
    928.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1055.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    794.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1522.9 ms  ✓ OhMyThreads
   1111.5 ms  ✓ BangBang → BangBangStaticArraysExt
    843.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1149.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  29070.8 ms  ✓ Static
  23746.5 ms  ✓ Polynomials
   2793.3 ms  ✓ StatsFuns
   6647.9 ms  ✓ RecursiveArrayTools
    888.8 ms  ✓ OhMyThreads → MarkdownExt
    772.0 ms  ✓ BitTwiddlingConvenienceFunctions
   6687.2 ms  ✓ NearestNeighbors
   1907.7 ms  ✓ CPUSummary
  14405.6 ms  ✓ FFTW
    614.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1138.4 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
    875.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   4374.9 ms  ✓ ForwardDiff
    742.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    739.5 ms  ✓ PolyesterWeave
   1044.9 ms  ✓ Neighborhood
   1779.8 ms  ✓ Clustering
    808.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1077.8 ms  ✓ Polynomials → PolynomialsFFTWExt
    621.1 ms  ✓ FastPower → FastPowerForwardDiffExt
    765.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    661.8 ms  ✓ Roots → RootsForwardDiffExt
   1301.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    719.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   4743.1 ms  ✓ Distributions
   1085.2 ms  ✓ StateSpaceSets
   1051.1 ms  ✓ NLSolversBase
   1634.0 ms  ✓ Distributions → DistributionsTestExt
   3075.7 ms  ✓ DSP
   9948.7 ms  ✓ StaticArrayInterface
   1142.0 ms  ✓ LineSearches
    751.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1954.3 ms  ✓ DelayEmbeddings
    652.4 ms  ✓ CloseOpenIntervals
   2123.8 ms  ✓ Wavelets
    756.9 ms  ✓ LayoutPointers
   5001.6 ms  ✓ BlackBoxOptim
    983.1 ms  ✓ StrideArraysCore
    729.7 ms  ✓ Polyester
   2515.7 ms  ✓ Optim
    742.8 ms  ✓ FastBroadcast
    651.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3441.9 ms  ✓ ComplexityMeasures
  10829.7 ms  ✓ SciMLBase
    793.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1100.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1281.6 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2217.2 ms  ✓ SciMLJacobianOperators
   4939.2 ms  ✓ NonlinearSolveBase
   1165.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1181.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3236.8 ms  ✓ BracketingNonlinearSolve
   1081.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2308.4 ms  ✓ DiffEqBase
   1191.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3594.7 ms  ✓ OrdinaryDiffEqCore
   3627.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1315.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   9160.4 ms  ✓ OrdinaryDiffEqTsit5
   2025.9 ms  ✓ DynamicalSystemsBase
   3319.2 ms  ✓ Attractors
  208 dependencies successfully precompiled in 100 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +nightly --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 450.15
	System time (seconds): 37.14
	Percent of CPU this job got: 259%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:07.86
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2298568
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 891
	Minor (reclaiming a frame) page faults: 13167794
	Voluntary context switches: 38322
	Involuntary context switches: 13120
	Swaps: 0
	File system inputs: 0
	File system outputs: 1095504
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
