nice: cannot set niceness: Permission denied
Precompiling packages...
    412.8 ms  ✓ CPUTime
    420.2 ms  ✓ Reexport
    566.3 ms  ✓ ConstructionBase
    468.7 ms  ✓ StatsAPI
    611.9 ms  ✓ IterTools
   1333.7 ms  ✓ IrrationalConstants
    468.2 ms  ✓ CommonSolve
   1068.2 ms  ✓ Combinatorics
    578.1 ms  ✓ StableTasks
    529.0 ms  ✓ StaticArraysCore
    609.4 ms  ✓ Statistics
    506.6 ms  ✓ ChunkSplitters
    434.4 ms  ✓ IfElse
    889.5 ms  ✓ SuiteSparse_jll
    464.7 ms  ✓ PtrArrays
    729.8 ms  ✓ EnzymeCore
    536.4 ms  ✓ Mmap
    444.2 ms  ✓ TaskLocalValues
    479.0 ms  ✓ ManualMemory
    510.7 ms  ✓ PositiveFactorizations
    494.9 ms  ✓ DataAPI
    427.3 ms  ✓ CommonWorldInvalidations
    469.8 ms  ✓ Future
    952.6 ms  ✓ SciMLPublic
    500.9 ms  ✓ FastPower
    536.5 ms  ✓ CompositionsBase
    663.9 ms  ✓ InverseFunctions
   4707.8 ms  ✓ MacroTools
    718.5 ms  ✓ AbstractTrees
    467.2 ms  ✓ MuladdMacro
    493.4 ms  ✓ EnumX
    578.4 ms  ✓ AbstractFFTs
   2383.5 ms  ✓ ExproniconLite
   1252.3 ms  ✓ InitialValues
    724.8 ms  ✓ OpenLibm_jll
    509.0 ms  ✓ ExprTools
    425.9 ms  ✓ ConcreteStructs
   1075.0 ms  ✓ FillArrays
    920.0 ms  ✓ SpatialIndexing
    652.3 ms  ✓ OrderedCollections
    490.0 ms  ✓ HashArrayMappedTries
    689.2 ms  ✓ ADTypes
    674.1 ms  ✓ Serialization
   1773.1 ms  ✓ Bessels
    682.6 ms  ✓ DocStringExtensions
    512.6 ms  ✓ FastClosures
    543.6 ms  ✓ SIMDTypes
    458.1 ms  ✓ IteratorInterfaceExtensions
    759.8 ms  ✓ Requires
    771.7 ms  ✓ CpuId
    578.0 ms  ✓ LoggingExtras
    647.1 ms  ✓ Compat
   1489.4 ms  ✓ InteractiveUtils
   3119.0 ms  ✓ FunctionWrappers
    524.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    971.6 ms  ✓ LazyArtifacts
    495.2 ms  ✓ DiffResults
    511.7 ms  ✓ AliasTables
    777.5 ms  ✓ Distances
   1728.1 ms  ✓ Preferences
    526.4 ms  ✓ Missings
    483.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    461.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1229.6 ms  ✓ ThreadingUtilities
    586.5 ms  ✓ CommonSubexpressions
    544.1 ms  ✓ NaNMath
    515.6 ms  ✓ FillArrays → FillArraysStatisticsExt
    476.6 ms  ✓ ScopedValues
    439.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    399.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1114.5 ms  ✓ DifferentiationInterface
   2043.6 ms  ✓ Jieko
   1804.9 ms  ✓ DataStructures
    466.8 ms  ✓ RuntimeGeneratedFunctions
    689.6 ms  ✓ LogExpFunctions
    507.7 ms  ✓ Adapt
    451.3 ms  ✓ Compat → CompatLinearAlgebraExt
    427.2 ms  ✓ FunctionWrappersWrappers
   2301.8 ms  ✓ Distributed
    498.8 ms  ✓ PrecompileTools
    550.5 ms  ✓ JLLWrappers
    615.8 ms  ✓ SciMLLogging
   1621.0 ms  ✓ Setfield
    580.7 ms  ✓ TruncatedStacktraces
    527.8 ms  ✓ SortingAlgorithms
   3944.6 ms  ✓ SparseArrays
    439.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    928.1 ms  ✓ QuadGK
    600.1 ms  ✓ ArrayInterface
    612.6 ms  ✓ GPUArraysCore
    462.8 ms  ✓ EnzymeCore → AdaptExt
   2574.5 ms  ✓ Accessors
    842.0 ms  ✓ ProgressMeter
   1887.7 ms  ✓ RecipesBase
   8716.0 ms  ✓ Test
    654.5 ms  ✓ Rmath_jll
    799.6 ms  ✓ OpenSpecFun_jll
   1389.5 ms  ✓ IntelOpenMP_jll
  10575.3 ms  ✓ Moshi
   1324.7 ms  ✓ oneTBB_jll
    703.0 ms  ✓ FFTW_jll
    666.6 ms  ✓ Statistics → SparseArraysExt
    811.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
    746.5 ms  ✓ SuiteSparse
    852.6 ms  ✓ Distances → DistancesSparseArraysExt
    864.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    835.1 ms  ✓ Adapt → AdaptSparseArraysExt
    593.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    842.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    904.8 ms  ✓ SciMLStructures
