nice: cannot set niceness: Permission denied
Precompiling packages...
   1504.7 ms  ✓ nghttp2_jll
   1529.3 ms  ✓ MozillaCACerts_jll
   1652.8 ms  ✓ OpenSSL_jll
   1636.8 ms  ✓ UUIDs
   1635.8 ms  ✓ Logging
   1630.6 ms  ✓ Unicode
   1725.0 ms  ✓ NetworkOptions
   1720.4 ms  ✓ CompilerSupportLibraries_jll
   1722.8 ms  ✓ Zlib_jll
   1833.7 ms  ✓ Base64
    534.9 ms  ✓ LibSSH2_jll
    578.3 ms  ✓ p7zip_jll
    745.4 ms  ✓ Printf
    487.0 ms  ✓ LibGit2_jll
    485.5 ms  ✓ LibCURL_jll
   3303.2 ms  ✓ ArgTools
    804.8 ms  ✓ LibCURL
    637.8 ms  ✓ Tar
   2988.6 ms  ✓ Dates
   3142.4 ms  ✓ LibGit2
    451.8 ms  ✓ TOML
   3087.0 ms  ✓ Downloads
   9224.8 ms  ✓ StyledStrings
   1643.8 ms  ✓ JuliaSyntaxHighlighting
   3808.6 ms  ✓ Markdown
  46429.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2297.8 ms  ✓ IteratorInterfaceExtensions
   2497.2 ms  ✓ ConcreteStructs
   2498.1 ms  ✓ MuladdMacro
   2600.4 ms  ✓ StatsAPI
   2602.1 ms  ✓ ExprTools
   3110.7 ms  ✓ PositiveFactorizations
   3191.3 ms  ✓ Future
   3476.8 ms  ✓ AbstractFFTs
   4057.6 ms  ✓ Serialization
   4202.3 ms  ✓ ADTypes
   2312.8 ms  ✓ CommonSolve
   2693.2 ms  ✓ OpenLibm_jll
   5490.2 ms  ✓ InitialValues
   3007.4 ms  ✓ InverseFunctions
   3302.6 ms  ✓ Statistics
   5811.3 ms  ✓ Combinatorics
   5794.7 ms  ✓ FillArrays
   3400.6 ms  ✓ IterTools
   2992.8 ms  ✓ SuiteSparse_jll
   2823.2 ms  ✓ ManualMemory
   2781.9 ms  ✓ EnumX
   2392.6 ms  ✓ Reexport
   2504.3 ms  ✓ SIMDTypes
   2692.6 ms  ✓ CompositionsBase
   4692.2 ms  ✓ Requires
   2614.9 ms  ✓ PtrArrays
   3196.2 ms  ✓ AbstractTrees
   3005.5 ms  ✓ Mmap
   3692.8 ms  ✓ DocStringExtensions
   2498.6 ms  ✓ FastPower
  10289.6 ms  ✓ Bessels
   5415.7 ms  ✓ SpatialIndexing
   2703.9 ms  ✓ TaskLocalValues
   3222.3 ms  ✓ HashArrayMappedTries
   2388.1 ms  ✓ CPUTime
   3007.4 ms  ✓ StableTasks
   2980.9 ms  ✓ IfElse
  12092.2 ms  ✓ FunctionWrappers
   2703.0 ms  ✓ CommonWorldInvalidations
   3894.5 ms  ✓ EnzymeCore
   2676.6 ms  ✓ DataAPI
   2685.6 ms  ✓ FastClosures
   2891.5 ms  ✓ ChunkSplitters
   3088.2 ms  ✓ SciMLPublic
   3090.8 ms  ✓ StaticArraysCore
  10428.6 ms  ✓ OrderedCollections
   3104.7 ms  ✓ LoggingExtras
   3723.0 ms  ✓ Preferences
   4108.9 ms  ✓ CpuId
  16001.9 ms  ✓ ExproniconLite
   2771.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5304.6 ms  ✓ LazyArtifacts
   2592.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2499.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  10993.5 ms  ✓ ConstructionBase
   2785.1 ms  ✓ AliasTables
   3112.3 ms  ✓ Adapt
  15580.4 ms  ✓ IrrationalConstants
   9497.2 ms  ✓ RuntimeGeneratedFunctions
  10697.5 ms  ✓ Compat
  19705.9 ms  ✓ MacroTools
   3202.9 ms  ✓ FunctionWrappersWrappers
   3817.0 ms  ✓ ScopedValues
   2706.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2613.5 ms  ✓ DiffResults
  10001.8 ms  ✓ NaNMath
   2692.0 ms  ✓ PrecompileTools
  11403.5 ms  ✓ Distances
   3300.8 ms  ✓ JLLWrappers
  14393.2 ms  ✓ InteractiveUtils
   2491.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2404.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3497.9 ms  ✓ SciMLLogging
  13196.5 ms  ✓ DifferentiationInterface
  12299.2 ms  ✓ ThreadingUtilities
   2399.9 ms  ✓ EnzymeCore → AdaptExt
   2611.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3319.8 ms  ✓ GPUArraysCore
   3008.5 ms  ✓ CommonSubexpressions
   3810.6 ms  ✓ LogExpFunctions
  10095.4 ms  ✓ Missings
  19194.6 ms  ✓ Distributed
   9875.8 ms  ✓ DataStructures
   9619.9 ms  ✓ Jieko
   5084.0 ms  ✓ Rmath_jll
  20722.4 ms  ✓ TimerOutputs
  10406.2 ms  ✓ ArrayInterface
   5503.8 ms  ✓ FFTW_jll
   3789.3 ms  ✓ TruncatedStacktraces
   5291.4 ms  ✓ OpenSpecFun_jll
   2401.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2496.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7589.1 ms  ✓ oneTBB_jll
   8089.6 ms  ✓ IntelOpenMP_jll
   2792.8 ms  ✓ SortingAlgorithms
  11206.4 ms  ✓ RecipesBase
   2401.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2568.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3423.9 ms  ✓ MaybeInplace
   5092.7 ms  ✓ ProgressMeter
   4112.7 ms  ✓ Rmath
   7423.1 ms  ✓ Setfield
  26205.2 ms  ✓ SparseArrays
   2909.9 ms  ✓ FiniteDiff
   6301.7 ms  ✓ PreallocationTools
   2901.9 ms  ✓ SuiteSparse
   3078.2 ms  ✓ Adapt → AdaptSparseArraysExt
   5845.0 ms  ✓ MKL_jll
   3288.1 ms  ✓ Statistics → SparseArraysExt
  10802.9 ms  ✓ QuadGK
   3779.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3687.8 ms  ✓ Distances → DistancesSparseArraysExt
   9415.9 ms  ✓ SciMLStructures
   3307.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3103.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2698.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3097.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3302.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  16090.3 ms  ✓ Accessors
   3913.2 ms  ✓ PDMats
  12200.5 ms  ✓ SpecialFunctions
   1972.3 ms  ✓ Accessors → LinearAlgebraExt
   2691.2 ms  ✓ FillArrays → FillArraysPDMatsExt
  21120.2 ms  ✓ Test
  26584.0 ms  ✓ Static
   3894.9 ms  ✓ DiffRules
   4911.8 ms  ✓ BangBang
