nice: cannot set niceness: Permission denied
Precompiling packages...
   1465.0 ms  ✓ OpenSSL_jll
   1493.8 ms  ✓ Zlib_jll
   1505.1 ms  ✓ UUIDs
   1600.2 ms  ✓ Unicode
   1629.4 ms  ✓ MozillaCACerts_jll
   1723.9 ms  ✓ Logging
   1722.8 ms  ✓ CompilerSupportLibraries_jll
   1730.8 ms  ✓ nghttp2_jll
   1809.5 ms  ✓ NetworkOptions
   1855.3 ms  ✓ Base64
    694.7 ms  ✓ LibSSH2_jll
    619.0 ms  ✓ p7zip_jll
    773.1 ms  ✓ Printf
    495.6 ms  ✓ LibCURL_jll
    504.3 ms  ✓ LibGit2_jll
   3214.9 ms  ✓ ArgTools
    805.7 ms  ✓ LibCURL
    629.0 ms  ✓ Tar
   3008.3 ms  ✓ Dates
   3139.7 ms  ✓ LibGit2
    437.2 ms  ✓ TOML
   3032.2 ms  ✓ Downloads
   9277.1 ms  ✓ StyledStrings
   1640.7 ms  ✓ JuliaSyntaxHighlighting
   3778.4 ms  ✓ Markdown
  46859.8 ms  ✓ Pkg
  26 dependencies successfully precompiled in 62 seconds
Precompiling packages...
   2404.7 ms  ✓ IteratorInterfaceExtensions
   2495.1 ms  ✓ ConcreteStructs
   2502.5 ms  ✓ MuladdMacro
   2495.7 ms  ✓ Future
   2794.5 ms  ✓ StatsAPI
   2889.8 ms  ✓ ExprTools
   3004.5 ms  ✓ PositiveFactorizations
   3298.5 ms  ✓ AbstractFFTs
   4079.7 ms  ✓ Serialization
   4198.4 ms  ✓ ADTypes
   2784.8 ms  ✓ OpenLibm_jll
   2689.1 ms  ✓ CommonSolve
   2807.2 ms  ✓ InverseFunctions
   5692.4 ms  ✓ InitialValues
   5781.4 ms  ✓ FillArrays
   3311.1 ms  ✓ Statistics
   3107.5 ms  ✓ SuiteSparse_jll
   6098.7 ms  ✓ Combinatorics
   3009.5 ms  ✓ ManualMemory
   3690.0 ms  ✓ IterTools
   2605.6 ms  ✓ Reexport
   2714.6 ms  ✓ EnumX
   2500.8 ms  ✓ SIMDTypes
   4589.3 ms  ✓ Requires
   2688.9 ms  ✓ CompositionsBase
   2614.5 ms  ✓ PtrArrays
   3091.8 ms  ✓ Mmap
   3598.9 ms  ✓ DocStringExtensions
   3584.4 ms  ✓ AbstractTrees
   2593.4 ms  ✓ FastPower
   2688.4 ms  ✓ TaskLocalValues
   2291.5 ms  ✓ IfElse
  11380.7 ms  ✓ Bessels
   2815.4 ms  ✓ StableTasks
   3641.0 ms  ✓ HashArrayMappedTries
   2586.6 ms  ✓ CommonWorldInvalidations
  12099.6 ms  ✓ FunctionWrappers
   2911.6 ms  ✓ CPUTime
   3897.7 ms  ✓ EnzymeCore
   2693.1 ms  ✓ DataAPI
   2894.5 ms  ✓ FastClosures
   2891.4 ms  ✓ ChunkSplitters
   3097.3 ms  ✓ SciMLPublic
   3100.5 ms  ✓ StaticArraysCore
  10786.5 ms  ✓ OrderedCollections
   3210.0 ms  ✓ LoggingExtras
  10297.7 ms  ✓ NaNMath
   4081.7 ms  ✓ Preferences
   4303.2 ms  ✓ CpuId
  16575.6 ms  ✓ ExproniconLite
   2594.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5301.0 ms  ✓ LazyArtifacts
   2712.2 ms  ✓ FillArrays → FillArraysStatisticsExt
  10304.6 ms  ✓ ConstructionBase
   5313.9 ms  ✓ SpatialIndexing
   2597.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3798.6 ms  ✓ Adapt
  15687.8 ms  ✓ IrrationalConstants
   2766.6 ms  ✓ AliasTables
  19382.9 ms  ✓ MacroTools
   3101.7 ms  ✓ ScopedValues
  10291.0 ms  ✓ Compat
   3404.7 ms  ✓ FunctionWrappersWrappers
   2703.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2511.0 ms  ✓ DiffResults
   9898.1 ms  ✓ RuntimeGeneratedFunctions
   2593.1 ms  ✓ PrecompileTools
   3180.2 ms  ✓ JLLWrappers
   2595.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3222.8 ms  ✓ SciMLLogging
   2410.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11501.0 ms  ✓ Distances
  15018.1 ms  ✓ InteractiveUtils
  12585.5 ms  ✓ DifferentiationInterface
   2625.2 ms  ✓ EnzymeCore → AdaptExt
   3309.6 ms  ✓ GPUArraysCore
  12605.8 ms  ✓ ThreadingUtilities
   2590.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3087.7 ms  ✓ CommonSubexpressions
   3809.0 ms  ✓ LogExpFunctions
   9995.3 ms  ✓ Missings
   9437.0 ms  ✓ DataStructures
   4199.7 ms  ✓ FFTW_jll
   5498.4 ms  ✓ Rmath_jll
  19725.2 ms  ✓ Distributed
   3809.4 ms  ✓ OpenSpecFun_jll
  11288.4 ms  ✓ Jieko
  10598.1 ms  ✓ ArrayInterface
  21920.4 ms  ✓ TimerOutputs
   9192.6 ms  ✓ RecipesBase
   2657.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7900.0 ms  ✓ IntelOpenMP_jll
   3409.9 ms  ✓ TruncatedStacktraces
   2907.2 ms  ✓ SortingAlgorithms
   7215.3 ms  ✓ Setfield
   9309.9 ms  ✓ oneTBB_jll
   2309.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4796.1 ms  ✓ ProgressMeter
   4379.6 ms  ✓ Rmath
   3401.0 ms  ✓ MaybeInplace
   2805.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2191.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
  25807.4 ms  ✓ SparseArrays
   3112.7 ms  ✓ FiniteDiff
   2887.5 ms  ✓ SuiteSparse
   6617.9 ms  ✓ MKL_jll
   6518.5 ms  ✓ PreallocationTools
   3228.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3381.0 ms  ✓ Statistics → SparseArraysExt
   3791.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
  11089.9 ms  ✓ QuadGK
   3280.1 ms  ✓ Distances → DistancesSparseArraysExt
   9183.5 ms  ✓ SciMLStructures
   3197.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3122.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3207.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2798.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3296.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  12440.5 ms  ✓ SpecialFunctions
   4016.1 ms  ✓ PDMats
  18812.7 ms  ✓ Accessors
   2678.7 ms  ✓ DiffRules
   1986.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   2072.1 ms  ✓ Accessors → LinearAlgebraExt
   3584.7 ms  ✓ HypergeometricFunctions
  28005.8 ms  ✓ Static
  22612.6 ms  ✓ Test
   5517.7 ms  ✓ BangBang
   2695.5 ms  ✓ BitTwiddlingConvenienceFunctions
   3384.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   5792.3 ms  ✓ CPUSummary
   3716.3 ms  ✓ Accessors → TestExt
  16108.1 ms  ✓ StatsBase
  12198.4 ms  ✓ SymbolicIndexingInterface
   8627.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   3603.4 ms  ✓ PolyesterWeave
  15501.3 ms  ✓ SciMLOperators
   3986.7 ms  ✓ PDMats → StatsBaseExt
  41608.5 ms  ✓ StaticArrays
  16305.7 ms  ✓ StatsFuns
   2899.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3897.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3292.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3789.7 ms  ✓ Adapt → AdaptStaticArraysExt
   3881.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3494.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3900.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
  21318.3 ms  ✓ Roots
   3207.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  12902.7 ms  ✓ OhMyThreads
   2602.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  23914.8 ms  ✓ ForwardDiff
   3507.0 ms  ✓ BangBang → BangBangStaticArraysExt
   6795.0 ms  ✓ Accessors → StaticArraysExt
   6798.2 ms  ✓ OhMyThreads → MarkdownExt
   5297.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   6813.4 ms  ✓ Roots → RootsForwardDiffExt
   6924.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  58611.1 ms  ✓ Parsers
  11685.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  13205.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  44108.3 ms  ✓ FFTW
  54504.1 ms  ✓ Moshi
  27610.9 ms  ✓ RecursiveArrayTools
   3590.1 ms  ✓ NLSolversBase
   1401.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1777.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   7885.1 ms  ✓ JSON
   2289.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  38191.2 ms  ✓ StaticArrayInterface
  22522.0 ms  ✓ NearestNeighbors
   1294.2 ms  ✓ CloseOpenIntervals
   1502.6 ms  ✓ LayoutPointers
   1601.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1693.9 ms  ✓ Neighborhood
   1380.4 ms  ✓ StrideArraysCore
   4813.4 ms  ✓ LineSearches
   2681.2 ms  ✓ Clustering
  25257.4 ms  ✓ Distributions
   1104.2 ms  ✓ Polyester
   1127.1 ms  ✓ FastBroadcast
   1788.8 ms  ✓ Distributions → DistributionsTestExt
   3125.4 ms  ✓ StateSpaceSets
    912.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3600.9 ms  ✓ Optim
   2828.7 ms  ✓ DelayEmbeddings
   5812.8 ms  ✓ BlackBoxOptim
  62369.8 ms  ✓ Polynomials
    762.5 ms  ✓ Polynomials → PolynomialsFFTWExt
  15845.6 ms  ✓ SciMLBase
    887.1 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1229.1 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2342.8 ms  ✓ DSP
   1990.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3304.9 ms  ✓ SciMLJacobianOperators
   2681.5 ms  ✓ Wavelets
   3087.0 ms  ✓ ComplexityMeasures
   6233.9 ms  ✓ NonlinearSolveBase
   1092.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1154.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3155.8 ms  ✓ BracketingNonlinearSolve
    984.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2293.4 ms  ✓ DiffEqBase
   1124.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1131.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3568.4 ms  ✓ OrdinaryDiffEqCore
   1195.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4764.3 ms  ✓ OrdinaryDiffEqTsit5
