nice: cannot set niceness: Permission denied
Precompiling packages...
    402.2 ms  ✓ DataValueInterfaces
    426.4 ms  ✓ Reexport
    551.5 ms  ✓ ConstructionBase
    443.2 ms  ✓ StatsAPI
    607.8 ms  ✓ IterTools
   1333.0 ms  ✓ IrrationalConstants
    548.2 ms  ✓ Inflate
    495.2 ms  ✓ CommonSolve
   1042.8 ms  ✓ Combinatorics
    475.5 ms  ✓ LaTeXStrings
    405.8 ms  ✓ TestItems
    530.3 ms  ✓ StableTasks
    604.0 ms  ✓ Statistics
    527.9 ms  ✓ StaticArraysCore
    498.4 ms  ✓ ChunkSplitters
    832.8 ms  ✓ SuiteSparse_jll
    491.3 ms  ✓ BinaryHeaps
    462.0 ms  ✓ PtrArrays
    708.8 ms  ✓ EnzymeCore
    437.4 ms  ✓ TaskLocalValues
    510.7 ms  ✓ Mmap
    500.1 ms  ✓ Adapt
    613.6 ms  ✓ VectorInterface
    479.5 ms  ✓ DataAPI
    511.1 ms  ✓ PositiveFactorizations
    436.7 ms  ✓ SciMLPublic
    433.2 ms  ✓ Future
    438.9 ms  ✓ FastPower
    459.1 ms  ✓ CompositionsBase
    549.9 ms  ✓ InverseFunctions
    655.8 ms  ✓ AbstractTrees
    568.7 ms  ✓ EnumX
    696.9 ms  ✓ AbstractFFTs
    757.8 ms  ✓ OpenLibm_jll
   5452.8 ms  ✓ MacroTools
    531.1 ms  ✓ ExprTools
   1351.5 ms  ✓ InitialValues
    475.4 ms  ✓ ConcreteStructs
   1221.3 ms  ✓ FillArrays
    680.8 ms  ✓ OrderedCollections
    496.7 ms  ✓ HashArrayMappedTries
    706.0 ms  ✓ ADTypes
    661.5 ms  ✓ Serialization
    616.7 ms  ✓ DocStringExtensions
   1814.1 ms  ✓ Bessels
    506.1 ms  ✓ FastClosures
    433.7 ms  ✓ IteratorInterfaceExtensions
    432.1 ms  ✓ PackageExtensionCompat
    740.4 ms  ✓ Gamma
    563.8 ms  ✓ Compat
    613.6 ms  ✓ LoggingExtras
