nice: cannot set niceness: Permission denied
Precompiling packages...
   1487.3 ms  ✓ UUIDs
   1613.1 ms  ✓ MozillaCACerts_jll
   1685.1 ms  ✓ Logging
   1724.8 ms  ✓ OpenSSL_jll
   1692.7 ms  ✓ nghttp2_jll
   1688.9 ms  ✓ Zlib_jll
   1777.8 ms  ✓ Unicode
   1784.0 ms  ✓ CompilerSupportLibraries_jll
   1789.1 ms  ✓ NetworkOptions
   1889.5 ms  ✓ Base64
    567.9 ms  ✓ LibSSH2_jll
    616.2 ms  ✓ p7zip_jll
    680.4 ms  ✓ Printf
    474.8 ms  ✓ LibCURL_jll
    488.5 ms  ✓ LibGit2_jll
   3341.6 ms  ✓ ArgTools
    789.0 ms  ✓ LibCURL
    700.6 ms  ✓ Tar
   3080.2 ms  ✓ Dates
    456.8 ms  ✓ TOML
   3325.4 ms  ✓ LibGit2
   3080.6 ms  ✓ Downloads
   9715.3 ms  ✓ StyledStrings
   1675.1 ms  ✓ JuliaSyntaxHighlighting
   3919.3 ms  ✓ Markdown
  48201.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 64 seconds
Precompiling packages...
   2610.3 ms  ✓ ConcreteStructs
   2615.3 ms  ✓ MuladdMacro
   2621.1 ms  ✓ ExprTools
   2716.7 ms  ✓ IteratorInterfaceExtensions
   2788.8 ms  ✓ Future
   3112.1 ms  ✓ StatsAPI
   3192.6 ms  ✓ PositiveFactorizations
   3592.6 ms  ✓ AbstractFFTs
   4110.0 ms  ✓ Serialization
   4190.7 ms  ✓ ADTypes
   2605.8 ms  ✓ OpenLibm_jll
   2508.4 ms  ✓ CommonSolve
   5220.6 ms  ✓ FillArrays
   5302.8 ms  ✓ InitialValues
   2706.4 ms  ✓ InverseFunctions
   5914.5 ms  ✓ Combinatorics
   3293.9 ms  ✓ Statistics
   3093.8 ms  ✓ SuiteSparse_jll
   3520.5 ms  ✓ IterTools
   2898.6 ms  ✓ ManualMemory
   2491.5 ms  ✓ Reexport
   2509.9 ms  ✓ SIMDTypes
   3104.6 ms  ✓ EnumX
   3308.5 ms  ✓ DocStringExtensions
   2703.9 ms  ✓ CompositionsBase
   4821.6 ms  ✓ Requires
   3198.9 ms  ✓ AbstractTrees
   2632.1 ms  ✓ PtrArrays
   2983.7 ms  ✓ Mmap
  10006.3 ms  ✓ Bessels
   5093.4 ms  ✓ SpatialIndexing
   2699.0 ms  ✓ FastPower
   3094.2 ms  ✓ HashArrayMappedTries
   2674.2 ms  ✓ TaskLocalValues
   2390.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  11634.0 ms  ✓ FunctionWrappers
   2535.7 ms  ✓ DataAPI
   2808.3 ms  ✓ CommonWorldInvalidations
   3013.8 ms  ✓ StableTasks
   2577.6 ms  ✓ ChunkSplitters
   2889.2 ms  ✓ FastClosures
   4114.9 ms  ✓ EnzymeCore
   2899.0 ms  ✓ SciMLPublic
   2879.6 ms  ✓ StaticArraysCore
   3527.7 ms  ✓ LoggingExtras
  10902.1 ms  ✓ OrderedCollections
  15512.3 ms  ✓ ExproniconLite
   3990.0 ms  ✓ Preferences
   4396.0 ms  ✓ CpuId
   2390.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4899.3 ms  ✓ LazyArtifacts
   2472.6 ms  ✓ FillArrays → FillArraysStatisticsExt
  10116.0 ms  ✓ ConstructionBase
   2914.4 ms  ✓ IfElse
  14793.0 ms  ✓ IrrationalConstants
   2714.4 ms  ✓ AliasTables
