nice: cannot set niceness: Permission denied
Precompiling packages...
   1540.6 ms  ✓ OpenSSL_jll
   1617.2 ms  ✓ UUIDs
   1715.0 ms  ✓ MozillaCACerts_jll
   1709.4 ms  ✓ Zlib_jll
   1717.8 ms  ✓ Unicode
   1725.8 ms  ✓ Logging
   1798.4 ms  ✓ nghttp2_jll
   1835.9 ms  ✓ NetworkOptions
   1833.0 ms  ✓ CompilerSupportLibraries_jll
   1891.3 ms  ✓ Base64
    717.9 ms  ✓ LibSSH2_jll
    618.2 ms  ✓ p7zip_jll
    741.7 ms  ✓ Printf
    495.2 ms  ✓ LibGit2_jll
    500.7 ms  ✓ LibCURL_jll
   3343.3 ms  ✓ ArgTools
    771.9 ms  ✓ LibCURL
    626.7 ms  ✓ Tar
   2882.2 ms  ✓ Dates
    449.8 ms  ✓ TOML
   3135.8 ms  ✓ LibGit2
   2946.9 ms  ✓ Downloads
   9335.1 ms  ✓ StyledStrings
   1691.5 ms  ✓ JuliaSyntaxHighlighting
   3774.8 ms  ✓ Markdown
  46595.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2423.5 ms  ✓ Future
   2542.1 ms  ✓ IteratorInterfaceExtensions
   2551.0 ms  ✓ ConcreteStructs
   2649.8 ms  ✓ MuladdMacro
   2651.4 ms  ✓ StatsAPI
   2740.1 ms  ✓ ExprTools
   3122.9 ms  ✓ PositiveFactorizations
   3250.8 ms  ✓ AbstractFFTs
   4129.5 ms  ✓ Serialization
   4239.4 ms  ✓ ADTypes
   2723.9 ms  ✓ OpenLibm_jll
   2604.9 ms  ✓ CommonSolve
   5334.9 ms  ✓ InitialValues
   5439.0 ms  ✓ FillArrays
   2979.4 ms  ✓ InverseFunctions
   2982.6 ms  ✓ SuiteSparse_jll
   3296.5 ms  ✓ Statistics
   6059.9 ms  ✓ Combinatorics
   2786.5 ms  ✓ ManualMemory
   3597.0 ms  ✓ IterTools
   2587.2 ms  ✓ Reexport
   2495.6 ms  ✓ SIMDTypes
   2804.4 ms  ✓ EnumX
   2592.5 ms  ✓ Mmap
   2480.9 ms  ✓ CompositionsBase
   4596.6 ms  ✓ Requires
   2677.3 ms  ✓ PtrArrays
   3223.2 ms  ✓ AbstractTrees
   3623.6 ms  ✓ DocStringExtensions
   2596.6 ms  ✓ FastPower
   5376.0 ms  ✓ SpatialIndexing
   2887.2 ms  ✓ TaskLocalValues
   2898.6 ms  ✓ HashArrayMappedTries
   2212.7 ms  ✓ CPUTime
   2400.0 ms  ✓ IfElse
   2798.8 ms  ✓ StableTasks
   2478.4 ms  ✓ CommonWorldInvalidations
  12035.3 ms  ✓ Bessels
  12248.8 ms  ✓ FunctionWrappers
   3819.9 ms  ✓ EnzymeCore
   2626.4 ms  ✓ DataAPI
   2619.0 ms  ✓ FastClosures
   3101.8 ms  ✓ ChunkSplitters
   2985.0 ms  ✓ StaticArraysCore
   3505.5 ms  ✓ SciMLPublic
   3303.3 ms  ✓ LoggingExtras
  11300.1 ms  ✓ OrderedCollections
   3799.7 ms  ✓ Preferences
   4429.2 ms  ✓ CpuId
  17045.5 ms  ✓ ExproniconLite
   2604.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5780.0 ms  ✓ LazyArtifacts
   2590.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   9828.7 ms  ✓ ConstructionBase
   2789.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  14877.8 ms  ✓ IrrationalConstants
   2904.1 ms  ✓ AliasTables
   3319.5 ms  ✓ Adapt
   9905.3 ms  ✓ Compat
   3488.1 ms  ✓ ScopedValues
  19524.8 ms  ✓ MacroTools
   9405.2 ms  ✓ RuntimeGeneratedFunctions
   3510.8 ms  ✓ FunctionWrappersWrappers
   9505.3 ms  ✓ NaNMath
   3323.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2877.4 ms  ✓ DiffResults
   2495.7 ms  ✓ PrecompileTools
   3196.1 ms  ✓ JLLWrappers
   2317.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  14880.4 ms  ✓ InteractiveUtils
   2506.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3289.6 ms  ✓ SciMLLogging
  12501.9 ms  ✓ DifferentiationInterface
  11693.6 ms  ✓ Distances
   3718.6 ms  ✓ LogExpFunctions
   2406.2 ms  ✓ EnzymeCore → AdaptExt
   2524.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3409.5 ms  ✓ GPUArraysCore
   3369.2 ms  ✓ CommonSubexpressions
  14300.1 ms  ✓ ThreadingUtilities
   9397.9 ms  ✓ DataStructures
  18394.2 ms  ✓ Distributed
  10205.0 ms  ✓ Missings
   4100.0 ms  ✓ Rmath_jll
   9999.3 ms  ✓ Jieko
   4403.9 ms  ✓ FFTW_jll
   6673.8 ms  ✓ IntelOpenMP_jll
   3814.7 ms  ✓ TruncatedStacktraces
  22670.9 ms  ✓ TimerOutputs
  10703.7 ms  ✓ ArrayInterface
   2400.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9501.0 ms  ✓ RecipesBase
   4890.2 ms  ✓ OpenSpecFun_jll
   7793.2 ms  ✓ oneTBB_jll
   2922.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3021.2 ms  ✓ SortingAlgorithms
   2503.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2174.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7901.5 ms  ✓ Setfield
   3406.8 ms  ✓ MaybeInplace
   3906.3 ms  ✓ Rmath
   4921.2 ms  ✓ ProgressMeter
   2792.8 ms  ✓ FiniteDiff
  28007.0 ms  ✓ SparseArrays
   5976.0 ms  ✓ PreallocationTools
   6121.8 ms  ✓ MKL_jll
   2701.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  10777.2 ms  ✓ QuadGK
   9173.7 ms  ✓ SciMLStructures
   3065.1 ms  ✓ Adapt → AdaptSparseArraysExt
   3102.7 ms  ✓ SuiteSparse
