Precompiling Pkg...
    966.6 ms  ✓ UUIDs
   1046.8 ms  ✓ MbedTLS_jll
   1045.5 ms  ✓ Zlib_jll
   1055.4 ms  ✓ nghttp2_jll
   1060.2 ms  ✓ Logging
   1070.0 ms  ✓ MozillaCACerts_jll
   1132.9 ms  ✓ Unicode
   1181.6 ms  ✓ NetworkOptions
   1157.3 ms  ✓ p7zip_jll
   1229.4 ms  ✓ Base64
    386.2 ms  ✓ LibSSH2_jll
    432.1 ms  ✓ Printf
    409.2 ms  ✓ LibCURL_jll
    418.3 ms  ✓ LibGit2_jll
   2052.3 ms  ✓ ArgTools
    590.2 ms  ✓ LibCURL
    589.7 ms  ✓ Tar
   2413.4 ms  ✓ Dates
   2852.9 ms  ✓ Markdown
   2372.7 ms  ✓ LibGit2
    398.7 ms  ✓ TOML
   2991.0 ms  ✓ Downloads
  39052.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1800.4 ms  ✓ IteratorInterfaceExtensions
   1815.7 ms  ✓ SimpleUnPack
   1818.1 ms  ✓ ConcreteStructs
   1809.8 ms  ✓ UnPack
   1901.6 ms  ✓ Future
   2018.7 ms  ✓ StatsAPI
   2022.4 ms  ✓ ExprTools
   2206.3 ms  ✓ MuladdMacro
   2616.9 ms  ✓ AbstractFFTs
   2715.7 ms  ✓ PositiveFactorizations
   3106.3 ms  ✓ ADTypes
   3223.9 ms  ✓ FunctionWrappers
   3288.3 ms  ✓ Serialization
   1705.7 ms  ✓ CommonSolve
   1901.1 ms  ✓ OpenLibm_jll
   2289.9 ms  ✓ InverseFunctions
   2292.0 ms  ✓ CompilerSupportLibraries_jll
   2501.4 ms  ✓ Statistics
   4396.7 ms  ✓ FillArrays
   4512.0 ms  ✓ Combinatorics
   1906.9 ms  ✓ ManualMemory
   2521.4 ms  ✓ SuiteSparse_jll
   2799.9 ms  ✓ IterTools
   1982.5 ms  ✓ EnumX
   1903.9 ms  ✓ Reexport
   2495.2 ms  ✓ Requires
   1711.4 ms  ✓ SIMDTypes
   2804.1 ms  ✓ OrderedCollections
   1806.8 ms  ✓ CompositionsBase
   1883.6 ms  ✓ PtrArrays
   1717.0 ms  ✓ FastPower
   2207.9 ms  ✓ Mmap
   2501.9 ms  ✓ DocStringExtensions
   1799.9 ms  ✓ IfElse
   1889.5 ms  ✓ CPUTime
   4197.3 ms  ✓ SpatialIndexing
   2004.6 ms  ✓ CommonWorldInvalidations
   3018.8 ms  ✓ EnzymeCore
   2381.6 ms  ✓ ConstructionBase
   2270.1 ms  ✓ DataAPI
   1998.7 ms  ✓ FastClosures
   9213.6 ms  ✓ ExproniconLite
   2717.3 ms  ✓ StaticArraysCore
   2795.0 ms  ✓ AliasTables
   4997.2 ms  ✓ IrrationalConstants
   2793.8 ms  ✓ CpuId
   7687.4 ms  ✓ Bessels
   1691.4 ms  ✓ FunctionWrappersWrappers
   1990.9 ms  ✓ RuntimeGeneratedFunctions
   2935.4 ms  ✓ Compat
   3283.2 ms  ✓ Preferences
   2313.9 ms  ✓ NaNMath
   3203.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2204.5 ms  ✓ Adapt
   2218.4 ms  ✓ Parameters
   2599.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9583.0 ms  ✓ MacroTools
   4501.5 ms  ✓ DifferentiationInterface
   3179.5 ms  ✓ Distances
   2377.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2313.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5493.4 ms  ✓ LazyArtifacts
   2699.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3905.2 ms  ✓ ThreadingUtilities
   2273.4 ms  ✓ Missings
   2181.8 ms  ✓ DiffResults
   2298.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   1912.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2205.3 ms  ✓ JLLWrappers
   2217.5 ms  ✓ PrecompileTools
   2304.3 ms  ✓ GPUArraysCore
   2693.3 ms  ✓ LogExpFunctions
   1900.2 ms  ✓ EnzymeCore → AdaptExt
   2710.1 ms  ✓ ArrayInterface
   2307.8 ms  ✓ CommonSubexpressions
   8999.1 ms  ✓ Distributed
   6926.9 ms  ✓ InteractiveUtils
   2695.4 ms  ✓ Rmath_jll
   2797.2 ms  ✓ OpenSpecFun_jll
   8270.4 ms  ✓ Jieko
   2102.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3486.8 ms  ✓ FFTW_jll
   3666.3 ms  ✓ oneTBB_jll
   5207.4 ms  ✓ Setfield
   1899.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2017.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3988.4 ms  ✓ Static
   2001.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1987.0 ms  ✓ SciMLStructures
   2404.3 ms  ✓ TruncatedStacktraces
   5588.4 ms  ✓ IntelOpenMP_jll
   3807.7 ms  ✓ ProgressMeter
   2412.4 ms  ✓ BitTwiddlingConvenienceFunctions
   4207.7 ms  ✓ Rmath
