nice: cannot set niceness: Permission denied
Precompiling packages...
    401.9 ms  ✓ CPUTime
    407.0 ms  ✓ Reexport
    550.5 ms  ✓ ConstructionBase
    460.0 ms  ✓ StatsAPI
    644.7 ms  ✓ IterTools
    459.1 ms  ✓ CommonSolve
   1326.4 ms  ✓ IrrationalConstants
   1052.3 ms  ✓ Combinatorics
    556.8 ms  ✓ StableTasks
    529.7 ms  ✓ StaticArraysCore
    599.7 ms  ✓ Statistics
    509.7 ms  ✓ ChunkSplitters
    437.7 ms  ✓ IfElse
    867.2 ms  ✓ SuiteSparse_jll
    710.7 ms  ✓ EnzymeCore
    457.6 ms  ✓ PtrArrays
    540.7 ms  ✓ Mmap
    443.2 ms  ✓ TaskLocalValues
    501.9 ms  ✓ ManualMemory
    529.0 ms  ✓ PositiveFactorizations
    491.3 ms  ✓ DataAPI
    426.1 ms  ✓ CommonWorldInvalidations
    839.1 ms  ✓ SciMLPublic
    405.6 ms  ✓ Future
    429.5 ms  ✓ FastPower
    429.5 ms  ✓ CompositionsBase
    506.1 ms  ✓ InverseFunctions
    633.8 ms  ✓ AbstractTrees
    515.2 ms  ✓ MuladdMacro
    685.2 ms  ✓ AbstractFFTs
    578.5 ms  ✓ EnumX
   2382.5 ms  ✓ ExproniconLite
   1369.2 ms  ✓ InitialValues
   5600.4 ms  ✓ MacroTools
    474.8 ms  ✓ ExprTools
    711.5 ms  ✓ OpenLibm_jll
    429.9 ms  ✓ ConcreteStructs
   1113.9 ms  ✓ FillArrays
    901.5 ms  ✓ SpatialIndexing
    667.4 ms  ✓ OrderedCollections
    467.8 ms  ✓ HashArrayMappedTries
    701.8 ms  ✓ ADTypes
    706.3 ms  ✓ Serialization
   1787.7 ms  ✓ Bessels
    675.3 ms  ✓ DocStringExtensions
    500.8 ms  ✓ FastClosures
    424.8 ms  ✓ SIMDTypes
    436.1 ms  ✓ IteratorInterfaceExtensions
    748.4 ms  ✓ Requires
    574.6 ms  ✓ LoggingExtras
    752.3 ms  ✓ CpuId
    575.2 ms  ✓ Compat
   1322.1 ms  ✓ InteractiveUtils
    857.3 ms  ✓ LazyArtifacts
    514.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    564.1 ms  ✓ DiffResults
    603.5 ms  ✓ AliasTables
   3835.0 ms  ✓ FunctionWrappers
    895.1 ms  ✓ Distances
   2180.0 ms  ✓ Preferences
    537.6 ms  ✓ Missings
    467.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    459.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1278.6 ms  ✓ ThreadingUtilities
    575.7 ms  ✓ CommonSubexpressions
    514.1 ms  ✓ NaNMath
    499.8 ms  ✓ FillArrays → FillArraysStatisticsExt
    455.3 ms  ✓ ScopedValues
    414.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    426.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2016.1 ms  ✓ Jieko
   1123.8 ms  ✓ DifferentiationInterface
   1802.8 ms  ✓ DataStructures
    418.7 ms  ✓ RuntimeGeneratedFunctions
    622.6 ms  ✓ LogExpFunctions
    488.6 ms  ✓ Adapt
    512.5 ms  ✓ Compat → CompatLinearAlgebraExt
   4065.7 ms  ✓ TimerOutputs
    480.6 ms  ✓ FunctionWrappersWrappers
   2929.1 ms  ✓ Distributed
   1563.4 ms  ✓ Setfield
    473.0 ms  ✓ PrecompileTools
    623.3 ms  ✓ JLLWrappers
    530.0 ms  ✓ TruncatedStacktraces
    572.2 ms  ✓ SciMLLogging
    538.7 ms  ✓ SortingAlgorithms
   4592.5 ms  ✓ SparseArrays
    422.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    925.2 ms  ✓ QuadGK
    658.7 ms  ✓ ArrayInterface
    625.0 ms  ✓ GPUArraysCore
   2506.2 ms  ✓ Accessors
    424.7 ms  ✓ EnzymeCore → AdaptExt
    789.0 ms  ✓ ProgressMeter
   1874.5 ms  ✓ RecipesBase
   9712.9 ms  ✓ Test
    648.3 ms  ✓ Rmath_jll
    822.2 ms  ✓ OpenSpecFun_jll
   1340.1 ms  ✓ IntelOpenMP_jll
  10848.8 ms  ✓ Moshi
   1331.3 ms  ✓ oneTBB_jll
    673.1 ms  ✓ FFTW_jll
    647.7 ms  ✓ Statistics → SparseArraysExt
    772.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
    728.0 ms  ✓ SuiteSparse
    808.1 ms  ✓ Distances → DistancesSparseArraysExt
    871.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    861.9 ms  ✓ Adapt → AdaptSparseArraysExt
    595.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    816.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1005.5 ms  ✓ MaybeInplace
    912.2 ms  ✓ SciMLStructures
    586.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1688.6 ms  ✓ PreallocationTools
    605.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    695.9 ms  ✓ Accessors → LinearAlgebraExt
    790.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  16147.6 ms  ✓ StaticArrays
  15760.1 ms  ✓ Parsers
    662.5 ms  ✓ Accessors → TestExt
    698.7 ms  ✓ Rmath
   1339.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1289.7 ms  ✓ MKL_jll
   1011.6 ms  ✓ PDMats
   2899.9 ms  ✓ SpecialFunctions
   2815.2 ms  ✓ StatsBase
    821.9 ms  ✓ FiniteDiff
    701.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    883.4 ms  ✓ BangBang
   1258.1 ms  ✓ SymbolicIndexingInterface
   1985.3 ms  ✓ SciMLOperators
    726.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    696.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    756.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
    729.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    709.3 ms  ✓ Adapt → AdaptStaticArraysExt
   3458.3 ms  ✓ Roots
    765.9 ms  ✓ Accessors → StaticArraysExt
    773.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   2100.1 ms  ✓ JSON
   1264.4 ms  ✓ HypergeometricFunctions
    785.6 ms  ✓ DiffRules
    766.3 ms  ✓ PDMats → StatsBaseExt
    708.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    676.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    584.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    754.0 ms  ✓ BangBang → BangBangStaticArraysExt
   1056.5 ms  ✓ OhMyThreads
  27032.1 ms  ✓ Static
    484.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    629.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1560.0 ms  ✓ StatsFuns
   4764.4 ms  ✓ RecursiveArrayTools
    883.5 ms  ✓ OhMyThreads → MarkdownExt
    805.3 ms  ✓ BitTwiddlingConvenienceFunctions
   5975.2 ms  ✓ NearestNeighbors
   5285.0 ms  ✓ ForwardDiff
   1546.1 ms  ✓ CPUSummary
    689.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1006.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    722.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  14717.0 ms  ✓ FFTW
   1098.4 ms  ✓ Neighborhood
    821.3 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1933.2 ms  ✓ Clustering
    631.7 ms  ✓ FastPower → FastPowerForwardDiffExt
    759.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  27311.9 ms  ✓ Polynomials
    567.8 ms  ✓ Roots → RootsForwardDiffExt
   5726.8 ms  ✓ Distributions
    608.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1280.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    678.3 ms  ✓ PolyesterWeave
    835.5 ms  ✓ NLSolversBase
    960.0 ms  ✓ StateSpaceSets
    940.1 ms  ✓ Polynomials → PolynomialsFFTWExt
    896.4 ms  ✓ LineSearches
   1200.6 ms  ✓ Distributions → DistributionsTestExt
   2531.1 ms  ✓ DSP
   2580.7 ms  ✓ Optim
   4505.7 ms  ✓ BlackBoxOptim
   1686.5 ms  ✓ DelayEmbeddings
   1847.7 ms  ✓ Wavelets
  15356.8 ms  ✓ StaticArrayInterface
    522.9 ms  ✓ CloseOpenIntervals
    604.3 ms  ✓ LayoutPointers
    634.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
    717.3 ms  ✓ StrideArraysCore
   3161.1 ms  ✓ ComplexityMeasures
    594.0 ms  ✓ Polyester
  10302.9 ms  ✓ SciMLBase
    639.8 ms  ✓ FastBroadcast
    750.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1047.4 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    567.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1180.7 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2100.3 ms  ✓ SciMLJacobianOperators
   4628.5 ms  ✓ NonlinearSolveBase
   1039.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1058.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3071.7 ms  ✓ BracketingNonlinearSolve
    949.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2086.4 ms  ✓ DiffEqBase
   1044.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1050.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3124.1 ms  ✓ OrdinaryDiffEqCore
   1175.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   9743.8 ms  ✓ OrdinaryDiffEqTsit5
   1711.2 ms  ✓ DynamicalSystemsBase
   3107.4 ms  ✓ Attractors
  210 dependencies successfully precompiled in 102 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 471.60
	System time (seconds): 36.95
	Percent of CPU this job got: 258%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:16.68
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2775468
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1078
	Minor (reclaiming a frame) page faults: 13459528
	Voluntary context switches: 38300
	Involuntary context switches: 13452
	Swaps: 0
	File system inputs: 62232
	File system outputs: 1122904
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
