nice: cannot set niceness: Permission denied
Precompiling packages...
    421.0 ms  ✓ Reexport
    424.1 ms  ✓ CPUTime
    580.3 ms  ✓ ConstructionBase
    496.9 ms  ✓ StatsAPI
    641.8 ms  ✓ IterTools
   1277.4 ms  ✓ IrrationalConstants
    492.3 ms  ✓ CommonSolve
   1064.2 ms  ✓ Combinatorics
    593.7 ms  ✓ StableTasks
    623.0 ms  ✓ Statistics
    535.5 ms  ✓ StaticArraysCore
    532.5 ms  ✓ ChunkSplitters
    451.9 ms  ✓ IfElse
    929.8 ms  ✓ SuiteSparse_jll
    720.3 ms  ✓ EnzymeCore
    477.0 ms  ✓ PtrArrays
    579.6 ms  ✓ Mmap
    468.0 ms  ✓ TaskLocalValues
    539.6 ms  ✓ ManualMemory
    583.8 ms  ✓ PositiveFactorizations
    494.7 ms  ✓ DataAPI
    463.4 ms  ✓ CommonWorldInvalidations
    753.4 ms  ✓ SciMLPublic
    477.8 ms  ✓ Future
    543.3 ms  ✓ FastPower
    665.8 ms  ✓ InverseFunctions
    556.4 ms  ✓ CompositionsBase
   4569.7 ms  ✓ MacroTools
    659.7 ms  ✓ AbstractTrees
    477.3 ms  ✓ MuladdMacro
    613.4 ms  ✓ AbstractFFTs
   2242.5 ms  ✓ ExproniconLite
    526.2 ms  ✓ EnumX
   1235.1 ms  ✓ InitialValues
    726.0 ms  ✓ OpenLibm_jll
    489.6 ms  ✓ ExprTools
    454.6 ms  ✓ ConcreteStructs
   1083.6 ms  ✓ FillArrays
    940.5 ms  ✓ SpatialIndexing
    674.8 ms  ✓ OrderedCollections
    508.9 ms  ✓ HashArrayMappedTries
    698.2 ms  ✓ ADTypes
    740.3 ms  ✓ Serialization
   1714.2 ms  ✓ Bessels
    706.8 ms  ✓ DocStringExtensions
    575.4 ms  ✓ FastClosures
    483.3 ms  ✓ SIMDTypes
    477.8 ms  ✓ IteratorInterfaceExtensions
    813.4 ms  ✓ Requires
    800.2 ms  ✓ CpuId
    601.3 ms  ✓ LoggingExtras
    647.3 ms  ✓ Compat
   3041.8 ms  ✓ FunctionWrappers
   1488.2 ms  ✓ InteractiveUtils
    466.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    924.8 ms  ✓ LazyArtifacts
    486.2 ms  ✓ DiffResults
    548.3 ms  ✓ AliasTables
    800.4 ms  ✓ Distances
   1849.5 ms  ✓ Preferences
    543.3 ms  ✓ Missings
    465.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    485.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1109.5 ms  ✓ ThreadingUtilities
    501.6 ms  ✓ PrecompileTools
    631.1 ms  ✓ CommonSubexpressions
    564.7 ms  ✓ NaNMath
    543.7 ms  ✓ FillArrays → FillArraysStatisticsExt
    469.8 ms  ✓ ScopedValues
    424.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    397.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1005.3 ms  ✓ DifferentiationInterface
