Precompiling Pkg...
   1049.3 ms  ✓ Unicode
   1052.5 ms  ✓ Logging
   1049.7 ms  ✓ Zlib_jll
   1062.1 ms  ✓ MozillaCACerts_jll
   1065.1 ms  ✓ UUIDs
   1152.2 ms  ✓ nghttp2_jll
   1151.7 ms  ✓ p7zip_jll
   1161.7 ms  ✓ Base64
   1179.9 ms  ✓ MbedTLS_jll
   1266.6 ms  ✓ NetworkOptions
    343.0 ms  ✓ LibSSH2_jll
    481.9 ms  ✓ Printf
    428.1 ms  ✓ LibCURL_jll
    448.7 ms  ✓ LibGit2_jll
   2081.0 ms  ✓ ArgTools
    553.0 ms  ✓ LibCURL
    571.1 ms  ✓ Tar
   2430.8 ms  ✓ Dates
   2863.7 ms  ✓ Markdown
   2292.8 ms  ✓ LibGit2
    369.9 ms  ✓ TOML
   2930.7 ms  ✓ Downloads
  40942.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 47 seconds
Precompiling project...
   1782.4 ms  ✓ IteratorInterfaceExtensions
   1790.5 ms  ✓ ConcreteStructs
   1878.1 ms  ✓ SimpleUnPack
   1889.5 ms  ✓ MuladdMacro
   1958.1 ms  ✓ UnPack
   1973.6 ms  ✓ Future
   2263.0 ms  ✓ ExprTools
   2381.1 ms  ✓ StatsAPI
   2572.4 ms  ✓ PositiveFactorizations
   3072.3 ms  ✓ AbstractFFTs
   3265.4 ms  ✓ ADTypes
   3257.9 ms  ✓ Serialization
   3668.4 ms  ✓ FunctionWrappers
   1710.4 ms  ✓ CommonSolve
   1973.1 ms  ✓ OpenLibm_jll
   2294.3 ms  ✓ InverseFunctions
   4494.2 ms  ✓ Combinatorics
   2585.3 ms  ✓ CompilerSupportLibraries_jll
   2785.1 ms  ✓ Statistics
   4666.1 ms  ✓ FillArrays
   2307.5 ms  ✓ SuiteSparse_jll
   2615.1 ms  ✓ IterTools
   2206.1 ms  ✓ ManualMemory
   1818.0 ms  ✓ Reexport
   2107.0 ms  ✓ EnumX
   1695.9 ms  ✓ SIMDTypes
   2699.0 ms  ✓ OrderedCollections
   1885.9 ms  ✓ PtrArrays
   1991.1 ms  ✓ CompositionsBase
   2004.6 ms  ✓ Mmap
   1889.0 ms  ✓ FastPower
   2699.6 ms  ✓ DocStringExtensions
   1893.9 ms  ✓ IfElse
   1922.0 ms  ✓ CPUTime
   4272.8 ms  ✓ SpatialIndexing
   1997.8 ms  ✓ CommonWorldInvalidations
   2689.0 ms  ✓ ConstructionBase
   3184.1 ms  ✓ EnzymeCore
   9084.4 ms  ✓ ExproniconLite
   2594.9 ms  ✓ DataAPI
   2512.7 ms  ✓ FastClosures
   2507.4 ms  ✓ StaticArraysCore
   5992.1 ms  ✓ DifferentiationInterface
   7494.2 ms  ✓ Bessels
   5298.3 ms  ✓ IrrationalConstants
   2492.7 ms  ✓ Requires
   3373.8 ms  ✓ CpuId
   3099.6 ms  ✓ Preferences
   2791.0 ms  ✓ Compat
   2803.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2180.2 ms  ✓ FunctionWrappersWrappers
   2114.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2404.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2519.4 ms  ✓ NaNMath
   1990.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10000.4 ms  ✓ MacroTools
   2400.6 ms  ✓ Parameters
   2299.7 ms  ✓ AliasTables
   2293.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4923.5 ms  ✓ LazyArtifacts
   3987.2 ms  ✓ Distances
   7011.5 ms  ✓ InteractiveUtils
   2602.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2280.1 ms  ✓ DiffResults
   2705.0 ms  ✓ RuntimeGeneratedFunctions
   2673.1 ms  ✓ Missings
   4621.6 ms  ✓ ThreadingUtilities
   2105.7 ms  ✓ Adapt
   2012.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2112.0 ms  ✓ JLLWrappers
   2122.6 ms  ✓ PrecompileTools
   2399.5 ms  ✓ CommonSubexpressions
   2920.4 ms  ✓ LogExpFunctions
   2499.1 ms  ✓ TruncatedStacktraces
   2582.4 ms  ✓ EnzymeCore → AdaptExt
   2604.6 ms  ✓ GPUArraysCore
   9014.9 ms  ✓ Distributed
   2811.6 ms  ✓ ArrayInterface
   2791.2 ms  ✓ Rmath_jll
   2902.1 ms  ✓ oneTBB_jll
   3089.5 ms  ✓ FFTW_jll
   3178.7 ms  ✓ OpenSpecFun_jll
   5906.7 ms  ✓ Setfield
   1984.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2005.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   8627.5 ms  ✓ Jieko
   2199.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2119.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3494.3 ms  ✓ Static
   5996.9 ms  ✓ IntelOpenMP_jll
   1900.0 ms  ✓ SciMLStructures
   4200.2 ms  ✓ ProgressMeter
   1994.3 ms  ✓ BitTwiddlingConvenienceFunctions
   3596.5 ms  ✓ Rmath
   9408.9 ms  ✓ Accessors
   8785.6 ms  ✓ DataStructures
   3188.4 ms  ✓ FiniteDiff
   7196.7 ms  ✓ RecipesBase
  15516.6 ms  ✓ SparseArrays
   2599.5 ms  ✓ Accessors → LinearAlgebraExt
   5016.3 ms  ✓ CPUSummary
   2616.6 ms  ✓ SortingAlgorithms
   2307.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5795.2 ms  ✓ StaticArrayInterface
   5981.2 ms  ✓ MKL_jll
