nice: cannot set niceness: Permission denied
Precompiling packages...
   1663.9 ms  ✓ nghttp2_jll
   1663.0 ms  ✓ Unicode
   1666.7 ms  ✓ Logging
   1667.5 ms  ✓ UUIDs
   1675.9 ms  ✓ CompilerSupportLibraries_jll
   1691.3 ms  ✓ Zlib_jll
   1767.2 ms  ✓ MozillaCACerts_jll
   1798.6 ms  ✓ OpenSSL_jll
   1802.1 ms  ✓ NetworkOptions
   1870.9 ms  ✓ Base64
    480.8 ms  ✓ LibSSH2_jll
    593.5 ms  ✓ p7zip_jll
    669.9 ms  ✓ Printf
    450.0 ms  ✓ LibGit2_jll
    462.3 ms  ✓ LibCURL_jll
   3228.6 ms  ✓ ArgTools
    776.8 ms  ✓ LibCURL
    652.5 ms  ✓ Tar
   2983.7 ms  ✓ Dates
    458.7 ms  ✓ TOML
   3108.5 ms  ✓ LibGit2
   3051.6 ms  ✓ Downloads
   9708.8 ms  ✓ StyledStrings
   1648.2 ms  ✓ JuliaSyntaxHighlighting
   3982.0 ms  ✓ Markdown
  48069.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2353.2 ms  ✓ ConcreteStructs
   2436.0 ms  ✓ IteratorInterfaceExtensions
   2549.4 ms  ✓ LaTeXStrings
   2623.7 ms  ✓ StatsAPI
   2635.8 ms  ✓ Future
   2718.3 ms  ✓ ExprTools
   2822.7 ms  ✓ PositiveFactorizations
   3339.8 ms  ✓ AbstractFFTs
   3833.4 ms  ✓ ADTypes
   4039.2 ms  ✓ Gamma
   4223.8 ms  ✓ Serialization
   2690.7 ms  ✓ OpenLibm_jll
   2609.7 ms  ✓ CommonSolve
   2900.3 ms  ✓ InverseFunctions
   2802.8 ms  ✓ SuiteSparse_jll
   5647.3 ms  ✓ Combinatorics
   5805.5 ms  ✓ InitialValues
   5830.3 ms  ✓ FillArrays
   3299.6 ms  ✓ Statistics
   3411.4 ms  ✓ IterTools
   2778.7 ms  ✓ DataValueInterfaces
   2575.3 ms  ✓ Reexport
   3071.5 ms  ✓ EnumX
   2424.8 ms  ✓ TestItems
   2611.4 ms  ✓ CompositionsBase
   2476.8 ms  ✓ PtrArrays
   3112.4 ms  ✓ AbstractTrees
   2925.7 ms  ✓ Mmap
   3514.2 ms  ✓ DocStringExtensions
   2994.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   2892.2 ms  ✓ HashArrayMappedTries
   2630.5 ms  ✓ TaskLocalValues
   2898.1 ms  ✓ StableTasks
   3329.8 ms  ✓ VectorInterface
  10506.9 ms  ✓ Bessels
   2895.9 ms  ✓ Adapt
   2797.9 ms  ✓ DataAPI
   3105.7 ms  ✓ Inflate
   2676.7 ms  ✓ FastClosures
   3100.5 ms  ✓ PackageExtensionCompat
  11730.5 ms  ✓ FunctionWrappers
   3765.2 ms  ✓ EnzymeCore
   2787.2 ms  ✓ ChunkSplitters
   2816.0 ms  ✓ SciMLPublic
   2801.0 ms  ✓ BinaryHeaps
   2902.9 ms  ✓ StaticArraysCore
  10513.3 ms  ✓ OrderedCollections
   2421.8 ms  ✓ TableTraits
   3076.0 ms  ✓ LoggingExtras
   3705.2 ms  ✓ Preferences
   2587.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2327.9 ms  ✓ FastPower
   5583.8 ms  ✓ HypergeometricFunctions
   6083.1 ms  ✓ LazyArtifacts
  10121.6 ms  ✓ ConstructionBase
   2701.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2801.2 ms  ✓ AliasTables
   2825.4 ms  ✓ ScopedValues
  15288.6 ms  ✓ IrrationalConstants
   3683.4 ms  ✓ GPUArraysCore
  18912.8 ms  ✓ MacroTools
  10295.7 ms  ✓ Compat
  13491.7 ms  ✓ Crayons
  11099.3 ms  ✓ ArrayInterface
   9299.4 ms  ✓ RuntimeGeneratedFunctions
   9897.0 ms  ✓ NaNMath
   2803.9 ms  ✓ EnzymeCore → AdaptExt
   3214.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2526.8 ms  ✓ DiffResults
  12023.4 ms  ✓ DifferentiationInterface
   2795.5 ms  ✓ PrecompileTools
   3311.6 ms  ✓ JLLWrappers
   2788.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3414.1 ms  ✓ SciMLLogging
   2495.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11363.2 ms  ✓ Distances
   2494.4 ms  ✓ Compat → CompatLinearAlgebraExt
   3168.8 ms  ✓ CommonSubexpressions
   3794.2 ms  ✓ LogExpFunctions
   8873.0 ms  ✓ KrylovKit
   2135.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2580.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   9484.5 ms  ✓ Missings
   3504.8 ms  ✓ MaybeInplace
   2786.2 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   2692.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3572.0 ms  ✓ FastBroadcast
  17104.4 ms  ✓ Distributed
   8686.0 ms  ✓ DataStructures
   5020.6 ms  ✓ MuladdMacro
   3478.6 ms  ✓ Rmath_jll
  14574.9 ms  ✓ InteractiveUtils
   3602.0 ms  ✓ FFTW_jll
  11631.9 ms  ✓ Tables
   3497.2 ms  ✓ OpenSpecFun_jll
