nice: cannot set niceness: Permission denied
Precompiling packages...
    427.4 ms  ✓ CPUTime
    439.6 ms  ✓ Reexport
    571.2 ms  ✓ ConstructionBase
    483.0 ms  ✓ StatsAPI
    606.1 ms  ✓ IterTools
   1344.4 ms  ✓ IrrationalConstants
    464.4 ms  ✓ CommonSolve
    581.7 ms  ✓ StableTasks
   1054.4 ms  ✓ Combinatorics
    540.1 ms  ✓ StaticArraysCore
    631.1 ms  ✓ Statistics
    508.7 ms  ✓ ChunkSplitters
    460.5 ms  ✓ IfElse
    464.1 ms  ✓ PtrArrays
    989.2 ms  ✓ SuiteSparse_jll
    717.6 ms  ✓ EnzymeCore
    560.8 ms  ✓ Mmap
    456.6 ms  ✓ TaskLocalValues
    527.1 ms  ✓ ManualMemory
    581.1 ms  ✓ PositiveFactorizations
    488.6 ms  ✓ DataAPI
    453.2 ms  ✓ CommonWorldInvalidations
    430.6 ms  ✓ Future
    897.0 ms  ✓ SciMLPublic
    439.5 ms  ✓ FastPower
    469.8 ms  ✓ CompositionsBase
    543.5 ms  ✓ InverseFunctions
    627.7 ms  ✓ AbstractTrees
    564.1 ms  ✓ MuladdMacro
   2293.2 ms  ✓ ExproniconLite
    727.6 ms  ✓ AbstractFFTs
    602.7 ms  ✓ EnumX
   5738.0 ms  ✓ MacroTools
   1534.2 ms  ✓ InitialValues
    509.8 ms  ✓ ExprTools
    836.1 ms  ✓ OpenLibm_jll
    437.9 ms  ✓ ConcreteStructs
   1142.3 ms  ✓ FillArrays
    936.4 ms  ✓ SpatialIndexing
    675.2 ms  ✓ OrderedCollections
    497.7 ms  ✓ HashArrayMappedTries
    741.6 ms  ✓ ADTypes
    736.8 ms  ✓ Serialization
   1751.3 ms  ✓ Bessels
    703.1 ms  ✓ DocStringExtensions
    533.7 ms  ✓ FastClosures
    463.7 ms  ✓ SIMDTypes
    443.3 ms  ✓ IteratorInterfaceExtensions
    798.5 ms  ✓ Requires
    805.7 ms  ✓ CpuId
    613.5 ms  ✓ LoggingExtras
    623.9 ms  ✓ Compat
   1402.5 ms  ✓ InteractiveUtils
    905.5 ms  ✓ LazyArtifacts
    453.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    490.7 ms  ✓ DiffResults
    555.2 ms  ✓ AliasTables
    846.8 ms  ✓ Distances
   3961.8 ms  ✓ FunctionWrappers
    583.6 ms  ✓ Missings
    483.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    473.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2279.7 ms  ✓ Preferences
   1303.4 ms  ✓ ThreadingUtilities
    539.1 ms  ✓ NaNMath
    583.7 ms  ✓ CommonSubexpressions
    513.4 ms  ✓ FillArrays → FillArraysStatisticsExt
    479.5 ms  ✓ ScopedValues
    445.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    493.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2012.0 ms  ✓ Jieko
   1162.6 ms  ✓ DifferentiationInterface
   1787.3 ms  ✓ DataStructures
    480.0 ms  ✓ RuntimeGeneratedFunctions
    695.8 ms  ✓ LogExpFunctions
    605.8 ms  ✓ Adapt
    572.7 ms  ✓ Compat → CompatLinearAlgebraExt
   4048.3 ms  ✓ TimerOutputs
   2747.2 ms  ✓ Distributed
    501.4 ms  ✓ FunctionWrappersWrappers
    484.7 ms  ✓ PrecompileTools
   1571.9 ms  ✓ Setfield
    591.9 ms  ✓ JLLWrappers
    618.4 ms  ✓ SciMLLogging
    576.7 ms  ✓ TruncatedStacktraces
   4441.4 ms  ✓ SparseArrays
    548.3 ms  ✓ SortingAlgorithms
   2593.8 ms  ✓ Accessors
    514.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1030.5 ms  ✓ QuadGK
    425.5 ms  ✓ EnzymeCore → AdaptExt
    612.0 ms  ✓ ArrayInterface
    587.2 ms  ✓ GPUArraysCore
    794.3 ms  ✓ ProgressMeter
   1887.9 ms  ✓ RecipesBase
  10295.3 ms  ✓ Test
    820.8 ms  ✓ Rmath_jll
    822.1 ms  ✓ OpenSpecFun_jll
  10390.2 ms  ✓ Moshi
   1275.2 ms  ✓ IntelOpenMP_jll
    770.7 ms  ✓ FFTW_jll
   1315.0 ms  ✓ oneTBB_jll
    753.5 ms  ✓ Statistics → SparseArraysExt
    992.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
    856.1 ms  ✓ SuiteSparse
    882.8 ms  ✓ Distances → DistancesSparseArraysExt
    902.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    830.6 ms  ✓ Adapt → AdaptSparseArraysExt
    732.7 ms  ✓ Accessors → LinearAlgebraExt
    615.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1038.8 ms  ✓ MaybeInplace
    879.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    950.3 ms  ✓ SciMLStructures
    646.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  14920.0 ms  ✓ Parsers
   1723.7 ms  ✓ PreallocationTools
    579.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  16414.5 ms  ✓ StaticArrays
    733.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    592.9 ms  ✓ Accessors → TestExt
    732.3 ms  ✓ Rmath
   1649.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1124.8 ms  ✓ MKL_jll
    820.1 ms  ✓ PDMats
   2408.1 ms  ✓ SpecialFunctions
    781.4 ms  ✓ BangBang
   2317.0 ms  ✓ StatsBase
    699.7 ms  ✓ FiniteDiff
   1766.3 ms  ✓ SciMLOperators
   1297.7 ms  ✓ SymbolicIndexingInterface
    738.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3313.7 ms  ✓ Roots
    785.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    737.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    820.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2121.0 ms  ✓ JSON
    798.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    772.1 ms  ✓ Adapt → AdaptStaticArraysExt
    760.1 ms  ✓ Accessors → StaticArraysExt
    761.0 ms  ✓ FillArrays → FillArraysPDMatsExt
   1176.6 ms  ✓ HypergeometricFunctions
    800.5 ms  ✓ DiffRules
    757.7 ms  ✓ BangBang → BangBangStaticArraysExt
   1101.0 ms  ✓ OhMyThreads
    733.2 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    879.0 ms  ✓ PDMats → StatsBaseExt
    687.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    752.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    590.0 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    847.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  29852.5 ms  ✓ Static
   2615.1 ms  ✓ StatsFuns
   6097.4 ms  ✓ RecursiveArrayTools
   1001.5 ms  ✓ OhMyThreads → MarkdownExt
   6814.1 ms  ✓ NearestNeighbors
    710.8 ms  ✓ BitTwiddlingConvenienceFunctions
   1428.0 ms  ✓ CPUSummary
    693.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  14835.0 ms  ✓ FFTW
   5256.8 ms  ✓ ForwardDiff
    960.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    649.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1096.5 ms  ✓ Neighborhood
  25620.0 ms  ✓ Polynomials
    639.4 ms  ✓ PolyesterWeave
    708.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   1736.1 ms  ✓ Clustering
    522.1 ms  ✓ FastPower → FastPowerForwardDiffExt
    667.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    565.4 ms  ✓ Roots → RootsForwardDiffExt
    613.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1387.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   5062.2 ms  ✓ Distributions
    990.6 ms  ✓ StateSpaceSets
    841.3 ms  ✓ NLSolversBase
    957.5 ms  ✓ Polynomials → PolynomialsFFTWExt
    917.7 ms  ✓ LineSearches
   1255.2 ms  ✓ Distributions → DistributionsTestExt
   2493.3 ms  ✓ DSP
   2666.2 ms  ✓ Optim
   4469.8 ms  ✓ BlackBoxOptim
   1738.7 ms  ✓ DelayEmbeddings
   1892.1 ms  ✓ Wavelets
  10248.4 ms  ✓ SciMLBase
   3251.2 ms  ✓ ComplexityMeasures
  16790.8 ms  ✓ StaticArrayInterface
    860.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1240.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
    563.0 ms  ✓ CloseOpenIntervals
    669.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1408.9 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
    627.2 ms  ✓ LayoutPointers
    722.8 ms  ✓ StrideArraysCore
    594.2 ms  ✓ Polyester
    604.5 ms  ✓ FastBroadcast
   2196.3 ms  ✓ SciMLJacobianOperators
    541.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   4559.0 ms  ✓ NonlinearSolveBase
   1065.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1076.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3071.8 ms  ✓ BracketingNonlinearSolve
    974.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2119.8 ms  ✓ DiffEqBase
   1060.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1087.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3114.9 ms  ✓ OrdinaryDiffEqCore
   1185.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   9645.2 ms  ✓ OrdinaryDiffEqTsit5
   1865.1 ms  ✓ DynamicalSystemsBase
   3121.5 ms  ✓ Attractors
  210 dependencies successfully precompiled in 103 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +nightly --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 486.39
	System time (seconds): 38.53
	Percent of CPU this job got: 262%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:19.99
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2647084
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 782
	Minor (reclaiming a frame) page faults: 13738687
	Voluntary context switches: 37528
	Involuntary context switches: 14092
	Swaps: 0
	File system inputs: 0
	File system outputs: 1143344
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
