nice: cannot set niceness: Permission denied
Precompiling packages...
    411.3 ms  ✓ CPUTime
    423.7 ms  ✓ Reexport
    550.8 ms  ✓ ConstructionBase
    455.3 ms  ✓ StatsAPI
    600.4 ms  ✓ IterTools
    469.5 ms  ✓ CommonSolve
   1345.7 ms  ✓ IrrationalConstants
   1055.9 ms  ✓ Combinatorics
    591.8 ms  ✓ StableTasks
    559.1 ms  ✓ StaticArraysCore
    604.6 ms  ✓ Statistics
    503.0 ms  ✓ ChunkSplitters
    411.6 ms  ✓ IfElse
    862.2 ms  ✓ SuiteSparse_jll
    462.2 ms  ✓ PtrArrays
    747.8 ms  ✓ EnzymeCore
    564.8 ms  ✓ Mmap
    464.5 ms  ✓ TaskLocalValues
    524.6 ms  ✓ ManualMemory
    527.3 ms  ✓ PositiveFactorizations
    486.6 ms  ✓ DataAPI
    427.5 ms  ✓ CommonWorldInvalidations
    873.4 ms  ✓ SciMLPublic
    415.1 ms  ✓ Future
    421.6 ms  ✓ FastPower
    431.8 ms  ✓ CompositionsBase
    514.6 ms  ✓ InverseFunctions
    626.9 ms  ✓ AbstractTrees
    517.0 ms  ✓ MuladdMacro
    742.8 ms  ✓ AbstractFFTs
    568.2 ms  ✓ EnumX
   2338.4 ms  ✓ ExproniconLite
   1405.5 ms  ✓ InitialValues
   5667.7 ms  ✓ MacroTools
    519.3 ms  ✓ ExprTools
    708.3 ms  ✓ OpenLibm_jll
    441.3 ms  ✓ ConcreteStructs
   1119.7 ms  ✓ FillArrays
    914.2 ms  ✓ SpatialIndexing
    644.2 ms  ✓ OrderedCollections
    495.0 ms  ✓ HashArrayMappedTries
    736.3 ms  ✓ ADTypes
   1763.2 ms  ✓ Bessels
    709.5 ms  ✓ Serialization
    688.2 ms  ✓ DocStringExtensions
    492.7 ms  ✓ FastClosures
    433.3 ms  ✓ SIMDTypes
    452.2 ms  ✓ IteratorInterfaceExtensions
    747.1 ms  ✓ Requires
    548.4 ms  ✓ LoggingExtras
    762.5 ms  ✓ CpuId
    598.9 ms  ✓ Compat
   1289.7 ms  ✓ InteractiveUtils
    892.0 ms  ✓ LazyArtifacts
    520.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    498.5 ms  ✓ DiffResults
    541.3 ms  ✓ AliasTables
   3724.6 ms  ✓ FunctionWrappers
    816.2 ms  ✓ Distances
    466.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2148.8 ms  ✓ Preferences
    556.1 ms  ✓ Missings
    474.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1271.1 ms  ✓ ThreadingUtilities
    632.8 ms  ✓ CommonSubexpressions
    576.8 ms  ✓ NaNMath
    522.5 ms  ✓ FillArrays → FillArraysStatisticsExt
    475.7 ms  ✓ ScopedValues
    418.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    435.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2031.1 ms  ✓ Jieko
   1126.5 ms  ✓ DifferentiationInterface
   1849.8 ms  ✓ DataStructures
    453.6 ms  ✓ RuntimeGeneratedFunctions
    717.5 ms  ✓ LogExpFunctions
    599.9 ms  ✓ Adapt
    531.9 ms  ✓ Compat → CompatLinearAlgebraExt
   3981.4 ms  ✓ TimerOutputs
   2804.0 ms  ✓ Distributed
    473.2 ms  ✓ FunctionWrappersWrappers
    448.2 ms  ✓ PrecompileTools
    581.1 ms  ✓ JLLWrappers
   1518.2 ms  ✓ Setfield
    630.8 ms  ✓ SciMLLogging
    553.1 ms  ✓ TruncatedStacktraces
    534.4 ms  ✓ SortingAlgorithms
   4466.7 ms  ✓ SparseArrays
    422.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    935.1 ms  ✓ QuadGK
    610.7 ms  ✓ ArrayInterface
    644.6 ms  ✓ GPUArraysCore
   2531.6 ms  ✓ Accessors
    502.9 ms  ✓ EnzymeCore → AdaptExt
    791.3 ms  ✓ ProgressMeter
   1896.4 ms  ✓ RecipesBase
   9791.7 ms  ✓ Test
    759.9 ms  ✓ Rmath_jll
    809.2 ms  ✓ OpenSpecFun_jll
   1366.8 ms  ✓ IntelOpenMP_jll
  10764.0 ms  ✓ Moshi
