nice: cannot set niceness: Permission denied
Precompiling packages...
   1729.1 ms  ✓ nghttp2_jll
   1734.4 ms  ✓ UUIDs
   1730.8 ms  ✓ MozillaCACerts_jll
   1812.3 ms  ✓ Zlib_jll
   1857.1 ms  ✓ OpenSSL_jll
   1826.1 ms  ✓ Logging
   1842.5 ms  ✓ Unicode
   1895.8 ms  ✓ CompilerSupportLibraries_jll
   1956.3 ms  ✓ NetworkOptions
   1982.8 ms  ✓ Base64
    512.8 ms  ✓ LibSSH2_jll
    561.2 ms  ✓ p7zip_jll
    725.5 ms  ✓ Printf
    485.9 ms  ✓ LibGit2_jll
    499.9 ms  ✓ LibCURL_jll
   3263.1 ms  ✓ ArgTools
    762.4 ms  ✓ LibCURL
    663.1 ms  ✓ Tar
   2879.6 ms  ✓ Dates
   3094.0 ms  ✓ LibGit2
    488.5 ms  ✓ TOML
   3080.2 ms  ✓ Downloads
   9787.2 ms  ✓ StyledStrings
   1668.2 ms  ✓ JuliaSyntaxHighlighting
   3843.6 ms  ✓ Markdown
  47844.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2289.7 ms  ✓ Future
   2416.1 ms  ✓ IteratorInterfaceExtensions
   2501.5 ms  ✓ ConcreteStructs
   2710.8 ms  ✓ ExprTools
   2802.3 ms  ✓ MuladdMacro
   3102.6 ms  ✓ StatsAPI
   3313.3 ms  ✓ PositiveFactorizations
   3493.2 ms  ✓ AbstractFFTs
   4096.1 ms  ✓ ADTypes
   4091.3 ms  ✓ Serialization
   2611.9 ms  ✓ OpenLibm_jll
   2383.3 ms  ✓ CommonSolve
   5406.3 ms  ✓ InitialValues
   3003.4 ms  ✓ Statistics
   5521.2 ms  ✓ Combinatorics
   3097.1 ms  ✓ InverseFunctions
   5582.7 ms  ✓ FillArrays
   2111.2 ms  ✓ SafeTestsets
   2911.8 ms  ✓ SuiteSparse_jll
   3502.1 ms  ✓ IterTools
   2900.9 ms  ✓ ManualMemory
   2620.1 ms  ✓ EnumX
   2312.6 ms  ✓ Reexport
   2604.1 ms  ✓ SIMDTypes
   3011.6 ms  ✓ AbstractTrees
   2891.6 ms  ✓ CompositionsBase
   3810.4 ms  ✓ DocStringExtensions
   3496.5 ms  ✓ Mmap
   4687.1 ms  ✓ Requires
   3198.7 ms  ✓ PtrArrays
  10287.8 ms  ✓ Bessels
   2676.5 ms  ✓ FastPower
   5380.5 ms  ✓ SpatialIndexing
   3100.3 ms  ✓ HashArrayMappedTries
   3077.4 ms  ✓ TaskLocalValues
  11504.4 ms  ✓ FunctionWrappers
   3286.4 ms  ✓ StableTasks
   2513.0 ms  ✓ IfElse
   2313.7 ms  ✓ CommonWorldInvalidations
   3510.1 ms  ✓ VectorInterface
   2582.8 ms  ✓ DataAPI
   2525.8 ms  ✓ PackageExtensionCompat
   3703.8 ms  ✓ EnzymeCore
   2601.4 ms  ✓ FastClosures
   3094.6 ms  ✓ ChunkSplitters
   3115.7 ms  ✓ SciMLPublic
   3199.9 ms  ✓ StaticArraysCore
  10679.7 ms  ✓ OrderedCollections
   3020.8 ms  ✓ LoggingExtras
  15679.8 ms  ✓ ExproniconLite
   4274.6 ms  ✓ CpuId
   4096.5 ms  ✓ Preferences
   2857.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5283.1 ms  ✓ LazyArtifacts
   2622.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   9508.2 ms  ✓ ConstructionBase
  14092.7 ms  ✓ IrrationalConstants
   2425.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3309.5 ms  ✓ Adapt
   2603.1 ms  ✓ ScopedValues
  18500.6 ms  ✓ MacroTools
   3592.3 ms  ✓ AliasTables
  10801.2 ms  ✓ Compat
   2584.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2595.8 ms  ✓ DiffResults
   9807.0 ms  ✓ NaNMath
  10797.0 ms  ✓ RuntimeGeneratedFunctions
  12403.1 ms  ✓ DifferentiationInterface
  11413.9 ms  ✓ Distances
   2504.0 ms  ✓ PrecompileTools
   3092.3 ms  ✓ JLLWrappers
   2892.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  15446.3 ms  ✓ InteractiveUtils
   3297.8 ms  ✓ SciMLLogging
   2693.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11210.2 ms  ✓ ThreadingUtilities
   8610.7 ms  ✓ KrylovKit
   9622.2 ms  ✓ Missings
   2700.3 ms  ✓ EnzymeCore → AdaptExt
   4309.3 ms  ✓ LogExpFunctions
  16290.6 ms  ✓ Distributed
   3803.8 ms  ✓ GPUArraysCore
   3190.4 ms  ✓ CommonSubexpressions
   3327.5 ms  ✓ Compat → CompatLinearAlgebraExt
   9396.3 ms  ✓ DataStructures
   9509.0 ms  ✓ Jieko
   2374.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4990.4 ms  ✓ Rmath_jll
  20707.0 ms  ✓ TimerOutputs
   3293.8 ms  ✓ TruncatedStacktraces
