nice: cannot set niceness: Permission denied
Precompiling packages...
   1933.3 ms  ✓ LazyArtifacts
   1943.0 ms  ✓ IteratorInterfaceExtensions
   1950.7 ms  ✓ ConcreteStructs
   2045.1 ms  ✓ StatsAPI
   2058.2 ms  ✓ MuladdMacro
   2255.2 ms  ✓ ExprTools
   2342.8 ms  ✓ PositiveFactorizations
   2762.3 ms  ✓ AbstractFFTs
   3150.9 ms  ✓ ADTypes
   3565.6 ms  ✓ FunctionWrappers
   1714.7 ms  ✓ CommonSolve
   4110.9 ms  ✓ Combinatorics
   2089.1 ms  ✓ OpenLibm_jll
   1986.2 ms  ✓ CompilerSupportLibraries_jll
   4040.6 ms  ✓ InitialValues
   2298.4 ms  ✓ InverseFunctions
   4620.9 ms  ✓ FillArrays
   2497.8 ms  ✓ SuiteSparse_jll
   2982.7 ms  ✓ IterTools
   2101.4 ms  ✓ ManualMemory
   1614.8 ms  ✓ SIMDTypes
   2671.3 ms  ✓ Compat
   2113.2 ms  ✓ Reexport
   2488.2 ms  ✓ OrderedCollections
   2425.9 ms  ✓ Requires
   2504.4 ms  ✓ NaNMath
   2997.4 ms  ✓ Preferences
   2800.7 ms  ✓ DocStringExtensions
   7828.4 ms  ✓ Bessels
   2622.8 ms  ✓ AbstractTrees
   3982.7 ms  ✓ SpatialIndexing
   8022.4 ms  ✓ ExproniconLite
   1918.3 ms  ✓ PtrArrays
   2078.6 ms  ✓ CompositionsBase
   1889.6 ms  ✓ TaskLocalValues
   2182.6 ms  ✓ FastPower
   2192.3 ms  ✓ HashArrayMappedTries
   2883.2 ms  ✓ StableTasks
   2012.2 ms  ✓ CPUTime
   2090.8 ms  ✓ CommonWorldInvalidations
   2387.5 ms  ✓ IfElse
   2381.1 ms  ✓ ConstructionBase
   8187.5 ms  ✓ Distributed
   3813.2 ms  ✓ CpuId
   2186.3 ms  ✓ DataAPI
   2304.4 ms  ✓ ChunkSplitters
   2104.1 ms  ✓ SciMLPublic
   2423.5 ms  ✓ FastClosures
   3212.4 ms  ✓ EnzymeCore
   5600.3 ms  ✓ IrrationalConstants
   2611.1 ms  ✓ LoggingExtras
   3015.7 ms  ✓ StaticArraysCore
   2290.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2394.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2777.2 ms  ✓ RuntimeGeneratedFunctions
   2203.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2790.3 ms  ✓ FunctionWrappersWrappers
   2392.2 ms  ✓ JLLWrappers
  10591.6 ms  ✓ MacroTools
   2690.3 ms  ✓ Adapt
   2492.8 ms  ✓ PrecompileTools
  13951.6 ms  ✓ Test
   2288.3 ms  ✓ AliasTables
   2008.5 ms  ✓ EnumX
   2207.2 ms  ✓ ScopedValues
   4377.0 ms  ✓ ThreadingUtilities
   1888.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2311.6 ms  ✓ Missings
   1995.3 ms  ✓ DiffResults
   5904.8 ms  ✓ DifferentiationInterface
   2687.3 ms  ✓ SciMLLogging
   2376.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3102.3 ms  ✓ LogExpFunctions
   3512.3 ms  ✓ ProgressMeter
   1823.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2516.6 ms  ✓ oneTBB_jll
   2812.0 ms  ✓ Rmath_jll
   2895.3 ms  ✓ IntelOpenMP_jll
   2815.3 ms  ✓ FFTW_jll
   2892.1 ms  ✓ TruncatedStacktraces
   2495.2 ms  ✓ CommonSubexpressions
   7978.6 ms  ✓ DataStructures
   3410.9 ms  ✓ OpenSpecFun_jll
   2614.0 ms  ✓ ArrayInterface
   2605.8 ms  ✓ GPUArraysCore
   9500.2 ms  ✓ TimerOutputs
   3179.0 ms  ✓ EnzymeCore → AdaptExt
   8094.8 ms  ✓ Jieko
   2188.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2304.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2398.7 ms  ✓ MKL_jll
   5222.4 ms  ✓ Setfield
   2580.2 ms  ✓ SortingAlgorithms
   3796.3 ms  ✓ Static
   3410.1 ms  ✓ Rmath
   2120.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2620.8 ms  ✓ SciMLStructures
   5504.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2005.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1997.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4417.6 ms  ✓ QuadGK
   3503.0 ms  ✓ MaybeInplace
   6885.5 ms  ✓ RecipesBase
   1510.9 ms  ✓ BitTwiddlingConvenienceFunctions
  14715.0 ms  ✓ SparseArrays
   4799.8 ms  ✓ PreallocationTools
   2896.0 ms  ✓ FiniteDiff
   3272.0 ms  ✓ CPUSummary
   8408.6 ms  ✓ Accessors
   2295.2 ms  ✓ SuiteSparse
   2495.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2680.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   4411.7 ms  ✓ StaticArrayInterface
   2869.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2976.3 ms  ✓ Statistics
   2124.8 ms  ✓ PolyesterWeave
   2421.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2174.3 ms  ✓ Accessors → LinearAlgebraExt
   2013.4 ms  ✓ CloseOpenIntervals
   2291.0 ms  ✓ LayoutPointers
   2324.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  10792.8 ms  ✓ SpecialFunctions
   2791.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   3482.1 ms  ✓ PDMats
   2406.9 ms  ✓ Accessors → TestExt
   3911.3 ms  ✓ Distances
   3220.7 ms  ✓ BangBang
   2697.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2422.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   3492.0 ms  ✓ StrideArraysCore
   2319.6 ms  ✓ DiffRules
   2509.2 ms  ✓ FillArrays → FillArraysPDMatsExt
