nice: cannot set niceness: Permission denied
Precompiling packages...
   1656.1 ms  ✓ OpenSSL_jll
   1626.1 ms  ✓ UUIDs
   1622.0 ms  ✓ MozillaCACerts_jll
   1710.5 ms  ✓ Logging
   1715.7 ms  ✓ Zlib_jll
   1792.5 ms  ✓ nghttp2_jll
   1806.8 ms  ✓ CompilerSupportLibraries_jll
   1818.9 ms  ✓ Unicode
   1839.4 ms  ✓ NetworkOptions
   1906.0 ms  ✓ Base64
    609.6 ms  ✓ LibSSH2_jll
    589.5 ms  ✓ p7zip_jll
    686.0 ms  ✓ Printf
    485.1 ms  ✓ LibCURL_jll
    499.2 ms  ✓ LibGit2_jll
   3322.6 ms  ✓ ArgTools
    799.0 ms  ✓ LibCURL
    649.6 ms  ✓ Tar
   3020.5 ms  ✓ Dates
   3110.1 ms  ✓ LibGit2
    451.9 ms  ✓ TOML
   3097.1 ms  ✓ Downloads
   9526.3 ms  ✓ StyledStrings
   1736.9 ms  ✓ JuliaSyntaxHighlighting
   3940.0 ms  ✓ Markdown
  48037.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2423.8 ms  ✓ IteratorInterfaceExtensions
   2505.9 ms  ✓ Future
   2595.9 ms  ✓ StatsAPI
   2707.7 ms  ✓ LaTeXStrings
   2700.7 ms  ✓ OpenLibm_jll
   2818.1 ms  ✓ PositiveFactorizations
   2817.3 ms  ✓ ExprTools
   3193.2 ms  ✓ InverseFunctions
   3323.3 ms  ✓ AbstractFFTs
   4102.8 ms  ✓ Serialization
   4205.0 ms  ✓ Gamma
   2388.3 ms  ✓ DataValueInterfaces
   5393.0 ms  ✓ FillArrays
   2812.3 ms  ✓ SuiteSparse_jll
   2678.2 ms  ✓ EnumX
   5607.6 ms  ✓ Combinatorics
   5610.7 ms  ✓ InitialValues
   3396.3 ms  ✓ IterTools
   3573.0 ms  ✓ Statistics
   2890.9 ms  ✓ Reexport
   3597.9 ms  ✓ DocStringExtensions
   3196.8 ms  ✓ AbstractTrees
   2401.4 ms  ✓ TestItems
   2775.9 ms  ✓ Mmap
   2506.7 ms  ✓ PtrArrays
   2602.6 ms  ✓ CompositionsBase
   2894.4 ms  ✓ TaskLocalValues
   2924.5 ms  ✓ HashArrayMappedTries
   3174.8 ms  ✓ StableTasks
   3299.8 ms  ✓ VectorInterface
   3315.2 ms  ✓ Inflate
   3979.9 ms  ✓ EnzymeCore
   2927.6 ms  ✓ DataAPI
   2911.2 ms  ✓ AliasTables
   2993.4 ms  ✓ PackageExtensionCompat
   3194.9 ms  ✓ Adapt
  11192.3 ms  ✓ Bessels
   2809.4 ms  ✓ FastClosures
   2881.6 ms  ✓ ChunkSplitters
  11702.1 ms  ✓ FunctionWrappers
   3035.8 ms  ✓ StaticArraysCore
   3303.9 ms  ✓ LoggingExtras
  10292.8 ms  ✓ OrderedCollections
   2406.0 ms  ✓ TableTraits
   2594.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3903.6 ms  ✓ Preferences
   3095.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2490.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2705.8 ms  ✓ ScopedValues
   5704.4 ms  ✓ LazyArtifacts
   5812.6 ms  ✓ HypergeometricFunctions
  10011.8 ms  ✓ ConstructionBase
   2583.1 ms  ✓ EnzymeCore → AdaptExt
  15503.2 ms  ✓ IrrationalConstants
   2580.4 ms  ✓ DiffResults
   9198.5 ms  ✓ NaNMath
   4200.0 ms  ✓ GPUArraysCore
  10298.1 ms  ✓ Compat
  18610.6 ms  ✓ MacroTools
  10402.6 ms  ✓ Distances
   2816.9 ms  ✓ PrecompileTools
   2693.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3289.1 ms  ✓ JLLWrappers
   2495.1 ms  ✓ Compat → CompatLinearAlgebraExt
  14375.2 ms  ✓ InteractiveUtils
   3495.5 ms  ✓ CommonSubexpressions
   4102.4 ms  ✓ LogExpFunctions
   9405.3 ms  ✓ KrylovKit
  10417.5 ms  ✓ Missings
  12689.2 ms  ✓ Crayons
  10313.7 ms  ✓ ArrayInterface
   8885.3 ms  ✓ DataStructures
   2819.4 ms  ✓ CommonSolve
   4690.6 ms  ✓ MuladdMacro
   3605.8 ms  ✓ FastPower
  17182.2 ms  ✓ Distributed
   3501.2 ms  ✓ SciMLPublic
   5700.9 ms  ✓ ADTypes
   8221.5 ms  ✓ RecipesBase
   5800.3 ms  ✓ BinaryHeaps
   3590.6 ms  ✓ Rmath_jll
  13509.5 ms  ✓ Tables
   6199.1 ms  ✓ Setfield
   4518.4 ms  ✓ FFTW_jll
   6474.4 ms  ✓ IntelOpenMP_jll
   3985.7 ms  ✓ OpenSpecFun_jll
   3299.9 ms  ✓ TruncatedStacktraces
   7115.0 ms  ✓ oneTBB_jll
  13157.2 ms  ✓ ConcreteStructs
   9604.2 ms  ✓ MaybeInplace
   3075.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  25618.9 ms  ✓ SparseArrays
   4802.8 ms  ✓ SimpleTraits
   2592.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2340.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2584.4 ms  ✓ ArrayInterface → ArrayInterfaceFillArraysExt
   4642.9 ms  ✓ PoissonRandom
   3481.6 ms  ✓ SortingAlgorithms
   4506.4 ms  ✓ SciMLLogging
   8704.7 ms  ✓ FastBroadcast
  18202.4 ms  ✓ RuntimeGeneratedFunctions
