nice: cannot set niceness: Permission denied
Precompiling packages...
   2007.5 ms  ✓ LazyArtifacts
   2025.2 ms  ✓ MuladdMacro
   2024.3 ms  ✓ ConcreteStructs
   2020.7 ms  ✓ IteratorInterfaceExtensions
   2099.7 ms  ✓ ExprTools
   2303.6 ms  ✓ PositiveFactorizations
   2305.8 ms  ✓ StatsAPI
   2701.6 ms  ✓ AbstractFFTs
   3108.1 ms  ✓ ADTypes
   3510.2 ms  ✓ FunctionWrappers
   3880.1 ms  ✓ Combinatorics
   3771.6 ms  ✓ InitialValues
   1793.3 ms  ✓ CommonSolve
   1884.0 ms  ✓ OpenLibm_jll
   2179.1 ms  ✓ CompilerSupportLibraries_jll
   2199.2 ms  ✓ InverseFunctions
   2201.9 ms  ✓ SuiteSparse_jll
   4876.9 ms  ✓ FillArrays
   2801.9 ms  ✓ IterTools
   2297.8 ms  ✓ ManualMemory
   1804.0 ms  ✓ EnumX
   2200.9 ms  ✓ Requires
   1798.9 ms  ✓ Reexport
   2488.9 ms  ✓ Compat
   1809.5 ms  ✓ SIMDTypes
   3010.3 ms  ✓ OrderedCollections
   3519.5 ms  ✓ Preferences
   7373.4 ms  ✓ ExproniconLite
   1990.9 ms  ✓ CompositionsBase
   2590.1 ms  ✓ AbstractTrees
   7870.7 ms  ✓ Bessels
   1980.5 ms  ✓ PtrArrays
   2005.6 ms  ✓ Adapt
   3990.7 ms  ✓ SpatialIndexing
   3304.0 ms  ✓ DocStringExtensions
   1892.7 ms  ✓ TaskLocalValues
   2114.3 ms  ✓ HashArrayMappedTries
   2610.3 ms  ✓ StableTasks
   2210.7 ms  ✓ IfElse
   2097.9 ms  ✓ CPUTime
   2093.1 ms  ✓ CommonWorldInvalidations
   3293.6 ms  ✓ CpuId
   1997.4 ms  ✓ FastClosures
   2100.4 ms  ✓ DataAPI
   2516.0 ms  ✓ ConstructionBase
   2920.7 ms  ✓ EnzymeCore
   2301.1 ms  ✓ ChunkSplitters
   2581.2 ms  ✓ SciMLPublic
   9023.7 ms  ✓ Distributed
   2995.1 ms  ✓ LoggingExtras
   6301.2 ms  ✓ IrrationalConstants
   2205.1 ms  ✓ StaticArraysCore
   2220.6 ms  ✓ FunctionWrappersWrappers
  12501.1 ms  ✓ Test
   2180.3 ms  ✓ FastPower
   9813.0 ms  ✓ MacroTools
   2103.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2999.5 ms  ✓ RuntimeGeneratedFunctions
   2917.1 ms  ✓ NaNMath
   3003.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2097.5 ms  ✓ PrecompileTools
   2797.8 ms  ✓ JLLWrappers
   2410.2 ms  ✓ AliasTables
   2082.8 ms  ✓ Missings
   1979.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4413.8 ms  ✓ ThreadingUtilities
   2405.2 ms  ✓ ArrayInterface
   2303.2 ms  ✓ GPUArraysCore
   1908.9 ms  ✓ EnzymeCore → AdaptExt
   1880.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   5106.9 ms  ✓ DifferentiationInterface
   2707.9 ms  ✓ SciMLLogging
   2095.5 ms  ✓ DiffResults
   3297.0 ms  ✓ ProgressMeter
   1913.0 ms  ✓ ScopedValues
   1923.2 ms  ✓ TruncatedStacktraces
   2801.6 ms  ✓ LogExpFunctions
   2194.4 ms  ✓ CommonSubexpressions
   2190.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2593.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   5689.3 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7302.8 ms  ✓ DataStructures
   2199.0 ms  ✓ IntelOpenMP_jll
   2107.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2681.4 ms  ✓ Rmath_jll
   2319.9 ms  ✓ OpenSpecFun_jll
   7493.4 ms  ✓ Jieko
   2779.1 ms  ✓ FFTW_jll
   3013.8 ms  ✓ oneTBB_jll
   3682.9 ms  ✓ Static
   2719.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1897.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   6197.1 ms  ✓ RecipesBase
   2926.8 ms  ✓ SciMLStructures
   2206.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2704.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2304.9 ms  ✓ SortingAlgorithms
   5188.9 ms  ✓ Setfield
   2889.8 ms  ✓ Rmath
   1505.7 ms  ✓ BitTwiddlingConvenienceFunctions
   3498.2 ms  ✓ QuadGK
   2002.5 ms  ✓ MKL_jll
   4988.3 ms  ✓ PreallocationTools
   1523.4 ms  ✓ FiniteDiff
  13518.1 ms  ✓ SparseArrays
   3069.5 ms  ✓ CPUSummary
   4087.6 ms  ✓ StaticArrayInterface
   2178.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2378.5 ms  ✓ SuiteSparse
   2315.3 ms  ✓ Adapt → AdaptSparseArraysExt
   7381.9 ms  ✓ Accessors
   2724.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2334.7 ms  ✓ PolyesterWeave
   2878.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2892.6 ms  ✓ Statistics
   2004.7 ms  ✓ CloseOpenIntervals
   2310.8 ms  ✓ LayoutPointers
   1812.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1907.4 ms  ✓ Accessors → LinearAlgebraExt
   1976.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2897.4 ms  ✓ PDMats
   9704.6 ms  ✓ SpecialFunctions
   3407.7 ms  ✓ Distances
   2394.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2419.3 ms  ✓ Accessors → TestExt
   3312.8 ms  ✓ StrideArraysCore
   3177.4 ms  ✓ BangBang
   2695.9 ms  ✓ FillArrays → FillArraysPDMatsExt
   2315.2 ms  ✓ DiffRules
   2489.6 ms  ✓ Distances → DistancesSparseArraysExt
   2190.9 ms  ✓ Polyester
   4808.8 ms  ✓ SymbolicIndexingInterface
   4191.1 ms  ✓ HypergeometricFunctions
   7294.0 ms  ✓ StatsBase
   6097.2 ms  ✓ SciMLOperators
   3194.5 ms  ✓ OhMyThreads
   2392.8 ms  ✓ FastBroadcast
   2075.4 ms  ✓ PDMats → StatsBaseExt
   1501.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2383.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2117.3 ms  ✓ OhMyThreads → MarkdownExt
  12406.7 ms  ✓ Roots
   7422.0 ms  ✓ StatsFuns
  26534.4 ms  ✓ StaticArrays
   1873.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  20720.9 ms  ✓ FFTW
   2201.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2304.0 ms  ✓ Adapt → AdaptStaticArraysExt
