nice: cannot set niceness: Permission denied
Precompiling packages...
    423.3 ms  ✓ CPUTime
    428.2 ms  ✓ Reexport
    565.7 ms  ✓ ConstructionBase
    463.5 ms  ✓ StatsAPI
    606.9 ms  ✓ IterTools
   1328.6 ms  ✓ IrrationalConstants
    464.9 ms  ✓ CommonSolve
   1046.2 ms  ✓ Combinatorics
    578.0 ms  ✓ StableTasks
    531.7 ms  ✓ StaticArraysCore
    616.3 ms  ✓ Statistics
    516.7 ms  ✓ ChunkSplitters
    426.6 ms  ✓ IfElse
    458.7 ms  ✓ PtrArrays
    710.0 ms  ✓ EnzymeCore
   1053.5 ms  ✓ SuiteSparse_jll
    567.7 ms  ✓ Mmap
    483.8 ms  ✓ TaskLocalValues
    529.5 ms  ✓ ManualMemory
    567.4 ms  ✓ PositiveFactorizations
    499.8 ms  ✓ DataAPI
    431.3 ms  ✓ CommonWorldInvalidations
    429.1 ms  ✓ Future
    946.5 ms  ✓ SciMLPublic
    423.7 ms  ✓ FastPower
    558.8 ms  ✓ InverseFunctions
    440.0 ms  ✓ CompositionsBase
    654.1 ms  ✓ AbstractTrees
    556.0 ms  ✓ MuladdMacro
   2343.6 ms  ✓ ExproniconLite
    741.4 ms  ✓ AbstractFFTs
    593.0 ms  ✓ EnumX
   5715.2 ms  ✓ MacroTools
   1392.0 ms  ✓ InitialValues
    483.6 ms  ✓ ExprTools
    720.7 ms  ✓ OpenLibm_jll
    443.9 ms  ✓ ConcreteStructs
   1102.9 ms  ✓ FillArrays
    922.3 ms  ✓ SpatialIndexing
    672.4 ms  ✓ OrderedCollections
    489.6 ms  ✓ HashArrayMappedTries
    708.3 ms  ✓ ADTypes
   1734.2 ms  ✓ Bessels
    749.2 ms  ✓ Serialization
    688.5 ms  ✓ DocStringExtensions
    509.8 ms  ✓ FastClosures
    465.1 ms  ✓ SIMDTypes
    442.3 ms  ✓ IteratorInterfaceExtensions
    776.4 ms  ✓ Requires
    780.7 ms  ✓ CpuId
    582.4 ms  ✓ LoggingExtras
    598.3 ms  ✓ Compat
   1393.8 ms  ✓ InteractiveUtils
    905.7 ms  ✓ LazyArtifacts
    436.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    497.4 ms  ✓ DiffResults
    547.2 ms  ✓ AliasTables
    826.3 ms  ✓ Distances
   3908.9 ms  ✓ FunctionWrappers
    621.9 ms  ✓ Missings
    528.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2315.2 ms  ✓ Preferences
    510.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1360.6 ms  ✓ ThreadingUtilities
    516.1 ms  ✓ FillArrays → FillArraysStatisticsExt
    599.8 ms  ✓ CommonSubexpressions
    547.1 ms  ✓ NaNMath
    428.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    460.7 ms  ✓ ScopedValues
    418.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1056.4 ms  ✓ DifferentiationInterface
   2005.0 ms  ✓ Jieko
    500.9 ms  ✓ RuntimeGeneratedFunctions
   1802.6 ms  ✓ DataStructures
    680.2 ms  ✓ LogExpFunctions
    464.7 ms  ✓ Compat → CompatLinearAlgebraExt
    504.1 ms  ✓ Adapt
    415.2 ms  ✓ FunctionWrappersWrappers
    502.6 ms  ✓ PrecompileTools
   2690.6 ms  ✓ Distributed
   1517.2 ms  ✓ Setfield
    589.9 ms  ✓ JLLWrappers
    644.8 ms  ✓ SciMLLogging
    558.1 ms  ✓ TruncatedStacktraces
    531.8 ms  ✓ SortingAlgorithms
   4281.2 ms  ✓ SparseArrays
    432.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    949.0 ms  ✓ QuadGK
   2611.8 ms  ✓ Accessors
    686.7 ms  ✓ ArrayInterface
    663.2 ms  ✓ GPUArraysCore
    432.8 ms  ✓ EnzymeCore → AdaptExt
   1966.7 ms  ✓ RecipesBase
  10581.6 ms  ✓ Test
   1031.6 ms  ✓ ProgressMeter
    818.1 ms  ✓ Rmath_jll
  10766.3 ms  ✓ Moshi
    706.4 ms  ✓ OpenSpecFun_jll
   1193.0 ms  ✓ IntelOpenMP_jll
   1486.3 ms  ✓ oneTBB_jll
    913.1 ms  ✓ FFTW_jll
    878.4 ms  ✓ Statistics → SparseArraysExt
    999.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
    817.9 ms  ✓ SuiteSparse
    882.9 ms  ✓ Distances → DistancesSparseArraysExt
    886.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    864.8 ms  ✓ Adapt → AdaptSparseArraysExt
    750.1 ms  ✓ Accessors → LinearAlgebraExt
    628.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    641.1 ms  ✓ SciMLStructures
    848.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    648.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    660.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1395.2 ms  ✓ PreallocationTools
  15490.7 ms  ✓ Parsers
    761.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  17049.3 ms  ✓ StaticArrays
    697.5 ms  ✓ Accessors → TestExt
   1709.1 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    746.9 ms  ✓ Rmath
   1139.2 ms  ✓ MKL_jll
    813.9 ms  ✓ PDMats
