nice: cannot set niceness: Permission denied
Precompiling packages...
   1938.5 ms  ✓ LazyArtifacts
   1974.5 ms  ✓ MuladdMacro
   1978.2 ms  ✓ IteratorInterfaceExtensions
   1989.7 ms  ✓ ConcreteStructs
   2078.0 ms  ✓ ExprTools
   2168.7 ms  ✓ StatsAPI
   2366.8 ms  ✓ PositiveFactorizations
   2684.8 ms  ✓ AbstractFFTs
   3071.4 ms  ✓ ADTypes
   3791.8 ms  ✓ FunctionWrappers
   1816.2 ms  ✓ OpenLibm_jll
   1902.6 ms  ✓ CommonSolve
   4122.7 ms  ✓ Combinatorics
   4055.9 ms  ✓ InitialValues
   2151.8 ms  ✓ CompilerSupportLibraries_jll
   2307.2 ms  ✓ InverseFunctions
   2020.3 ms  ✓ SuiteSparse_jll
   4541.4 ms  ✓ FillArrays
   2807.3 ms  ✓ IterTools
   2103.0 ms  ✓ ManualMemory
   1887.6 ms  ✓ FunctionWrappersWrappers
   1804.0 ms  ✓ Reexport
   1796.2 ms  ✓ SIMDTypes
   2197.6 ms  ✓ EnumX
   2390.6 ms  ✓ Requires
   3097.9 ms  ✓ OrderedCollections
   2699.9 ms  ✓ DocStringExtensions
   3551.6 ms  ✓ Preferences
   1896.4 ms  ✓ CompositionsBase
   2808.1 ms  ✓ AbstractTrees
   7946.0 ms  ✓ Bessels
   3843.5 ms  ✓ SpatialIndexing
   1981.4 ms  ✓ PtrArrays
   8066.6 ms  ✓ ExproniconLite
   1814.4 ms  ✓ TaskLocalValues
   2090.3 ms  ✓ FastPower
   2695.3 ms  ✓ HashArrayMappedTries
   2114.5 ms  ✓ IfElse
   2513.6 ms  ✓ StableTasks
   1866.7 ms  ✓ CPUTime
   2007.3 ms  ✓ CommonWorldInvalidations
   2400.9 ms  ✓ ConstructionBase
   3294.8 ms  ✓ CpuId
   2475.7 ms  ✓ FastClosures
   3301.8 ms  ✓ EnzymeCore
   2493.2 ms  ✓ ChunkSplitters
   2615.3 ms  ✓ DataAPI
   9012.1 ms  ✓ Distributed
   2892.4 ms  ✓ LoggingExtras
   2313.6 ms  ✓ SciMLPublic
   6707.3 ms  ✓ IrrationalConstants
   2404.7 ms  ✓ RuntimeGeneratedFunctions
   2743.8 ms  ✓ StaticArraysCore
  12680.4 ms  ✓ Test
  10181.8 ms  ✓ MacroTools
   2194.9 ms  ✓ Adapt
   2980.0 ms  ✓ Compat
   2985.4 ms  ✓ NaNMath
   3116.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2395.4 ms  ✓ AliasTables
   2524.2 ms  ✓ PrecompileTools
   2684.9 ms  ✓ JLLWrappers
   2283.7 ms  ✓ ScopedValues
   1990.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2005.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4048.4 ms  ✓ ThreadingUtilities
   2308.4 ms  ✓ Missings
   2219.0 ms  ✓ SciMLLogging
   2094.0 ms  ✓ DiffResults
   5751.0 ms  ✓ DifferentiationInterface
   2147.8 ms  ✓ TruncatedStacktraces
   2204.2 ms  ✓ CommonSubexpressions
   3210.8 ms  ✓ LogExpFunctions
   3517.5 ms  ✓ ProgressMeter
   1909.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2080.2 ms  ✓ EnzymeCore → AdaptExt
   2313.0 ms  ✓ ArrayInterface
   2402.8 ms  ✓ GPUArraysCore
   1905.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2489.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2401.3 ms  ✓ oneTBB_jll
   2778.7 ms  ✓ IntelOpenMP_jll
   2789.3 ms  ✓ Rmath_jll
   8498.6 ms  ✓ DataStructures
   5587.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2493.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3498.4 ms  ✓ Static
   2792.5 ms  ✓ OpenSpecFun_jll
   2104.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8001.3 ms  ✓ Jieko
   3118.3 ms  ✓ FFTW_jll
   1914.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2114.0 ms  ✓ SciMLStructures
   2282.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
