nice: cannot set niceness: Permission denied
Precompiling packages...
   1892.7 ms  ✓ LazyArtifacts
   1978.6 ms  ✓ MuladdMacro
   1978.1 ms  ✓ ConcreteStructs
   1998.4 ms  ✓ IteratorInterfaceExtensions
   2093.9 ms  ✓ StatsAPI
   2199.6 ms  ✓ ExprTools
   2203.8 ms  ✓ PositiveFactorizations
   2859.9 ms  ✓ AbstractFFTs
   2979.0 ms  ✓ ADTypes
   1714.1 ms  ✓ CommonSolve
   3701.5 ms  ✓ FunctionWrappers
   1809.4 ms  ✓ OpenLibm_jll
   4134.2 ms  ✓ Combinatorics
   3963.3 ms  ✓ InitialValues
   2180.2 ms  ✓ InverseFunctions
   2186.8 ms  ✓ CompilerSupportLibraries_jll
   4371.8 ms  ✓ FillArrays
   2282.8 ms  ✓ SuiteSparse_jll
   2893.3 ms  ✓ IterTools
   2115.5 ms  ✓ ManualMemory
   1910.7 ms  ✓ EnumX
   1804.0 ms  ✓ Reexport
   1694.6 ms  ✓ SIMDTypes
   2489.9 ms  ✓ Compat
   2373.8 ms  ✓ Requires
   2914.2 ms  ✓ OrderedCollections
   3291.0 ms  ✓ Preferences
   2934.0 ms  ✓ DocStringExtensions
   1801.8 ms  ✓ CompositionsBase
   1707.5 ms  ✓ FastPower
   2787.4 ms  ✓ AbstractTrees
   1906.8 ms  ✓ PtrArrays
   7958.5 ms  ✓ ExproniconLite
   8265.2 ms  ✓ Bessels
   2169.4 ms  ✓ HashArrayMappedTries
   4824.4 ms  ✓ SpatialIndexing
   2917.5 ms  ✓ TaskLocalValues
   2675.0 ms  ✓ StableTasks
   2995.4 ms  ✓ CpuId
   2086.1 ms  ✓ IfElse
   1905.2 ms  ✓ CPUTime
   1896.6 ms  ✓ CommonWorldInvalidations
   2476.0 ms  ✓ ConstructionBase
   8264.1 ms  ✓ Distributed
   2102.5 ms  ✓ FastClosures
   2227.1 ms  ✓ ChunkSplitters
   2800.7 ms  ✓ DataAPI
   3297.9 ms  ✓ EnzymeCore
   2899.8 ms  ✓ LoggingExtras
   6816.0 ms  ✓ IrrationalConstants
   2295.5 ms  ✓ RuntimeGeneratedFunctions
   2563.5 ms  ✓ FunctionWrappersWrappers
   3221.8 ms  ✓ SciMLPublic
   2413.0 ms  ✓ NaNMath
   2538.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10237.0 ms  ✓ MacroTools
   3526.4 ms  ✓ StaticArraysCore
   2718.7 ms  ✓ Compat → CompatLinearAlgebraExt
  13679.1 ms  ✓ Test
   2890.9 ms  ✓ Adapt
   2694.4 ms  ✓ JLLWrappers
   2339.0 ms  ✓ AliasTables
   2168.2 ms  ✓ ScopedValues
   1993.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5112.0 ms  ✓ DifferentiationInterface
   4395.7 ms  ✓ ThreadingUtilities
   3189.8 ms  ✓ LogExpFunctions
   2099.9 ms  ✓ Missings
   1975.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2702.0 ms  ✓ SciMLLogging
   3603.8 ms  ✓ ProgressMeter
   2208.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2197.7 ms  ✓ TruncatedStacktraces
   2002.6 ms  ✓ DiffResults
   2408.8 ms  ✓ PrecompileTools
   2097.4 ms  ✓ EnzymeCore → AdaptExt
   2724.8 ms  ✓ CommonSubexpressions
   2394.6 ms  ✓ GPUArraysCore
   2513.9 ms  ✓ ArrayInterface
   8197.6 ms  ✓ TimerOutputs
   3386.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   5791.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2195.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3210.5 ms  ✓ Rmath_jll
   2988.9 ms  ✓ IntelOpenMP_jll
   2192.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2806.5 ms  ✓ FFTW_jll
   2991.1 ms  ✓ oneTBB_jll
   8316.7 ms  ✓ DataStructures
   2694.1 ms  ✓ OpenSpecFun_jll
   8293.7 ms  ✓ Jieko
   2106.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2014.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2406.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2801.2 ms  ✓ SciMLStructures
   3201.8 ms  ✓ MaybeInplace
   2502.3 ms  ✓ MKL_jll
   5406.0 ms  ✓ Setfield
   3606.4 ms  ✓ Static
   2396.4 ms  ✓ SortingAlgorithms
   3179.7 ms  ✓ Rmath
   5804.1 ms  ✓ RecipesBase
   4516.4 ms  ✓ PreallocationTools
   1793.2 ms  ✓ BitTwiddlingConvenienceFunctions
   3495.6 ms  ✓ QuadGK
   2313.9 ms  ✓ FiniteDiff
   8327.0 ms  ✓ Accessors
  15007.6 ms  ✓ SparseArrays
   3297.4 ms  ✓ CPUSummary
   1890.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2183.9 ms  ✓ Accessors → LinearAlgebraExt
   2082.3 ms  ✓ Adapt → AdaptSparseArraysExt
   2192.1 ms  ✓ SuiteSparse
   4591.7 ms  ✓ StaticArrayInterface
   2775.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2985.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2306.4 ms  ✓ PolyesterWeave
   3594.8 ms  ✓ Statistics
   2700.1 ms  ✓ Accessors → TestExt
   2587.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2091.4 ms  ✓ CloseOpenIntervals
   3503.5 ms  ✓ BangBang
   2800.1 ms  ✓ LayoutPointers
   3587.7 ms  ✓ PDMats
   3795.5 ms  ✓ Distances
  11084.4 ms  ✓ SpecialFunctions
   2706.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2604.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5687.1 ms  ✓ SymbolicIndexingInterface
   2500.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   7186.6 ms  ✓ SciMLOperators
   2382.0 ms  ✓ Distances → DistancesSparseArraysExt
   3509.5 ms  ✓ StrideArraysCore
   2496.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   3984.1 ms  ✓ OhMyThreads
   2799.4 ms  ✓ DiffRules
   2024.3 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3810.6 ms  ✓ HypergeometricFunctions
   2520.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2010.8 ms  ✓ Polyester
   1904.4 ms  ✓ OhMyThreads → MarkdownExt
   7809.4 ms  ✓ StatsBase
  11188.0 ms  ✓ Roots
   2722.7 ms  ✓ FastBroadcast
   2708.5 ms  ✓ PDMats → StatsBaseExt
   6187.5 ms  ✓ StatsFuns
   2215.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  27896.6 ms  ✓ StaticArrays
  23612.0 ms  ✓ FFTW
  13413.4 ms  ✓ RecursiveArrayTools
   1935.7 ms  ✓ Adapt → AdaptStaticArraysExt
   2426.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2584.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2581.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  12598.8 ms  ✓ ForwardDiff
   3676.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2883.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3608.5 ms  ✓ Accessors → StaticArraysExt
