nice: cannot set niceness: Permission denied
Precompiling packages...
    422.1 ms  ✓ CPUTime
    447.6 ms  ✓ Reexport
    599.6 ms  ✓ ConstructionBase
    517.2 ms  ✓ StatsAPI
    665.9 ms  ✓ IterTools
    475.7 ms  ✓ CommonSolve
   1430.3 ms  ✓ IrrationalConstants
    594.3 ms  ✓ StableTasks
   1140.6 ms  ✓ Combinatorics
    559.4 ms  ✓ StaticArraysCore
    613.6 ms  ✓ Statistics
    554.9 ms  ✓ ChunkSplitters
    446.7 ms  ✓ IfElse
    910.2 ms  ✓ SuiteSparse_jll
    740.9 ms  ✓ EnzymeCore
    487.3 ms  ✓ PtrArrays
    566.1 ms  ✓ Mmap
    480.0 ms  ✓ TaskLocalValues
    550.5 ms  ✓ ManualMemory
    537.2 ms  ✓ PositiveFactorizations
    493.5 ms  ✓ DataAPI
    463.9 ms  ✓ CommonWorldInvalidations
    461.1 ms  ✓ Future
    913.6 ms  ✓ SciMLPublic
    486.0 ms  ✓ FastPower
    567.8 ms  ✓ CompositionsBase
    636.8 ms  ✓ InverseFunctions
    743.5 ms  ✓ AbstractTrees
    566.2 ms  ✓ MuladdMacro
   5294.4 ms  ✓ MacroTools
   2403.2 ms  ✓ ExproniconLite
    491.1 ms  ✓ EnumX
    678.2 ms  ✓ AbstractFFTs
   1344.2 ms  ✓ InitialValues
    729.5 ms  ✓ OpenLibm_jll
    505.7 ms  ✓ ExprTools
    440.2 ms  ✓ ConcreteStructs
    945.3 ms  ✓ SpatialIndexing
   1108.9 ms  ✓ FillArrays
    674.4 ms  ✓ OrderedCollections
    528.7 ms  ✓ HashArrayMappedTries
    718.1 ms  ✓ ADTypes
    717.5 ms  ✓ Serialization
   1873.2 ms  ✓ Bessels
    708.4 ms  ✓ DocStringExtensions
    556.6 ms  ✓ FastClosures
    498.3 ms  ✓ SIMDTypes
    471.1 ms  ✓ IteratorInterfaceExtensions
    782.8 ms  ✓ Requires
    584.1 ms  ✓ LoggingExtras
    789.4 ms  ✓ CpuId
    655.6 ms  ✓ Compat
   1516.2 ms  ✓ InteractiveUtils
   3207.0 ms  ✓ FunctionWrappers
   1013.2 ms  ✓ LazyArtifacts
    571.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    495.0 ms  ✓ DiffResults
    510.1 ms  ✓ AliasTables
    792.7 ms  ✓ Distances
   1796.9 ms  ✓ Preferences
    562.9 ms  ✓ Missings
    497.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    478.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1327.4 ms  ✓ ThreadingUtilities
    609.3 ms  ✓ CommonSubexpressions
    576.9 ms  ✓ NaNMath
    502.9 ms  ✓ FillArrays → FillArraysStatisticsExt
    476.9 ms  ✓ ScopedValues
    444.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    452.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2172.2 ms  ✓ Jieko
   1191.0 ms  ✓ DifferentiationInterface
   1888.8 ms  ✓ DataStructures
    455.0 ms  ✓ RuntimeGeneratedFunctions
    668.3 ms  ✓ LogExpFunctions
    587.8 ms  ✓ Adapt
    542.8 ms  ✓ Compat → CompatLinearAlgebraExt
    541.6 ms  ✓ FunctionWrappersWrappers
   2607.1 ms  ✓ Distributed
   4281.2 ms  ✓ TimerOutputs
    462.9 ms  ✓ PrecompileTools
    851.6 ms  ✓ ProgressMeter
    631.4 ms  ✓ SciMLLogging
   1725.4 ms  ✓ Setfield
    608.9 ms  ✓ TruncatedStacktraces
   4190.5 ms  ✓ SparseArrays
    600.0 ms  ✓ SortingAlgorithms
    417.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    973.0 ms  ✓ QuadGK
    617.5 ms  ✓ ArrayInterface
    602.2 ms  ✓ GPUArraysCore
    472.6 ms  ✓ EnzymeCore → AdaptExt
   2708.9 ms  ✓ Accessors
    661.3 ms  ✓ JLLWrappers
   2076.6 ms  ✓ RecipesBase
   9126.4 ms  ✓ Test
    601.5 ms  ✓ Statistics → SparseArraysExt
    759.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
    696.9 ms  ✓ SuiteSparse
    705.2 ms  ✓ Distances → DistancesSparseArraysExt
    732.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    672.3 ms  ✓ Adapt → AdaptSparseArraysExt
  10936.5 ms  ✓ Moshi
    444.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    832.5 ms  ✓ MaybeInplace
    681.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    897.5 ms  ✓ SciMLStructures
    618.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    643.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2069.8 ms  ✓ PreallocationTools
    731.0 ms  ✓ Accessors → LinearAlgebraExt
   1004.7 ms  ✓ Rmath_jll
   1009.3 ms  ✓ OpenSpecFun_jll
   1594.5 ms  ✓ IntelOpenMP_jll
   1710.0 ms  ✓ oneTBB_jll
    999.0 ms  ✓ FFTW_jll
  16177.1 ms  ✓ StaticArrays
    820.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  16123.4 ms  ✓ Parsers
    658.7 ms  ✓ Accessors → TestExt
   1402.0 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    881.1 ms  ✓ PDMats
    795.9 ms  ✓ FiniteDiff
    760.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2682.3 ms  ✓ StatsBase
    919.2 ms  ✓ BangBang
   1297.4 ms  ✓ SymbolicIndexingInterface
   2104.6 ms  ✓ SciMLOperators
    923.1 ms  ✓ Rmath
   3514.6 ms  ✓ Roots
   1580.1 ms  ✓ MKL_jll
    710.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3082.9 ms  ✓ SpecialFunctions
    728.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    751.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    737.1 ms  ✓ Adapt → AdaptStaticArraysExt
