nice: cannot set niceness: Permission denied
Precompiling packages...
   1856.7 ms  ✓ SimpleUnPack
   1858.4 ms  ✓ IteratorInterfaceExtensions
   1930.4 ms  ✓ LazyArtifacts
   1935.2 ms  ✓ ConcreteStructs
   1951.3 ms  ✓ MuladdMacro
   2118.3 ms  ✓ StatsAPI
   2136.8 ms  ✓ ExprTools
   2530.5 ms  ✓ PositiveFactorizations
   2748.7 ms  ✓ AbstractFFTs
   2997.3 ms  ✓ ADTypes
   3641.4 ms  ✓ FunctionWrappers
   1800.1 ms  ✓ CommonSolve
   1808.3 ms  ✓ OpenLibm_jll
   3924.0 ms  ✓ InitialValues
   2089.5 ms  ✓ CompilerSupportLibraries_jll
   4200.4 ms  ✓ Combinatorics
   2311.8 ms  ✓ InverseFunctions
   4418.3 ms  ✓ FillArrays
   2219.7 ms  ✓ SuiteSparse_jll
   2882.7 ms  ✓ IterTools
   2131.1 ms  ✓ ManualMemory
   1995.5 ms  ✓ EnumX
   1887.9 ms  ✓ Reexport
   1698.2 ms  ✓ SIMDTypes
   2418.4 ms  ✓ Compat
   2303.2 ms  ✓ Requires
   2914.2 ms  ✓ OrderedCollections
   3094.3 ms  ✓ Preferences
   1990.1 ms  ✓ CompositionsBase
   2782.7 ms  ✓ DocStringExtensions
   2084.9 ms  ✓ PtrArrays
   4079.7 ms  ✓ SpatialIndexing
   1987.0 ms  ✓ TaskLocalValues
   2007.6 ms  ✓ FastPower
   8227.3 ms  ✓ ExproniconLite
   2198.3 ms  ✓ HashArrayMappedTries
   2392.4 ms  ✓ StableTasks
   1997.4 ms  ✓ IfElse
   3389.5 ms  ✓ CpuId
   3293.9 ms  ✓ EnzymeCore
   8195.6 ms  ✓ Bessels
   8023.0 ms  ✓ Distributed
   2030.7 ms  ✓ CPUTime
   2096.6 ms  ✓ DataAPI
   2117.8 ms  ✓ CommonWorldInvalidations
   2104.2 ms  ✓ FastClosures
   2810.2 ms  ✓ ConstructionBase
   5622.5 ms  ✓ IrrationalConstants
   2982.3 ms  ✓ ChunkSplitters
   2786.1 ms  ✓ SciMLPublic
   2187.7 ms  ✓ FunctionWrappersWrappers
   2894.4 ms  ✓ RuntimeGeneratedFunctions
   2407.8 ms  ✓ NaNMath
   3503.8 ms  ✓ StaticArraysCore
   2394.9 ms  ✓ Compat → CompatLinearAlgebraExt
   4486.8 ms  ✓ LoggingExtras
   2808.5 ms  ✓ Adapt
   3093.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10685.6 ms  ✓ MacroTools
  13531.7 ms  ✓ Test
   2999.0 ms  ✓ JLLWrappers
   2420.4 ms  ✓ PrecompileTools
   4179.7 ms  ✓ ThreadingUtilities
   2194.3 ms  ✓ AliasTables
   1903.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2277.8 ms  ✓ ScopedValues
   2197.8 ms  ✓ Missings
   2029.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2114.0 ms  ✓ DiffResults
   2285.3 ms  ✓ SciMLLogging
   6118.9 ms  ✓ DifferentiationInterface
   3507.2 ms  ✓ ProgressMeter
   3092.9 ms  ✓ LogExpFunctions
   1924.4 ms  ✓ EnzymeCore → AdaptExt
   2009.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2398.5 ms  ✓ GPUArraysCore
   2199.2 ms  ✓ TruncatedStacktraces
   2795.7 ms  ✓ ArrayInterface
   2303.2 ms  ✓ CommonSubexpressions
   2500.0 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2606.4 ms  ✓ Rmath_jll
   2429.6 ms  ✓ IntelOpenMP_jll
   2415.3 ms  ✓ FFTW_jll
   2599.5 ms  ✓ oneTBB_jll
   2681.9 ms  ✓ OpenSpecFun_jll
   2199.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8708.1 ms  ✓ DataStructures
   2180.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7613.7 ms  ✓ Jieko
   2092.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3698.0 ms  ✓ Static
   5612.6 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   2211.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2593.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2432.3 ms  ✓ SciMLStructures
   4816.8 ms  ✓ Setfield
   3200.9 ms  ✓ Rmath
   2701.0 ms  ✓ MKL_jll
   2294.9 ms  ✓ SortingAlgorithms
   6206.5 ms  ✓ RecipesBase
   1728.4 ms  ✓ BitTwiddlingConvenienceFunctions
   3808.3 ms  ✓ PreallocationTools
   3313.5 ms  ✓ QuadGK
   1914.2 ms  ✓ FiniteDiff
   2798.2 ms  ✓ CPUSummary
  14220.9 ms  ✓ SparseArrays
   3883.1 ms  ✓ StaticArrayInterface
   7395.1 ms  ✓ Accessors
   2089.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2206.0 ms  ✓ PolyesterWeave
   2287.9 ms  ✓ SuiteSparse
   2407.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2608.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1823.7 ms  ✓ CloseOpenIntervals
   2744.9 ms  ✓ Statistics
   2811.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2196.8 ms  ✓ LayoutPointers
   2107.2 ms  ✓ Accessors → LinearAlgebraExt
