nice: cannot set niceness: Permission denied
Precompiling packages...
   1617.2 ms  ✓ UUIDs
   1723.2 ms  ✓ NetworkOptions
   1710.4 ms  ✓ Zlib_jll
   1740.2 ms  ✓ Logging
   1772.1 ms  ✓ OpenSSL_jll
   1736.3 ms  ✓ MozillaCACerts_jll
   1797.3 ms  ✓ nghttp2_jll
   1800.5 ms  ✓ Unicode
   1856.7 ms  ✓ CompilerSupportLibraries_jll
   1930.2 ms  ✓ Base64
    522.2 ms  ✓ LibSSH2_jll
    589.2 ms  ✓ p7zip_jll
    693.4 ms  ✓ Printf
    493.3 ms  ✓ LibCURL_jll
    495.2 ms  ✓ LibGit2_jll
   3265.7 ms  ✓ ArgTools
    759.2 ms  ✓ LibCURL
    653.5 ms  ✓ Tar
   2883.1 ms  ✓ Dates
   3030.6 ms  ✓ LibGit2
    452.6 ms  ✓ TOML
   3019.6 ms  ✓ Downloads
   9318.0 ms  ✓ StyledStrings
   1670.1 ms  ✓ JuliaSyntaxHighlighting
   3698.9 ms  ✓ Markdown
  46106.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2294.9 ms  ✓ Future
   2402.8 ms  ✓ IteratorInterfaceExtensions
   2506.3 ms  ✓ MuladdMacro
   2671.1 ms  ✓ ConcreteStructs
   2693.9 ms  ✓ ExprTools
   2703.2 ms  ✓ StatsAPI
   3406.6 ms  ✓ PositiveFactorizations
   3770.2 ms  ✓ AbstractFFTs
   3992.3 ms  ✓ Serialization
   4087.6 ms  ✓ ADTypes
   2595.9 ms  ✓ OpenLibm_jll
   2524.8 ms  ✓ CommonSolve
   2890.1 ms  ✓ InverseFunctions
   5292.4 ms  ✓ FillArrays
   5688.3 ms  ✓ InitialValues
   3097.2 ms  ✓ SuiteSparse_jll
   5902.3 ms  ✓ Combinatorics
   3405.4 ms  ✓ Statistics
   3420.2 ms  ✓ IterTools
   3028.7 ms  ✓ ManualMemory
   2697.4 ms  ✓ EnumX
   2605.8 ms  ✓ Reexport
   2785.1 ms  ✓ SIMDTypes
   4402.4 ms  ✓ Requires
   2408.6 ms  ✓ CompositionsBase
   2985.3 ms  ✓ Mmap
   3399.3 ms  ✓ AbstractTrees
   3597.1 ms  ✓ DocStringExtensions
   2604.9 ms  ✓ PtrArrays
   5117.9 ms  ✓ SpatialIndexing
   2996.0 ms  ✓ FastPower
   2710.6 ms  ✓ HashArrayMappedTries
   2617.1 ms  ✓ TaskLocalValues
  10865.9 ms  ✓ Bessels
  11394.7 ms  ✓ FunctionWrappers
   2598.0 ms  ✓ IfElse
   3002.5 ms  ✓ StableTasks
   2501.3 ms  ✓ CPUTime
   2592.2 ms  ✓ CommonWorldInvalidations
   4201.7 ms  ✓ EnzymeCore
   2687.4 ms  ✓ DataAPI
   2606.6 ms  ✓ FastClosures
   2745.0 ms  ✓ ChunkSplitters
   2825.8 ms  ✓ StaticArraysCore
   3187.8 ms  ✓ SciMLPublic
   3217.0 ms  ✓ LoggingExtras
  10686.6 ms  ✓ OrderedCollections
   3797.9 ms  ✓ Preferences
  15676.8 ms  ✓ ExproniconLite
   4270.0 ms  ✓ CpuId
   2595.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5509.8 ms  ✓ LazyArtifacts
   2625.7 ms  ✓ FillArrays → FillArraysStatisticsExt
   9700.4 ms  ✓ ConstructionBase
  13890.7 ms  ✓ IrrationalConstants
   3195.4 ms  ✓ Adapt
   2888.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3184.7 ms  ✓ AliasTables
   3004.6 ms  ✓ ScopedValues
  10791.2 ms  ✓ Compat
   2411.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   9213.4 ms  ✓ NaNMath
   2982.9 ms  ✓ FunctionWrappersWrappers
  19962.3 ms  ✓ MacroTools
  10178.8 ms  ✓ RuntimeGeneratedFunctions
   3194.8 ms  ✓ DiffResults
  13514.1 ms  ✓ InteractiveUtils
   2685.6 ms  ✓ PrecompileTools
   2417.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  12092.8 ms  ✓ DifferentiationInterface
   2403.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3310.9 ms  ✓ JLLWrappers
   3583.9 ms  ✓ SciMLLogging
  11297.2 ms  ✓ Distances
  11434.2 ms  ✓ ThreadingUtilities
   2515.6 ms  ✓ EnzymeCore → AdaptExt
   3614.4 ms  ✓ LogExpFunctions
   2798.4 ms  ✓ Compat → CompatLinearAlgebraExt
   3192.8 ms  ✓ GPUArraysCore
   3206.2 ms  ✓ TruncatedStacktraces
   3311.9 ms  ✓ CommonSubexpressions
  16404.8 ms  ✓ Distributed
   9415.9 ms  ✓ Missings
   9219.8 ms  ✓ Jieko
  19792.8 ms  ✓ TimerOutputs
  11589.7 ms  ✓ DataStructures
   4992.8 ms  ✓ Rmath_jll
   9403.0 ms  ✓ ArrayInterface
   5185.1 ms  ✓ FFTW_jll
   3098.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6696.5 ms  ✓ IntelOpenMP_jll
   2696.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   9108.6 ms  ✓ RecipesBase
   3888.7 ms  ✓ OpenSpecFun_jll
   8195.4 ms  ✓ Setfield
   2198.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3004.1 ms  ✓ SortingAlgorithms
   9207.4 ms  ✓ oneTBB_jll
   2518.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   4694.6 ms  ✓ ProgressMeter
   3596.0 ms  ✓ MaybeInplace
   3904.0 ms  ✓ Rmath
  26415.0 ms  ✓ SparseArrays
   3293.7 ms  ✓ FiniteDiff
   3257.8 ms  ✓ SuiteSparse
   3176.8 ms  ✓ Adapt → AdaptSparseArraysExt
   3327.1 ms  ✓ Statistics → SparseArraysExt
   3874.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6212.4 ms  ✓ MKL_jll
   3394.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   7212.1 ms  ✓ PreallocationTools
  10310.0 ms  ✓ QuadGK
   9897.9 ms  ✓ SciMLStructures
   3140.7 ms  ✓ Distances → DistancesSparseArraysExt
   2703.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  19715.5 ms  ✓ Accessors
   3372.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4508.6 ms  ✓ PDMats
