nice: cannot set niceness: Permission denied
Precompiling packages...
   1989.2 ms  ✓ LazyArtifacts
   2014.9 ms  ✓ IteratorInterfaceExtensions
   2198.4 ms  ✓ ConcreteStructs
   2204.7 ms  ✓ ExprTools
   2274.7 ms  ✓ OpenLibm_jll
   2304.8 ms  ✓ StatsAPI
   2316.8 ms  ✓ PositiveFactorizations
   2908.4 ms  ✓ AbstractFFTs
   3099.0 ms  ✓ ADTypes
   3391.7 ms  ✓ Gamma
   3511.2 ms  ✓ FunctionWrappers
   3748.1 ms  ✓ Combinatorics
   1887.3 ms  ✓ CommonSolve
   3992.3 ms  ✓ InitialValues
   2305.4 ms  ✓ InverseFunctions
   2205.4 ms  ✓ CompilerSupportLibraries_jll
   4484.0 ms  ✓ FillArrays
   2211.2 ms  ✓ SuiteSparse_jll
   3010.8 ms  ✓ IterTools
   2405.2 ms  ✓ Compat
   2092.0 ms  ✓ EnumX
   2301.7 ms  ✓ Requires
   2505.9 ms  ✓ OrderedCollections
   1890.9 ms  ✓ Reexport
   3282.8 ms  ✓ Preferences
   2186.2 ms  ✓ CompositionsBase
   2605.5 ms  ✓ DocStringExtensions
   2690.9 ms  ✓ AbstractTrees
   2086.6 ms  ✓ PtrArrays
   1889.8 ms  ✓ FastPower
   3694.1 ms  ✓ SpatialIndexing
   1898.9 ms  ✓ TaskLocalValues
   2011.6 ms  ✓ HashArrayMappedTries
   7772.7 ms  ✓ Bessels
   2107.6 ms  ✓ StableTasks
   2800.1 ms  ✓ Inflate
   1993.7 ms  ✓ PackageExtensionCompat
   2597.3 ms  ✓ ConstructionBase
   2311.3 ms  ✓ DataAPI
   2204.2 ms  ✓ FastClosures
   7597.5 ms  ✓ Distributed
   2719.1 ms  ✓ Adapt
   2392.6 ms  ✓ ChunkSplitters
   3603.2 ms  ✓ EnzymeCore
   2696.7 ms  ✓ SciMLPublic
   5984.5 ms  ✓ IrrationalConstants
   2561.3 ms  ✓ StaticArraysCore
   2994.9 ms  ✓ LoggingExtras
   2412.4 ms  ✓ BinaryHeaps
   2390.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2819.9 ms  ✓ RuntimeGeneratedFunctions
   2588.7 ms  ✓ NaNMath
   2213.3 ms  ✓ VectorInterface
   2494.4 ms  ✓ Compat → CompatLinearAlgebraExt
  12893.0 ms  ✓ Test
  10521.1 ms  ✓ MacroTools
   2839.3 ms  ✓ PrecompileTools
   2920.4 ms  ✓ JLLWrappers
   2797.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   7688.6 ms  ✓ DataStructures
   2495.2 ms  ✓ AliasTables
   4487.2 ms  ✓ HypergeometricFunctions
   2108.1 ms  ✓ ScopedValues
   2181.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5214.9 ms  ✓ DifferentiationInterface
   2384.6 ms  ✓ Missings
   2199.1 ms  ✓ GPUArraysCore
   1884.6 ms  ✓ EnzymeCore → AdaptExt
   2418.3 ms  ✓ ArrayInterface
   1830.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2112.9 ms  ✓ DiffResults
   3412.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3408.8 ms  ✓ ProgressMeter
   2895.8 ms  ✓ LogExpFunctions
   2705.0 ms  ✓ SciMLLogging
   2596.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2310.9 ms  ✓ CommonSubexpressions
   8686.4 ms  ✓ TimerOutputs
