nice: cannot set niceness: Permission denied
Precompiling packages...
   1601.2 ms  ✓ OpenSSL_jll
   1564.5 ms  ✓ Unicode
   1666.7 ms  ✓ Logging
   1667.8 ms  ✓ UUIDs
   1668.2 ms  ✓ Zlib_jll
   1678.8 ms  ✓ MozillaCACerts_jll
   1752.1 ms  ✓ nghttp2_jll
   1799.6 ms  ✓ CompilerSupportLibraries_jll
   1881.3 ms  ✓ NetworkOptions
   1888.2 ms  ✓ Base64
    623.2 ms  ✓ LibSSH2_jll
    804.4 ms  ✓ Printf
    613.3 ms  ✓ p7zip_jll
    542.5 ms  ✓ LibCURL_jll
    570.8 ms  ✓ LibGit2_jll
   3407.7 ms  ✓ ArgTools
    838.9 ms  ✓ LibCURL
    658.6 ms  ✓ Tar
   3039.5 ms  ✓ Dates
    471.1 ms  ✓ TOML
   3179.0 ms  ✓ LibGit2
   3126.1 ms  ✓ Downloads
   9741.9 ms  ✓ StyledStrings
   1659.2 ms  ✓ JuliaSyntaxHighlighting
   3892.7 ms  ✓ Markdown
  47766.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2369.5 ms  ✓ MuladdMacro
   2368.1 ms  ✓ Future
   2457.7 ms  ✓ IteratorInterfaceExtensions
   2564.8 ms  ✓ ConcreteStructs
   2665.0 ms  ✓ PositiveFactorizations
   2725.4 ms  ✓ OpenLibm_jll
   2760.6 ms  ✓ StatsAPI
   2837.1 ms  ✓ ExprTools
   3164.3 ms  ✓ AbstractFFTs
   3924.2 ms  ✓ Serialization
   4147.9 ms  ✓ ADTypes
   2396.0 ms  ✓ CommonSolve
   5154.6 ms  ✓ FillArrays
   5361.3 ms  ✓ InitialValues
   2800.2 ms  ✓ SuiteSparse_jll
   3192.2 ms  ✓ InverseFunctions
   3200.4 ms  ✓ Statistics
   5683.4 ms  ✓ Combinatorics
   3218.8 ms  ✓ IterTools
   3008.7 ms  ✓ EnumX
   2618.7 ms  ✓ Reexport
   4636.1 ms  ✓ Requires
   2401.4 ms  ✓ CompositionsBase
   2401.1 ms  ✓ PtrArrays
   2695.9 ms  ✓ Mmap
   3380.9 ms  ✓ DocStringExtensions
   3112.1 ms  ✓ AbstractTrees
   2543.8 ms  ✓ HashArrayMappedTries
   3060.6 ms  ✓ FastPower
   2602.0 ms  ✓ TaskLocalValues
   4999.2 ms  ✓ SpatialIndexing
   2995.4 ms  ✓ StableTasks
   2801.5 ms  ✓ Inflate
   3488.3 ms  ✓ VectorInterface
   2684.2 ms  ✓ DataAPI
   2733.9 ms  ✓ Adapt
  11064.1 ms  ✓ Bessels
   2624.4 ms  ✓ FastClosures
   2703.2 ms  ✓ ChunkSplitters
   3274.0 ms  ✓ PackageExtensionCompat
  11875.3 ms  ✓ FunctionWrappers
   3903.9 ms  ✓ EnzymeCore
   3121.5 ms  ✓ SciMLPublic
   9796.2 ms  ✓ NaNMath
   3304.8 ms  ✓ StaticArraysCore
   3002.5 ms  ✓ LoggingExtras
   3971.9 ms  ✓ Preferences
   2608.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5135.1 ms  ✓ LazyArtifacts
   2604.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2516.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9416.5 ms  ✓ ConstructionBase
   2901.2 ms  ✓ AliasTables
   2598.7 ms  ✓ ScopedValues
  14487.2 ms  ✓ IrrationalConstants
   3397.9 ms  ✓ GPUArraysCore
   9202.5 ms  ✓ RuntimeGeneratedFunctions
  10502.0 ms  ✓ Compat
  10315.4 ms  ✓ OrderedCollections
  18995.0 ms  ✓ MacroTools
   3305.5 ms  ✓ EnzymeCore → AdaptExt
   2922.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  11461.7 ms  ✓ DifferentiationInterface
   2394.4 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   2604.4 ms  ✓ DiffResults
   2698.1 ms  ✓ PrecompileTools
   3192.8 ms  ✓ JLLWrappers
   2489.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  11666.8 ms  ✓ Distances
   3178.0 ms  ✓ SciMLLogging
   2579.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  14415.3 ms  ✓ InteractiveUtils
   2589.9 ms  ✓ Compat → CompatLinearAlgebraExt
   9610.9 ms  ✓ Missings
   8104.0 ms  ✓ KrylovKit
   2503.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3896.2 ms  ✓ LogExpFunctions
  10206.9 ms  ✓ ArrayInterface
   3861.5 ms  ✓ CommonSubexpressions
   3710.1 ms  ✓ Rmath_jll
   3681.8 ms  ✓ FFTW_jll
  17601.3 ms  ✓ Distributed
   4509.8 ms  ✓ OpenSpecFun_jll
   3726.1 ms  ✓ TruncatedStacktraces
  19588.1 ms  ✓ TimerOutputs
