nice: cannot set niceness: Permission denied
Precompiling packages...
    423.1 ms  ✓ CPUTime
    431.2 ms  ✓ Reexport
    564.9 ms  ✓ ConstructionBase
    465.8 ms  ✓ StatsAPI
    622.3 ms  ✓ IterTools
   1329.2 ms  ✓ IrrationalConstants
    480.3 ms  ✓ CommonSolve
    578.7 ms  ✓ StableTasks
   1080.6 ms  ✓ Combinatorics
    530.0 ms  ✓ StaticArraysCore
    632.4 ms  ✓ Statistics
    524.9 ms  ✓ ChunkSplitters
    455.2 ms  ✓ IfElse
    727.0 ms  ✓ EnzymeCore
   1004.6 ms  ✓ SuiteSparse_jll
    471.7 ms  ✓ PtrArrays
    565.2 ms  ✓ Mmap
    463.4 ms  ✓ TaskLocalValues
    515.7 ms  ✓ ManualMemory
    521.9 ms  ✓ PositiveFactorizations
    502.3 ms  ✓ DataAPI
    451.5 ms  ✓ CommonWorldInvalidations
    444.9 ms  ✓ Future
    427.2 ms  ✓ FastPower
   1039.7 ms  ✓ SciMLPublic
    523.3 ms  ✓ InverseFunctions
    436.1 ms  ✓ CompositionsBase
    639.2 ms  ✓ AbstractTrees
    506.7 ms  ✓ MuladdMacro
    713.6 ms  ✓ AbstractFFTs
    601.6 ms  ✓ EnumX
   2480.9 ms  ✓ ExproniconLite
   1412.1 ms  ✓ InitialValues
   5958.2 ms  ✓ MacroTools
    539.7 ms  ✓ ExprTools
    878.0 ms  ✓ OpenLibm_jll
    446.9 ms  ✓ ConcreteStructs
   1157.9 ms  ✓ FillArrays
    907.4 ms  ✓ SpatialIndexing
    667.4 ms  ✓ OrderedCollections
    500.1 ms  ✓ HashArrayMappedTries
    750.0 ms  ✓ ADTypes
   1767.5 ms  ✓ Bessels
    736.2 ms  ✓ Serialization
    691.1 ms  ✓ DocStringExtensions
    502.1 ms  ✓ FastClosures
    460.5 ms  ✓ SIMDTypes
    454.8 ms  ✓ IteratorInterfaceExtensions
    784.1 ms  ✓ Requires
    768.0 ms  ✓ CpuId
    574.8 ms  ✓ LoggingExtras
    604.6 ms  ✓ Compat
   1399.0 ms  ✓ InteractiveUtils
    900.8 ms  ✓ LazyArtifacts
    454.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    502.3 ms  ✓ DiffResults
    582.1 ms  ✓ AliasTables
    851.7 ms  ✓ Distances
   3975.9 ms  ✓ FunctionWrappers
    554.0 ms  ✓ Missings
    472.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    478.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2355.2 ms  ✓ Preferences
   1433.2 ms  ✓ ThreadingUtilities
    610.5 ms  ✓ CommonSubexpressions
    572.2 ms  ✓ NaNMath
    504.0 ms  ✓ FillArrays → FillArraysStatisticsExt
    413.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    458.8 ms  ✓ ScopedValues
    424.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1112.0 ms  ✓ DifferentiationInterface
   2007.0 ms  ✓ Jieko
    501.2 ms  ✓ RuntimeGeneratedFunctions
   1817.6 ms  ✓ DataStructures
    683.6 ms  ✓ LogExpFunctions
    504.3 ms  ✓ Adapt
    461.7 ms  ✓ Compat → CompatLinearAlgebraExt
    427.4 ms  ✓ FunctionWrappersWrappers
   2681.4 ms  ✓ Distributed
    493.0 ms  ✓ PrecompileTools
   1494.4 ms  ✓ Setfield
    581.7 ms  ✓ JLLWrappers
    619.1 ms  ✓ SciMLLogging
    583.1 ms  ✓ TruncatedStacktraces
   2720.7 ms  ✓ Accessors
   4480.5 ms  ✓ SparseArrays
    663.6 ms  ✓ SortingAlgorithms
    448.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    603.2 ms  ✓ ArrayInterface
    941.9 ms  ✓ QuadGK
    585.4 ms  ✓ GPUArraysCore
    456.7 ms  ✓ EnzymeCore → AdaptExt
    828.7 ms  ✓ ProgressMeter
   1942.5 ms  ✓ RecipesBase
  10320.3 ms  ✓ Test
    834.8 ms  ✓ Rmath_jll
    884.2 ms  ✓ OpenSpecFun_jll
  10929.9 ms  ✓ Moshi
   1328.4 ms  ✓ IntelOpenMP_jll
    756.8 ms  ✓ FFTW_jll
   1318.2 ms  ✓ oneTBB_jll
    664.6 ms  ✓ Accessors → LinearAlgebraExt
    837.6 ms  ✓ Statistics → SparseArraysExt
    952.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
    844.2 ms  ✓ SuiteSparse
    851.0 ms  ✓ Distances → DistancesSparseArraysExt
    901.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    848.2 ms  ✓ Adapt → AdaptSparseArraysExt
    636.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    877.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    709.5 ms  ✓ SciMLStructures
    611.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    670.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1428.3 ms  ✓ PreallocationTools
  15447.0 ms  ✓ Parsers
    869.3 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    741.9 ms  ✓ Accessors → TestExt
  17052.4 ms  ✓ StaticArrays
    728.7 ms  ✓ Rmath
   1737.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
    717.9 ms  ✓ BangBang
   1177.9 ms  ✓ MKL_jll
   2310.1 ms  ✓ SpecialFunctions
   1726.6 ms  ✓ SciMLOperators
   2830.9 ms  ✓ Roots
    950.4 ms  ✓ PDMats
   2513.6 ms  ✓ StatsBase
    841.1 ms  ✓ FiniteDiff
   1368.8 ms  ✓ SymbolicIndexingInterface
    773.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
