nice: cannot set niceness: Permission denied
Precompiling packages...
   1664.2 ms  ✓ nghttp2_jll
   1672.5 ms  ✓ Logging
   1677.7 ms  ✓ UUIDs
   1688.4 ms  ✓ MozillaCACerts_jll
   1726.3 ms  ✓ OpenSSL_jll
   1697.7 ms  ✓ NetworkOptions
   1768.3 ms  ✓ Unicode
   1779.6 ms  ✓ CompilerSupportLibraries_jll
   1789.8 ms  ✓ Zlib_jll
   1880.3 ms  ✓ Base64
    528.4 ms  ✓ LibSSH2_jll
    587.8 ms  ✓ p7zip_jll
    665.0 ms  ✓ Printf
    493.1 ms  ✓ LibCURL_jll
    494.8 ms  ✓ LibGit2_jll
   3272.4 ms  ✓ ArgTools
    759.7 ms  ✓ LibCURL
    621.4 ms  ✓ Tar
   2992.5 ms  ✓ Dates
    509.0 ms  ✓ TOML
   3249.6 ms  ✓ LibGit2
   3095.6 ms  ✓ Downloads
   9465.3 ms  ✓ StyledStrings
   1729.0 ms  ✓ JuliaSyntaxHighlighting
   3841.5 ms  ✓ Markdown
  47554.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2418.9 ms  ✓ Future
   2513.4 ms  ✓ IteratorInterfaceExtensions
   2526.3 ms  ✓ ConcreteStructs
   2534.5 ms  ✓ MuladdMacro
   2715.4 ms  ✓ ExprTools
   2811.6 ms  ✓ StatsAPI
   3132.7 ms  ✓ PositiveFactorizations
   3243.1 ms  ✓ AbstractFFTs
   4205.1 ms  ✓ Serialization
   4510.6 ms  ✓ ADTypes
   2287.2 ms  ✓ CommonSolve
   2415.1 ms  ✓ OpenLibm_jll
   5108.0 ms  ✓ FillArrays
   5328.5 ms  ✓ Combinatorics
   3023.3 ms  ✓ InverseFunctions
   3213.9 ms  ✓ Statistics
   3007.3 ms  ✓ SuiteSparse_jll
   3218.4 ms  ✓ IterTools
   6015.5 ms  ✓ InitialValues
   3377.2 ms  ✓ ManualMemory
   2521.3 ms  ✓ EnumX
   2421.2 ms  ✓ Reexport
   2590.0 ms  ✓ SIMDTypes
   3075.3 ms  ✓ AbstractTrees
   3381.9 ms  ✓ DocStringExtensions
   3397.9 ms  ✓ CompositionsBase
   5012.1 ms  ✓ Requires
   3593.4 ms  ✓ Mmap
   2920.0 ms  ✓ PtrArrays
   5076.2 ms  ✓ SpatialIndexing
   2579.3 ms  ✓ FastPower
   2674.8 ms  ✓ HashArrayMappedTries
  10211.1 ms  ✓ Bessels
   2605.3 ms  ✓ TaskLocalValues
   2898.2 ms  ✓ StableTasks
  11937.5 ms  ✓ FunctionWrappers
   2580.7 ms  ✓ IfElse
   2570.2 ms  ✓ DataAPI
   2314.9 ms  ✓ FastClosures
   2985.1 ms  ✓ Adapt
   2797.4 ms  ✓ ChunkSplitters
   2686.9 ms  ✓ StaticArraysCore
   2815.7 ms  ✓ SciMLPublic
   3701.9 ms  ✓ EnzymeCore
   3201.5 ms  ✓ LoggingExtras
  10487.1 ms  ✓ OrderedCollections
   3826.2 ms  ✓ Preferences
  16000.9 ms  ✓ ExproniconLite
   4180.5 ms  ✓ CpuId
   2493.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5011.5 ms  ✓ LazyArtifacts
   2783.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   2603.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9591.0 ms  ✓ ConstructionBase
   2572.4 ms  ✓ CommonWorldInvalidations
  14994.5 ms  ✓ IrrationalConstants
   2892.1 ms  ✓ AliasTables
  18701.3 ms  ✓ MacroTools
   9296.0 ms  ✓ RuntimeGeneratedFunctions
  10119.1 ms  ✓ Compat
   3598.9 ms  ✓ ScopedValues
   2615.1 ms  ✓ DiffResults
  11116.1 ms  ✓ NaNMath
   2490.0 ms  ✓ EnzymeCore → AdaptExt
   3608.0 ms  ✓ GPUArraysCore
   2509.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3019.3 ms  ✓ JLLWrappers
  11204.8 ms  ✓ Distances
  14320.3 ms  ✓ InteractiveUtils
  13588.4 ms  ✓ DifferentiationInterface
   2503.7 ms  ✓ PrecompileTools
   2702.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2482.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3476.4 ms  ✓ SciMLLogging
  11815.1 ms  ✓ ThreadingUtilities
   9399.9 ms  ✓ Missings
   2681.5 ms  ✓ Compat → CompatLinearAlgebraExt
   9224.7 ms  ✓ ArrayInterface
   3294.4 ms  ✓ CommonSubexpressions
  16716.8 ms  ✓ Distributed
   4080.7 ms  ✓ LogExpFunctions
   4187.0 ms  ✓ Rmath_jll
   8593.5 ms  ✓ DataStructures
   3624.8 ms  ✓ FFTW_jll
   2508.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3904.0 ms  ✓ OpenSpecFun_jll
  19124.7 ms  ✓ TimerOutputs
   4189.2 ms  ✓ TruncatedStacktraces
   2507.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7197.0 ms  ✓ IntelOpenMP_jll
   2403.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   9802.7 ms  ✓ Jieko
   3408.9 ms  ✓ MaybeInplace
   4082.3 ms  ✓ FastBroadcast
   7904.9 ms  ✓ oneTBB_jll
   2195.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2792.6 ms  ✓ SortingAlgorithms
   7414.7 ms  ✓ Setfield
   4918.1 ms  ✓ Rmath
  10203.9 ms  ✓ RecipesBase
   5787.9 ms  ✓ ProgressMeter
   3289.5 ms  ✓ FiniteDiff
   8200.0 ms  ✓ PreallocationTools
  24934.4 ms  ✓ SparseArrays
   9304.7 ms  ✓ SciMLStructures
   2517.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   6398.3 ms  ✓ MKL_jll
   3167.5 ms  ✓ SuiteSparse
   3217.5 ms  ✓ Adapt → AdaptSparseArraysExt
   3314.0 ms  ✓ Distances → DistancesSparseArraysExt
   3608.0 ms  ✓ Statistics → SparseArraysExt
