nice: cannot set niceness: Permission denied
Precompiling packages...
    409.7 ms  ✓ CPUTime
    423.9 ms  ✓ Reexport
    580.6 ms  ✓ ConstructionBase
    488.3 ms  ✓ StatsAPI
    635.4 ms  ✓ IterTools
   1319.1 ms  ✓ IrrationalConstants
    478.8 ms  ✓ CommonSolve
    598.4 ms  ✓ StableTasks
   1080.1 ms  ✓ Combinatorics
    537.4 ms  ✓ StaticArraysCore
    641.3 ms  ✓ Statistics
    526.5 ms  ✓ ChunkSplitters
    446.1 ms  ✓ IfElse
    966.1 ms  ✓ SuiteSparse_jll
    709.0 ms  ✓ EnzymeCore
    478.5 ms  ✓ PtrArrays
    557.2 ms  ✓ Mmap
    463.2 ms  ✓ TaskLocalValues
    537.8 ms  ✓ ManualMemory
    556.3 ms  ✓ PositiveFactorizations
    503.5 ms  ✓ DataAPI
    442.6 ms  ✓ CommonWorldInvalidations
    420.7 ms  ✓ Future
    872.2 ms  ✓ SciMLPublic
    449.2 ms  ✓ FastPower
    495.0 ms  ✓ CompositionsBase
    576.0 ms  ✓ InverseFunctions
    741.6 ms  ✓ AbstractTrees
    535.3 ms  ✓ MuladdMacro
   5364.7 ms  ✓ MacroTools
   2320.3 ms  ✓ ExproniconLite
    554.1 ms  ✓ EnumX
    709.1 ms  ✓ AbstractFFTs
   1366.8 ms  ✓ InitialValues
    503.8 ms  ✓ ExprTools
    802.9 ms  ✓ OpenLibm_jll
    442.6 ms  ✓ ConcreteStructs
    951.4 ms  ✓ SpatialIndexing
   1101.7 ms  ✓ FillArrays
    689.5 ms  ✓ OrderedCollections
    522.4 ms  ✓ HashArrayMappedTries
    707.0 ms  ✓ ADTypes
   1768.7 ms  ✓ Bessels
    749.6 ms  ✓ Serialization
    687.6 ms  ✓ DocStringExtensions
    532.2 ms  ✓ FastClosures
    470.1 ms  ✓ SIMDTypes
    463.1 ms  ✓ IteratorInterfaceExtensions
    768.9 ms  ✓ Requires
    791.8 ms  ✓ CpuId
    609.3 ms  ✓ LoggingExtras
    614.1 ms  ✓ Compat
   1414.9 ms  ✓ InteractiveUtils
    456.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    903.3 ms  ✓ LazyArtifacts
    525.0 ms  ✓ DiffResults
    580.1 ms  ✓ AliasTables
   3666.4 ms  ✓ FunctionWrappers
    841.9 ms  ✓ Distances
    445.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    534.4 ms  ✓ Missings
    488.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2295.9 ms  ✓ Preferences
    612.7 ms  ✓ CommonSubexpressions
   1237.1 ms  ✓ ThreadingUtilities
    545.9 ms  ✓ NaNMath
    486.3 ms  ✓ FillArrays → FillArraysStatisticsExt
    469.9 ms  ✓ ScopedValues
    442.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    502.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2049.8 ms  ✓ Jieko
   1854.6 ms  ✓ DataStructures
   1184.8 ms  ✓ DifferentiationInterface
    479.6 ms  ✓ RuntimeGeneratedFunctions
    688.8 ms  ✓ LogExpFunctions
    611.4 ms  ✓ Adapt
    559.4 ms  ✓ Compat → CompatLinearAlgebraExt
   4012.8 ms  ✓ TimerOutputs
    494.0 ms  ✓ FunctionWrappersWrappers
   2801.6 ms  ✓ Distributed
    517.5 ms  ✓ PrecompileTools
   1656.0 ms  ✓ Setfield
    578.4 ms  ✓ JLLWrappers
    623.8 ms  ✓ SciMLLogging
    545.8 ms  ✓ TruncatedStacktraces
   4523.7 ms  ✓ SparseArrays
    594.8 ms  ✓ SortingAlgorithms
   2673.6 ms  ✓ Accessors
    505.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1013.0 ms  ✓ QuadGK
    611.7 ms  ✓ ArrayInterface
    439.1 ms  ✓ EnzymeCore → AdaptExt
    591.6 ms  ✓ GPUArraysCore
    824.8 ms  ✓ ProgressMeter
   1891.6 ms  ✓ RecipesBase
   9995.1 ms  ✓ Test
    827.9 ms  ✓ Rmath_jll
    859.6 ms  ✓ OpenSpecFun_jll
  10444.4 ms  ✓ Moshi
   1340.2 ms  ✓ IntelOpenMP_jll
    731.0 ms  ✓ FFTW_jll
   1255.3 ms  ✓ oneTBB_jll
    805.4 ms  ✓ Statistics → SparseArraysExt
    941.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
    829.9 ms  ✓ SuiteSparse
    857.4 ms  ✓ Distances → DistancesSparseArraysExt
    901.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    836.8 ms  ✓ Adapt → AdaptSparseArraysExt
    719.2 ms  ✓ Accessors → LinearAlgebraExt
    618.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1074.8 ms  ✓ MaybeInplace
    862.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    928.4 ms  ✓ SciMLStructures
    666.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1734.9 ms  ✓ PreallocationTools
  14729.1 ms  ✓ Parsers
    605.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    656.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  16202.4 ms  ✓ StaticArrays
    597.7 ms  ✓ Accessors → TestExt
    754.5 ms  ✓ Rmath
   1598.7 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1141.5 ms  ✓ MKL_jll
    864.2 ms  ✓ PDMats
   2347.6 ms  ✓ SpecialFunctions
   2390.0 ms  ✓ StatsBase
    799.0 ms  ✓ BangBang
    872.9 ms  ✓ FiniteDiff
   2000.7 ms  ✓ SciMLOperators
   1320.0 ms  ✓ SymbolicIndexingInterface
   3329.6 ms  ✓ Roots
    798.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    730.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    781.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    876.5 ms  ✓ FillArrays → FillArraysStaticArraysExt
    758.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2121.7 ms  ✓ JSON
    713.2 ms  ✓ Adapt → AdaptStaticArraysExt
    760.5 ms  ✓ Accessors → StaticArraysExt
    778.7 ms  ✓ FillArrays → FillArraysPDMatsExt
   1181.6 ms  ✓ HypergeometricFunctions
    795.1 ms  ✓ DiffRules
    805.7 ms  ✓ PDMats → StatsBaseExt
