Precompiling Pkg...
   1058.2 ms  ✓ MozillaCACerts_jll
   1062.1 ms  ✓ UUIDs
   1065.8 ms  ✓ Logging
   1064.8 ms  ✓ Zlib_jll
   1070.0 ms  ✓ Unicode
   1078.1 ms  ✓ nghttp2_jll
   1098.2 ms  ✓ p7zip_jll
   1167.4 ms  ✓ MbedTLS_jll
   1216.0 ms  ✓ NetworkOptions
   1215.8 ms  ✓ Base64
    317.8 ms  ✓ LibSSH2_jll
    455.7 ms  ✓ Printf
    409.2 ms  ✓ LibCURL_jll
    418.1 ms  ✓ LibGit2_jll
   2001.6 ms  ✓ ArgTools
    577.8 ms  ✓ LibCURL
    568.2 ms  ✓ Tar
   2430.2 ms  ✓ Dates
   2759.6 ms  ✓ Markdown
   2270.8 ms  ✓ LibGit2
    359.9 ms  ✓ TOML
   2879.2 ms  ✓ Downloads
  38785.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1756.3 ms  ✓ IteratorInterfaceExtensions
   1779.9 ms  ✓ SimpleUnPack
   1869.0 ms  ✓ MuladdMacro
   1862.2 ms  ✓ UnPack
   1950.1 ms  ✓ ExprTools
   1963.2 ms  ✓ ConcreteStructs
   1964.7 ms  ✓ Future
   2173.2 ms  ✓ StatsAPI
   2566.8 ms  ✓ PositiveFactorizations
   3041.3 ms  ✓ Serialization
   3074.7 ms  ✓ AbstractFFTs
   3166.6 ms  ✓ ADTypes
   3655.5 ms  ✓ FunctionWrappers
   1903.5 ms  ✓ CommonSolve
   2192.0 ms  ✓ OpenLibm_jll
   2199.7 ms  ✓ InverseFunctions
   4269.7 ms  ✓ Combinatorics
   4260.1 ms  ✓ FillArrays
   2597.4 ms  ✓ CompilerSupportLibraries_jll
   2692.7 ms  ✓ Statistics
   2695.5 ms  ✓ IterTools
   2501.2 ms  ✓ SuiteSparse_jll
   2110.0 ms  ✓ ManualMemory
   2291.8 ms  ✓ Requires
   1823.4 ms  ✓ EnumX
   1704.0 ms  ✓ SIMDTypes
   1903.8 ms  ✓ Reexport
   2985.7 ms  ✓ OrderedCollections
   1990.8 ms  ✓ CompositionsBase
   1899.6 ms  ✓ PtrArrays
   1893.9 ms  ✓ FastPower
   2311.0 ms  ✓ Mmap
   2605.5 ms  ✓ DocStringExtensions
   1907.6 ms  ✓ IfElse
   1798.8 ms  ✓ CPUTime
