nice: cannot set niceness: Permission denied
Precompiling packages...
    432.8 ms  ✓ CPUTime
    438.8 ms  ✓ Reexport
    587.9 ms  ✓ ConstructionBase
    488.3 ms  ✓ StatsAPI
    618.3 ms  ✓ IterTools
   1311.7 ms  ✓ IrrationalConstants
    465.8 ms  ✓ CommonSolve
   1066.7 ms  ✓ Combinatorics
    609.6 ms  ✓ StableTasks
    542.7 ms  ✓ StaticArraysCore
    626.9 ms  ✓ Statistics
    532.2 ms  ✓ ChunkSplitters
    448.7 ms  ✓ IfElse
    908.7 ms  ✓ SuiteSparse_jll
    726.2 ms  ✓ EnzymeCore
    489.9 ms  ✓ PtrArrays
    563.7 ms  ✓ Mmap
    486.4 ms  ✓ TaskLocalValues
    540.5 ms  ✓ ManualMemory
    563.5 ms  ✓ PositiveFactorizations
    526.7 ms  ✓ DataAPI
    488.0 ms  ✓ CommonWorldInvalidations
    781.7 ms  ✓ SciMLPublic
    497.0 ms  ✓ Future
    529.0 ms  ✓ FastPower
    648.8 ms  ✓ InverseFunctions
    567.3 ms  ✓ CompositionsBase
   4554.4 ms  ✓ MacroTools
    671.5 ms  ✓ AbstractTrees
    452.7 ms  ✓ MuladdMacro
    606.9 ms  ✓ AbstractFFTs
   2141.8 ms  ✓ ExproniconLite
    502.6 ms  ✓ EnumX
   1173.9 ms  ✓ InitialValues
    744.0 ms  ✓ OpenLibm_jll
    501.6 ms  ✓ ExprTools
    443.8 ms  ✓ ConcreteStructs
   1085.1 ms  ✓ FillArrays
    944.4 ms  ✓ SpatialIndexing
    705.6 ms  ✓ OrderedCollections
    510.5 ms  ✓ HashArrayMappedTries
    731.2 ms  ✓ ADTypes
    768.5 ms  ✓ Serialization
   1726.8 ms  ✓ Bessels
    702.4 ms  ✓ DocStringExtensions
    531.3 ms  ✓ FastClosures
    449.2 ms  ✓ SIMDTypes
    469.1 ms  ✓ IteratorInterfaceExtensions
    804.1 ms  ✓ Requires
    802.5 ms  ✓ CpuId
    699.1 ms  ✓ LoggingExtras
    660.9 ms  ✓ Compat
   2888.7 ms  ✓ FunctionWrappers
   1453.7 ms  ✓ InteractiveUtils
    460.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    491.4 ms  ✓ DiffResults
   1065.8 ms  ✓ LazyArtifacts
    556.5 ms  ✓ AliasTables
    827.0 ms  ✓ Distances
    546.2 ms  ✓ Missings
   1936.1 ms  ✓ Preferences
    469.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    592.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    630.9 ms  ✓ CommonSubexpressions
   1274.5 ms  ✓ ThreadingUtilities
    541.6 ms  ✓ NaNMath
    539.3 ms  ✓ FillArrays → FillArraysStatisticsExt
    477.6 ms  ✓ ScopedValues
    443.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    481.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1925.9 ms  ✓ Jieko
   1116.6 ms  ✓ DifferentiationInterface
   1898.1 ms  ✓ DataStructures
    510.3 ms  ✓ RuntimeGeneratedFunctions
    741.6 ms  ✓ LogExpFunctions
    653.3 ms  ✓ Adapt
    561.7 ms  ✓ Compat → CompatLinearAlgebraExt
   3519.9 ms  ✓ TimerOutputs
    506.3 ms  ✓ FunctionWrappersWrappers
   2660.2 ms  ✓ Distributed
    629.4 ms  ✓ PrecompileTools
   1365.8 ms  ✓ Setfield
    697.5 ms  ✓ JLLWrappers
    903.5 ms  ✓ SciMLLogging
    814.9 ms  ✓ TruncatedStacktraces
   4357.0 ms  ✓ SparseArrays
    601.0 ms  ✓ SortingAlgorithms
    431.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    951.4 ms  ✓ QuadGK
    679.9 ms  ✓ ArrayInterface
   2340.1 ms  ✓ Accessors
    670.8 ms  ✓ GPUArraysCore
    440.0 ms  ✓ EnzymeCore → AdaptExt
    881.0 ms  ✓ ProgressMeter
   2146.5 ms  ✓ RecipesBase
   7882.0 ms  ✓ Test
    908.4 ms  ✓ Rmath_jll
   1104.2 ms  ✓ OpenSpecFun_jll
   1631.7 ms  ✓ IntelOpenMP_jll
  10029.3 ms  ✓ Moshi
    948.9 ms  ✓ FFTW_jll
   1475.4 ms  ✓ oneTBB_jll
    702.6 ms  ✓ Statistics → SparseArraysExt
    832.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
    880.6 ms  ✓ SuiteSparse
    957.3 ms  ✓ Distances → DistancesSparseArraysExt
    930.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    908.4 ms  ✓ Adapt → AdaptSparseArraysExt
    609.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1012.6 ms  ✓ MaybeInplace
    891.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  14044.1 ms  ✓ StaticArrays
   1082.9 ms  ✓ SciMLStructures
  14510.9 ms  ✓ Parsers
    464.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    605.0 ms  ✓ Accessors → LinearAlgebraExt
   1625.7 ms  ✓ PreallocationTools
    467.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    669.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    735.3 ms  ✓ Accessors → TestExt
    862.0 ms  ✓ Rmath
   1650.5 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1460.1 ms  ✓ MKL_jll
   2519.5 ms  ✓ SpecialFunctions
    888.3 ms  ✓ PDMats
   2372.8 ms  ✓ StatsBase
    724.5 ms  ✓ FiniteDiff
    631.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    748.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    778.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    808.4 ms  ✓ FillArrays → FillArraysStaticArraysExt
    722.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    741.7 ms  ✓ Adapt → AdaptStaticArraysExt
    865.6 ms  ✓ Accessors → StaticArraysExt
   1040.3 ms  ✓ BangBang
   2008.2 ms  ✓ JSON
   1465.0 ms  ✓ SymbolicIndexingInterface
   2206.3 ms  ✓ SciMLOperators
   1344.9 ms  ✓ HypergeometricFunctions
    850.2 ms  ✓ DiffRules
   3554.1 ms  ✓ Roots
   1009.2 ms  ✓ FillArrays → FillArraysPDMatsExt
   1027.9 ms  ✓ PDMats → StatsBaseExt
   1023.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
