nice: cannot set niceness: Permission denied
Precompiling packages...
   1954.9 ms  ✓ SimpleUnPack
   2031.8 ms  ✓ ConcreteStructs
   2029.3 ms  ✓ LazyArtifacts
   2047.0 ms  ✓ MuladdMacro
   2042.7 ms  ✓ IteratorInterfaceExtensions
   2134.2 ms  ✓ StatsAPI
   2136.2 ms  ✓ ExprTools
   2335.3 ms  ✓ PositiveFactorizations
   2845.0 ms  ✓ AbstractFFTs
   3098.3 ms  ✓ ADTypes
   3819.0 ms  ✓ FunctionWrappers
   1802.3 ms  ✓ CommonSolve
   1894.6 ms  ✓ OpenLibm_jll
   4083.4 ms  ✓ Combinatorics
   4022.6 ms  ✓ InitialValues
   2195.6 ms  ✓ CompilerSupportLibraries_jll
   2303.8 ms  ✓ InverseFunctions
   2212.2 ms  ✓ SuiteSparse_jll
   4717.5 ms  ✓ FillArrays
   2798.7 ms  ✓ IterTools
   2033.0 ms  ✓ ManualMemory
   2006.4 ms  ✓ EnumX
   1894.6 ms  ✓ Reexport
   2311.1 ms  ✓ Requires
   1699.9 ms  ✓ SIMDTypes
   2505.0 ms  ✓ Compat
   2719.8 ms  ✓ OrderedCollections
   3118.7 ms  ✓ Preferences
   1830.4 ms  ✓ CompositionsBase
   2798.0 ms  ✓ DocStringExtensions
   1986.5 ms  ✓ PtrArrays
   2001.3 ms  ✓ FastPower
   4006.4 ms  ✓ SpatialIndexing
   8405.4 ms  ✓ ExproniconLite
   2202.5 ms  ✓ TaskLocalValues
   2383.7 ms  ✓ HashArrayMappedTries
   1988.4 ms  ✓ IfElse
   2312.5 ms  ✓ StableTasks
   3386.7 ms  ✓ CpuId
   2501.2 ms  ✓ ConstructionBase
   8023.4 ms  ✓ Bessels
   3209.0 ms  ✓ EnzymeCore
   2112.9 ms  ✓ CPUTime
   2010.5 ms  ✓ CommonWorldInvalidations
   5577.5 ms  ✓ IrrationalConstants
   2124.4 ms  ✓ FastClosures
   8591.9 ms  ✓ Distributed
   2499.9 ms  ✓ DataAPI
   2583.2 ms  ✓ ChunkSplitters
   2700.5 ms  ✓ SciMLPublic
   2278.1 ms  ✓ FunctionWrappersWrappers
   3707.3 ms  ✓ LoggingExtras
   3473.6 ms  ✓ StaticArraysCore
   2791.8 ms  ✓ RuntimeGeneratedFunctions
   2011.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2690.5 ms  ✓ NaNMath
   3190.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2380.2 ms  ✓ JLLWrappers
  10593.9 ms  ✓ MacroTools
   3393.8 ms  ✓ Adapt
  14233.4 ms  ✓ Test
   3811.4 ms  ✓ ThreadingUtilities
   1996.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2799.9 ms  ✓ PrecompileTools
   2219.4 ms  ✓ AliasTables
   2116.8 ms  ✓ ScopedValues
   2287.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   5186.3 ms  ✓ DifferentiationInterface
   2309.9 ms  ✓ Missings
   2304.1 ms  ✓ SciMLLogging
   3298.6 ms  ✓ LogExpFunctions
   2201.9 ms  ✓ DiffResults
   2091.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2302.3 ms  ✓ Rmath_jll
   2212.8 ms  ✓ IntelOpenMP_jll
   3593.2 ms  ✓ ProgressMeter
   2002.2 ms  ✓ TruncatedStacktraces
   2683.1 ms  ✓ OpenSpecFun_jll
   2766.7 ms  ✓ FFTW_jll
   2813.0 ms  ✓ oneTBB_jll
   2306.0 ms  ✓ CommonSubexpressions
   2395.0 ms  ✓ GPUArraysCore
   2699.5 ms  ✓ ArrayInterface
   2311.8 ms  ✓ EnzymeCore → AdaptExt
   2504.4 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2276.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2206.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9212.1 ms  ✓ DataStructures
   8101.2 ms  ✓ Jieko
   2015.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2605.5 ms  ✓ MKL_jll
   2294.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3390.9 ms  ✓ Rmath
   2095.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   5592.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1813.4 ms  ✓ SciMLStructures
   5271.1 ms  ✓ Setfield
   3720.9 ms  ✓ Static
   5820.6 ms  ✓ RecipesBase
   2218.4 ms  ✓ SortingAlgorithms
   1594.9 ms  ✓ BitTwiddlingConvenienceFunctions
   3397.7 ms  ✓ PreallocationTools
   2114.0 ms  ✓ FiniteDiff
   3220.0 ms  ✓ QuadGK
  14504.1 ms  ✓ SparseArrays
   7503.6 ms  ✓ Accessors
   3482.2 ms  ✓ CPUSummary
   2015.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4385.0 ms  ✓ StaticArrayInterface
   2206.5 ms  ✓ SuiteSparse
   2007.6 ms  ✓ Accessors → LinearAlgebraExt
   2382.3 ms  ✓ Adapt → AdaptSparseArraysExt
   2795.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2897.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2307.2 ms  ✓ PolyesterWeave
  10615.3 ms  ✓ SpecialFunctions
   3194.5 ms  ✓ Statistics
   2127.2 ms  ✓ CloseOpenIntervals
   2709.2 ms  ✓ LayoutPointers
   2587.5 ms  ✓ Accessors → TestExt
   3307.3 ms  ✓ BangBang
   3488.0 ms  ✓ PDMats
   2687.1 ms  ✓ DiffRules
   2890.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2508.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   4288.2 ms  ✓ HypergeometricFunctions
