nice: cannot set niceness: Permission denied
Precompiling packages...
   1966.5 ms  ✓ LazyArtifacts
   1983.5 ms  ✓ IteratorInterfaceExtensions
   1996.9 ms  ✓ ConcreteStructs
   2193.0 ms  ✓ MuladdMacro
   2268.5 ms  ✓ StatsAPI
   2255.6 ms  ✓ OpenLibm_jll
   2363.3 ms  ✓ ExprTools
   2497.2 ms  ✓ PositiveFactorizations
   2766.7 ms  ✓ AbstractFFTs
   3290.8 ms  ✓ ADTypes
   3685.8 ms  ✓ FunctionWrappers
   1902.0 ms  ✓ CommonSolve
   4118.0 ms  ✓ Combinatorics
   4065.0 ms  ✓ FillArrays
   2170.1 ms  ✓ CompilerSupportLibraries_jll
   4141.7 ms  ✓ InitialValues
   2308.4 ms  ✓ InverseFunctions
   2186.5 ms  ✓ SuiteSparse_jll
   2077.9 ms  ✓ SafeTestsets
   2914.9 ms  ✓ IterTools
   2496.4 ms  ✓ Compat
   2004.6 ms  ✓ Reexport
   2200.3 ms  ✓ EnumX
   3526.8 ms  ✓ Preferences
   2685.1 ms  ✓ OrderedCollections
   1906.8 ms  ✓ CompositionsBase
   2681.7 ms  ✓ Requires
   2600.0 ms  ✓ DocStringExtensions
   2696.1 ms  ✓ AbstractTrees
   1998.7 ms  ✓ PtrArrays
   7468.5 ms  ✓ Bessels
   2076.3 ms  ✓ FastPower
   3897.8 ms  ✓ SpatialIndexing
   1909.7 ms  ✓ TaskLocalValues
   2279.2 ms  ✓ StableTasks
   2402.4 ms  ✓ HashArrayMappedTries
   2507.7 ms  ✓ Inflate
   2711.9 ms  ✓ VectorInterface
   2174.6 ms  ✓ Adapt
   2497.1 ms  ✓ ConstructionBase
   2484.8 ms  ✓ DataAPI
   2131.8 ms  ✓ PackageExtensionCompat
   3124.4 ms  ✓ EnzymeCore
   7693.1 ms  ✓ Distributed
   2095.2 ms  ✓ FastClosures
   5708.5 ms  ✓ IrrationalConstants
   2399.2 ms  ✓ ChunkSplitters
