nice: cannot set niceness: Permission denied
Precompiling packages...
   1957.5 ms  ✓ LazyArtifacts
   1967.5 ms  ✓ IteratorInterfaceExtensions
   1976.0 ms  ✓ ConcreteStructs
   1977.1 ms  ✓ MuladdMacro
   2057.0 ms  ✓ StatsAPI
   2261.3 ms  ✓ ExprTools
   2368.0 ms  ✓ PositiveFactorizations
   2769.2 ms  ✓ AbstractFFTs
   3059.9 ms  ✓ ADTypes
   1689.2 ms  ✓ CommonSolve
   1801.6 ms  ✓ OpenLibm_jll
   3774.9 ms  ✓ FunctionWrappers
   4117.6 ms  ✓ Combinatorics
   1920.8 ms  ✓ CompilerSupportLibraries_jll
   4030.7 ms  ✓ InitialValues
   2151.6 ms  ✓ InverseFunctions
   4322.7 ms  ✓ FillArrays
   2383.9 ms  ✓ SuiteSparse_jll
   2798.8 ms  ✓ IterTools
   2095.9 ms  ✓ ManualMemory
   2000.5 ms  ✓ EnumX
   2216.9 ms  ✓ NaNMath
   1954.1 ms  ✓ Reexport
   1811.2 ms  ✓ SIMDTypes
   2390.6 ms  ✓ Requires
   2588.3 ms  ✓ Compat
   3302.0 ms  ✓ Preferences
   2704.3 ms  ✓ DocStringExtensions
   2695.8 ms  ✓ AbstractTrees
   1891.1 ms  ✓ CompositionsBase
   7935.2 ms  ✓ Bessels
   3917.6 ms  ✓ SpatialIndexing
   8031.2 ms  ✓ ExproniconLite
   2073.4 ms  ✓ FastPower
   2302.7 ms  ✓ PtrArrays
   2206.6 ms  ✓ HashArrayMappedTries
   2163.0 ms  ✓ TaskLocalValues
   2499.4 ms  ✓ StableTasks
   1803.3 ms  ✓ IfElse
   3355.8 ms  ✓ Adapt
   2193.7 ms  ✓ CPUTime
   2124.1 ms  ✓ FastClosures
   2303.5 ms  ✓ CommonWorldInvalidations
   8215.3 ms  ✓ Distributed
   2399.4 ms  ✓ DataAPI
   3066.0 ms  ✓ EnzymeCore
   2041.5 ms  ✓ SciMLPublic
   2701.1 ms  ✓ ConstructionBase
   2205.2 ms  ✓ ChunkSplitters
   2282.9 ms  ✓ AliasTables
   5682.0 ms  ✓ IrrationalConstants
   2112.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2993.1 ms  ✓ StaticArraysCore
   2192.0 ms  ✓ PrecompileTools
   2378.0 ms  ✓ JLLWrappers
   3400.2 ms  ✓ RuntimeGeneratedFunctions
   2695.4 ms  ✓ FunctionWrappersWrappers
  10554.6 ms  ✓ MacroTools
   3691.7 ms  ✓ OrderedCollections
   3397.3 ms  ✓ Compat → CompatLinearAlgebraExt
   3123.0 ms  ✓ LoggingExtras
  14149.4 ms  ✓ Test
   4012.4 ms  ✓ ThreadingUtilities
   3950.5 ms  ✓ CpuId
   2102.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2185.8 ms  ✓ ScopedValues
   1985.0 ms  ✓ EnzymeCore → AdaptExt
   2300.7 ms  ✓ GPUArraysCore
   5642.6 ms  ✓ DifferentiationInterface
   2047.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2407.3 ms  ✓ Missings
   1893.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2000.9 ms  ✓ DiffResults
   3521.3 ms  ✓ ProgressMeter
   2531.5 ms  ✓ ArrayInterface
   2464.7 ms  ✓ Rmath_jll
   2591.2 ms  ✓ IntelOpenMP_jll
   2487.3 ms  ✓ FFTW_jll
   2416.2 ms  ✓ OpenSpecFun_jll
   2105.6 ms  ✓ TruncatedStacktraces
   3498.5 ms  ✓ Static
   2101.2 ms  ✓ CommonSubexpressions
   3008.2 ms  ✓ oneTBB_jll
   7993.1 ms  ✓ Jieko
   2901.5 ms  ✓ SciMLLogging
   2089.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3681.4 ms  ✓ LogExpFunctions
   2502.1 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2305.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1886.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2109.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   5992.6 ms  ✓ RecipesBase
   2211.4 ms  ✓ SciMLStructures
   7783.6 ms  ✓ DataStructures
   1991.7 ms  ✓ BitTwiddlingConvenienceFunctions
   2103.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2505.1 ms  ✓ MKL_jll
   3013.4 ms  ✓ Rmath
   5628.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   5196.1 ms  ✓ Setfield
   3920.1 ms  ✓ PreallocationTools
   1906.2 ms  ✓ SortingAlgorithms
   3519.4 ms  ✓ CPUSummary
   4114.5 ms  ✓ StaticArrayInterface
  14321.7 ms  ✓ SparseArrays
   2199.0 ms  ✓ FiniteDiff
   1967.9 ms  ✓ PolyesterWeave
   3511.4 ms  ✓ QuadGK
   7719.3 ms  ✓ Accessors
   1982.9 ms  ✓ CloseOpenIntervals
   2393.9 ms  ✓ LayoutPointers
   2392.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2510.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2675.0 ms  ✓ SuiteSparse
   1704.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2725.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1787.7 ms  ✓ Accessors → LinearAlgebraExt
   3015.7 ms  ✓ Statistics
   2207.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3193.5 ms  ✓ StrideArraysCore
   2311.2 ms  ✓ Accessors → TestExt
   3417.8 ms  ✓ PDMats
   3006.6 ms  ✓ FillArrays → FillArraysStatisticsExt
  10096.4 ms  ✓ SpecialFunctions
   3414.1 ms  ✓ BangBang
   3604.0 ms  ✓ Distances
   2585.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2696.3 ms  ✓ Polyester
   5389.4 ms  ✓ SymbolicIndexingInterface
   2508.6 ms  ✓ FillArrays → FillArraysPDMatsExt
   2517.9 ms  ✓ DiffRules
   2292.6 ms  ✓ Distances → DistancesSparseArraysExt
   3417.0 ms  ✓ HypergeometricFunctions
   3578.9 ms  ✓ OhMyThreads
   7105.2 ms  ✓ SciMLOperators
   2198.6 ms  ✓ FastBroadcast
   6887.8 ms  ✓ StatsBase
   1789.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1920.6 ms  ✓ OhMyThreads → MarkdownExt
   2682.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2805.7 ms  ✓ PDMats → StatsBaseExt
   7207.8 ms  ✓ RecursiveArrayTools
  12690.7 ms  ✓ Roots
   6682.3 ms  ✓ StatsFuns
  27700.2 ms  ✓ StaticArrays
   2202.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3595.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2301.2 ms  ✓ Adapt → AdaptStaticArraysExt
   2312.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  21920.1 ms  ✓ FFTW
   2518.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3111.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  11988.5 ms  ✓ ForwardDiff
   3188.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4004.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2392.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   3296.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2754.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   2788.3 ms  ✓ Roots → RootsForwardDiffExt
   2997.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3991.1 ms  ✓ Accessors → StaticArraysExt
   3992.5 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   4983.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  30885.8 ms  ✓ Moshi
   3104.6 ms  ✓ BangBang → BangBangStaticArraysExt
   3926.4 ms  ✓ NLSolversBase
  38029.1 ms  ✓ Parsers
   1015.1 ms  ✓ LineSearches
   1271.0 ms  ✓ JSON
  13968.6 ms  ✓ Distributions
   9780.7 ms  ✓ NearestNeighbors
   1221.1 ms  ✓ Neighborhood
   1319.1 ms  ✓ Distributions → DistributionsTestExt
   3246.9 ms  ✓ Optim
   1747.8 ms  ✓ Clustering
    921.9 ms  ✓ StateSpaceSets
   3364.5 ms  ✓ BlackBoxOptim
   1418.5 ms  ✓ DelayEmbeddings
   9707.8 ms  ✓ SciMLBase
   2295.2 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2629.6 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2802.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  38770.1 ms  ✓ Polynomials
   3251.5 ms  ✓ DiffEqBase
    665.8 ms  ✓ Polynomials → PolynomialsFFTWExt
    739.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
    916.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1864.1 ms  ✓ DSP
   2256.6 ms  ✓ OrdinaryDiffEqCore
    849.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   1488.0 ms  ✓ Wavelets
   2351.1 ms  ✓ ComplexityMeasures
   3944.9 ms  ✓ OrdinaryDiffEqTsit5
   1686.6 ms  ✓ DynamicalSystemsBase
   2700.1 ms  ✓ Attractors
  195 dependencies successfully precompiled in 77 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 272.54
	System time (seconds): 36.70
	Percent of CPU this job got: 397%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:17.86
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 931984
