nice: cannot set niceness: Permission denied
Precompiling packages...
    424.2 ms  ✓ CPUTime
    433.7 ms  ✓ Reexport
    579.8 ms  ✓ ConstructionBase
    468.6 ms  ✓ StatsAPI
    617.3 ms  ✓ IterTools
   1271.0 ms  ✓ IrrationalConstants
    474.9 ms  ✓ CommonSolve
    582.9 ms  ✓ StableTasks
   1061.7 ms  ✓ Combinatorics
    548.7 ms  ✓ StaticArraysCore
    644.7 ms  ✓ Statistics
    521.6 ms  ✓ ChunkSplitters
    473.8 ms  ✓ DiffResults
    895.4 ms  ✓ SuiteSparse_jll
    713.7 ms  ✓ EnzymeCore
    475.8 ms  ✓ PtrArrays
    551.4 ms  ✓ Mmap
    463.7 ms  ✓ TaskLocalValues
    522.0 ms  ✓ ManualMemory
    550.7 ms  ✓ PositiveFactorizations
    509.4 ms  ✓ DataAPI
    465.7 ms  ✓ CommonWorldInvalidations
    759.7 ms  ✓ SciMLPublic
    492.0 ms  ✓ Future
    511.0 ms  ✓ FastPower
    657.7 ms  ✓ InverseFunctions
   4415.0 ms  ✓ MacroTools
    546.6 ms  ✓ CompositionsBase
    658.9 ms  ✓ AbstractTrees
    442.6 ms  ✓ MuladdMacro
    626.6 ms  ✓ AbstractFFTs
    494.7 ms  ✓ EnumX
   2212.0 ms  ✓ ExproniconLite
   1119.3 ms  ✓ InitialValues
    714.1 ms  ✓ OpenLibm_jll
    489.6 ms  ✓ ExprTools
    449.4 ms  ✓ ConcreteStructs
   1056.2 ms  ✓ FillArrays
    952.3 ms  ✓ SpatialIndexing
    656.8 ms  ✓ OrderedCollections
    508.2 ms  ✓ HashArrayMappedTries
    719.5 ms  ✓ ADTypes
    741.1 ms  ✓ Serialization
   1718.5 ms  ✓ Bessels
    709.6 ms  ✓ DocStringExtensions
    536.1 ms  ✓ FastClosures
    445.3 ms  ✓ SIMDTypes
    446.0 ms  ✓ IteratorInterfaceExtensions
    794.8 ms  ✓ Requires
    615.3 ms  ✓ LoggingExtras
    805.2 ms  ✓ CpuId
   2724.2 ms  ✓ FunctionWrappers
    606.6 ms  ✓ Compat
   1437.4 ms  ✓ InteractiveUtils
    468.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    469.6 ms  ✓ IfElse
    930.7 ms  ✓ LazyArtifacts
    507.9 ms  ✓ AliasTables
    520.5 ms  ✓ Missings
    800.0 ms  ✓ Distances
   1853.4 ms  ✓ Preferences
    457.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    472.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    618.0 ms  ✓ CommonSubexpressions
   1246.0 ms  ✓ ThreadingUtilities
    572.4 ms  ✓ NaNMath
    499.4 ms  ✓ FillArrays → FillArraysStatisticsExt
    481.9 ms  ✓ ScopedValues
    429.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    461.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1896.9 ms  ✓ Jieko
   1849.5 ms  ✓ DataStructures
   1133.5 ms  ✓ DifferentiationInterface
    492.1 ms  ✓ RuntimeGeneratedFunctions
    706.4 ms  ✓ LogExpFunctions
    621.4 ms  ✓ Adapt
    541.1 ms  ✓ FunctionWrappersWrappers
   3453.3 ms  ✓ TimerOutputs
    536.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2632.4 ms  ✓ Distributed
    527.8 ms  ✓ PrecompileTools
    589.1 ms  ✓ JLLWrappers
   1249.9 ms  ✓ Setfield
    640.8 ms  ✓ SciMLLogging
    560.0 ms  ✓ TruncatedStacktraces
    556.4 ms  ✓ SortingAlgorithms
   4331.7 ms  ✓ SparseArrays
    447.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    960.0 ms  ✓ QuadGK
   2281.8 ms  ✓ Accessors
    684.2 ms  ✓ ArrayInterface
    640.1 ms  ✓ GPUArraysCore
    445.4 ms  ✓ EnzymeCore → AdaptExt
    841.5 ms  ✓ ProgressMeter
   1669.3 ms  ✓ RecipesBase
   7948.6 ms  ✓ Test
    710.4 ms  ✓ Rmath_jll
    840.1 ms  ✓ OpenSpecFun_jll
   1399.4 ms  ✓ IntelOpenMP_jll
   9710.1 ms  ✓ Moshi
    741.7 ms  ✓ FFTW_jll
   1249.4 ms  ✓ oneTBB_jll
    598.5 ms  ✓ Statistics → SparseArraysExt
    712.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
    725.5 ms  ✓ SuiteSparse
    846.0 ms  ✓ Distances → DistancesSparseArraysExt
    859.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    826.8 ms  ✓ Adapt → AdaptSparseArraysExt
    683.5 ms  ✓ Accessors → LinearAlgebraExt
    595.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1004.1 ms  ✓ MaybeInplace
    822.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
  13765.7 ms  ✓ StaticArrays
    867.6 ms  ✓ SciMLStructures
  13906.4 ms  ✓ Parsers
    455.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    450.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1326.7 ms  ✓ PreallocationTools
    618.7 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    652.9 ms  ✓ Accessors → TestExt
    787.3 ms  ✓ Rmath
   1624.4 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1388.7 ms  ✓ MKL_jll
   2612.6 ms  ✓ SpecialFunctions
   1067.5 ms  ✓ PDMats
    904.6 ms  ✓ BangBang
   2812.6 ms  ✓ StatsBase
