nice: cannot set niceness: Permission denied
Precompiling packages...
    417.2 ms  ✓ CPUTime
    425.0 ms  ✓ Reexport
    558.1 ms  ✓ ConstructionBase
    461.1 ms  ✓ StatsAPI
    596.3 ms  ✓ IterTools
   1338.8 ms  ✓ IrrationalConstants
    463.3 ms  ✓ CommonSolve
    558.3 ms  ✓ StableTasks
   1050.3 ms  ✓ Combinatorics
    516.9 ms  ✓ StaticArraysCore
    615.6 ms  ✓ Statistics
    513.3 ms  ✓ ChunkSplitters
    454.5 ms  ✓ IfElse
    867.2 ms  ✓ SuiteSparse_jll
    725.6 ms  ✓ EnzymeCore
    476.6 ms  ✓ PtrArrays
    462.9 ms  ✓ TaskLocalValues
    541.9 ms  ✓ Mmap
    531.5 ms  ✓ ManualMemory
    532.1 ms  ✓ PositiveFactorizations
    507.6 ms  ✓ DataAPI
    432.9 ms  ✓ CommonWorldInvalidations
    416.0 ms  ✓ Future
    863.6 ms  ✓ SciMLPublic
    418.9 ms  ✓ FastPower
    433.6 ms  ✓ CompositionsBase
    514.2 ms  ✓ InverseFunctions
    646.1 ms  ✓ AbstractTrees
    521.6 ms  ✓ MuladdMacro
    712.7 ms  ✓ AbstractFFTs
    595.9 ms  ✓ EnumX
   2405.7 ms  ✓ ExproniconLite
   1399.9 ms  ✓ InitialValues
   5675.8 ms  ✓ MacroTools
    495.8 ms  ✓ ExprTools
    727.1 ms  ✓ OpenLibm_jll
    429.7 ms  ✓ ConcreteStructs
    911.5 ms  ✓ SpatialIndexing
   1142.1 ms  ✓ FillArrays
    670.8 ms  ✓ OrderedCollections
    478.7 ms  ✓ HashArrayMappedTries
    725.3 ms  ✓ ADTypes
   1764.0 ms  ✓ Bessels
    722.7 ms  ✓ Serialization
    692.2 ms  ✓ DocStringExtensions
    488.2 ms  ✓ FastClosures
    437.7 ms  ✓ SIMDTypes
    454.1 ms  ✓ IteratorInterfaceExtensions
    582.5 ms  ✓ LoggingExtras
    755.6 ms  ✓ Requires
    778.7 ms  ✓ CpuId
    579.2 ms  ✓ Compat
   1405.0 ms  ✓ InteractiveUtils
    878.3 ms  ✓ LazyArtifacts
    503.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    520.7 ms  ✓ DiffResults
    577.6 ms  ✓ AliasTables
   3770.0 ms  ✓ FunctionWrappers
    831.9 ms  ✓ Distances
    459.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2168.4 ms  ✓ Preferences
    557.3 ms  ✓ Missings
    471.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1220.5 ms  ✓ ThreadingUtilities
    574.6 ms  ✓ CommonSubexpressions
    577.8 ms  ✓ NaNMath
    496.9 ms  ✓ FillArrays → FillArraysStatisticsExt
    476.9 ms  ✓ ScopedValues
    432.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    434.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2054.2 ms  ✓ Jieko
   1183.7 ms  ✓ DifferentiationInterface
   1900.7 ms  ✓ DataStructures
    443.7 ms  ✓ RuntimeGeneratedFunctions
    709.7 ms  ✓ LogExpFunctions
    573.4 ms  ✓ Adapt
    553.6 ms  ✓ Compat → CompatLinearAlgebraExt
   4117.0 ms  ✓ TimerOutputs
   2819.6 ms  ✓ Distributed
    491.7 ms  ✓ FunctionWrappersWrappers
    468.1 ms  ✓ PrecompileTools
    606.7 ms  ✓ JLLWrappers
   1557.3 ms  ✓ Setfield
    621.5 ms  ✓ SciMLLogging
    532.7 ms  ✓ TruncatedStacktraces
    562.2 ms  ✓ SortingAlgorithms
   4553.9 ms  ✓ SparseArrays
    432.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    935.5 ms  ✓ QuadGK
    641.3 ms  ✓ ArrayInterface
   2533.8 ms  ✓ Accessors
