nice: cannot set niceness: Permission denied
Precompiling packages...
   1603.2 ms  ✓ Logging
   1610.8 ms  ✓ MozillaCACerts_jll
   1614.0 ms  ✓ UUIDs
   1628.8 ms  ✓ nghttp2_jll
   1707.0 ms  ✓ Unicode
   1758.0 ms  ✓ OpenSSL_jll
   1736.7 ms  ✓ Zlib_jll
   1808.3 ms  ✓ NetworkOptions
   1805.3 ms  ✓ CompilerSupportLibraries_jll
   1888.5 ms  ✓ Base64
    507.0 ms  ✓ LibSSH2_jll
    599.1 ms  ✓ p7zip_jll
    712.2 ms  ✓ Printf
    494.4 ms  ✓ LibGit2_jll
    500.9 ms  ✓ LibCURL_jll
   3217.4 ms  ✓ ArgTools
    770.9 ms  ✓ LibCURL
    647.3 ms  ✓ Tar
   3059.6 ms  ✓ Dates
   3185.6 ms  ✓ LibGit2
    474.5 ms  ✓ TOML
   3056.5 ms  ✓ Downloads
   9713.2 ms  ✓ StyledStrings
   1717.5 ms  ✓ JuliaSyntaxHighlighting
   3827.1 ms  ✓ Markdown
  47946.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2451.3 ms  ✓ IteratorInterfaceExtensions
   2465.2 ms  ✓ Future
   2573.6 ms  ✓ LaTeXStrings
   2644.0 ms  ✓ OpenLibm_jll
   2758.7 ms  ✓ ExprTools
   2764.3 ms  ✓ StatsAPI
   3059.4 ms  ✓ PositiveFactorizations
   3367.2 ms  ✓ AbstractFFTs
   3443.4 ms  ✓ InverseFunctions
   3927.6 ms  ✓ Gamma
   3962.2 ms  ✓ Serialization
   2399.6 ms  ✓ DataValueInterfaces
   2992.8 ms  ✓ SuiteSparse_jll
   3201.5 ms  ✓ IterTools
   5755.9 ms  ✓ InitialValues
   2793.3 ms  ✓ EnumX
   5856.7 ms  ✓ Combinatorics
   5864.2 ms  ✓ FillArrays
   3707.7 ms  ✓ Statistics
   2898.5 ms  ✓ Reexport
   3477.8 ms  ✓ DocStringExtensions
   3341.3 ms  ✓ AbstractTrees
   2888.9 ms  ✓ Mmap
   2602.4 ms  ✓ CompositionsBase
   2601.5 ms  ✓ TestItems
   2600.0 ms  ✓ PtrArrays
   2592.8 ms  ✓ TaskLocalValues
   3126.1 ms  ✓ HashArrayMappedTries
   3398.7 ms  ✓ StableTasks
   3085.0 ms  ✓ Inflate
   3811.0 ms  ✓ VectorInterface
  10316.9 ms  ✓ Bessels
   2508.2 ms  ✓ DataAPI
   2577.6 ms  ✓ PackageExtensionCompat
   2822.1 ms  ✓ Adapt
   4009.0 ms  ✓ EnzymeCore
  11573.7 ms  ✓ FunctionWrappers
   3318.8 ms  ✓ FastClosures
