nice: cannot set niceness: Permission denied
Precompiling packages...
   1954.8 ms  ✓ IteratorInterfaceExtensions
   1984.4 ms  ✓ OpenLibm_jll
   2047.3 ms  ✓ LazyArtifacts
   2053.4 ms  ✓ ExprTools
   2146.5 ms  ✓ MuladdMacro
   2330.8 ms  ✓ PositiveFactorizations
   2334.5 ms  ✓ StatsAPI
   2438.3 ms  ✓ ConcreteStructs
   3320.4 ms  ✓ ADTypes
   3634.7 ms  ✓ AbstractFFTs
   3800.5 ms  ✓ InitialValues
   1812.9 ms  ✓ CommonSolve
   4042.6 ms  ✓ FunctionWrappers
   4288.9 ms  ✓ Combinatorics
   2091.4 ms  ✓ CompilerSupportLibraries_jll
   2199.9 ms  ✓ InverseFunctions
   2398.6 ms  ✓ SuiteSparse_jll
   4705.3 ms  ✓ FillArrays
   2695.8 ms  ✓ IterTools
   2299.9 ms  ✓ Compat
   3289.5 ms  ✓ Preferences
   2189.0 ms  ✓ Requires
   2271.0 ms  ✓ EnumX
   2098.5 ms  ✓ Reexport
   2792.5 ms  ✓ OrderedCollections
   2607.5 ms  ✓ AbstractTrees
   2093.6 ms  ✓ PtrArrays
   3081.3 ms  ✓ DocStringExtensions
   2689.4 ms  ✓ CompositionsBase
   1816.1 ms  ✓ FastPower
   7707.0 ms  ✓ Bessels
   1832.3 ms  ✓ TaskLocalValues
   2327.7 ms  ✓ HashArrayMappedTries
   4215.1 ms  ✓ SpatialIndexing
   2607.8 ms  ✓ StableTasks
   2702.5 ms  ✓ Inflate
   2900.2 ms  ✓ VectorInterface
   2523.5 ms  ✓ ConstructionBase
   1807.0 ms  ✓ FastClosures
   2188.6 ms  ✓ PackageExtensionCompat
   2614.2 ms  ✓ Adapt
   2497.2 ms  ✓ DataAPI
   8110.7 ms  ✓ Distributed
   5713.5 ms  ✓ IrrationalConstants
   2530.0 ms  ✓ ChunkSplitters
   2198.1 ms  ✓ SciMLPublic
   2999.3 ms  ✓ LoggingExtras
   4399.9 ms  ✓ EnzymeCore
   2826.4 ms  ✓ NaNMath
   3318.2 ms  ✓ StaticArraysCore
   2996.9 ms  ✓ RuntimeGeneratedFunctions
   2286.7 ms  ✓ Compat → CompatLinearAlgebraExt
  10117.2 ms  ✓ MacroTools
  12623.0 ms  ✓ Test
   2990.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2720.5 ms  ✓ JLLWrappers
   2709.0 ms  ✓ PrecompileTools
   2903.3 ms  ✓ AliasTables
   2412.3 ms  ✓ ScopedValues
   1996.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2975.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2095.3 ms  ✓ GPUArraysCore
   2507.9 ms  ✓ ArrayInterface
   2123.7 ms  ✓ Missings
   3488.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5924.9 ms  ✓ DifferentiationInterface
   2401.5 ms  ✓ EnzymeCore → AdaptExt
   2702.7 ms  ✓ SciMLLogging
   3318.0 ms  ✓ ProgressMeter
   3074.7 ms  ✓ LogExpFunctions
   2183.1 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   2119.7 ms  ✓ DiffResults
   2593.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2691.7 ms  ✓ TruncatedStacktraces
   8069.8 ms  ✓ TimerOutputs
   2905.6 ms  ✓ CommonSubexpressions
   2590.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   7772.3 ms  ✓ DataStructures
