nice: cannot set niceness: Permission denied
Precompiling packages...
    444.0 ms  ✓ Reexport
    473.8 ms  ✓ StatsAPI
    592.6 ms  ✓ ConstructionBase
    450.5 ms  ✓ CommonSolve
    635.5 ms  ✓ IterTools
   1280.8 ms  ✓ IrrationalConstants
   1068.5 ms  ✓ Combinatorics
    600.6 ms  ✓ StableTasks
    678.5 ms  ✓ Statistics
    560.8 ms  ✓ StaticArraysCore
    534.3 ms  ✓ ChunkSplitters
    449.1 ms  ✓ IfElse
    917.4 ms  ✓ SuiteSparse_jll
    733.5 ms  ✓ EnzymeCore
    501.9 ms  ✓ PtrArrays
    561.3 ms  ✓ Mmap
    485.2 ms  ✓ TaskLocalValues
    552.2 ms  ✓ ManualMemory
    569.5 ms  ✓ PositiveFactorizations
    499.7 ms  ✓ DataAPI
    769.2 ms  ✓ SciMLPublic
    481.9 ms  ✓ CommonWorldInvalidations
    490.6 ms  ✓ Future
    527.9 ms  ✓ FastPower
   4342.9 ms  ✓ MacroTools
    632.3 ms  ✓ InverseFunctions
    543.9 ms  ✓ CompositionsBase
    459.7 ms  ✓ MuladdMacro
    630.5 ms  ✓ AbstractTrees
    611.5 ms  ✓ AbstractFFTs
   2119.7 ms  ✓ ExproniconLite
    518.0 ms  ✓ EnumX
   1117.9 ms  ✓ InitialValues
    748.4 ms  ✓ OpenLibm_jll
    502.4 ms  ✓ ExprTools
    434.1 ms  ✓ ConcreteStructs
   1083.1 ms  ✓ FillArrays
    951.4 ms  ✓ SpatialIndexing
    712.1 ms  ✓ OrderedCollections
    534.4 ms  ✓ HashArrayMappedTries
    751.6 ms  ✓ ADTypes
    760.6 ms  ✓ Serialization
   1774.5 ms  ✓ Bessels
    698.9 ms  ✓ DocStringExtensions
    517.2 ms  ✓ FastClosures
    458.5 ms  ✓ SIMDTypes
    450.3 ms  ✓ IteratorInterfaceExtensions
    816.4 ms  ✓ Requires
    792.0 ms  ✓ CpuId
    691.7 ms  ✓ LoggingExtras
    623.0 ms  ✓ Compat
   2721.7 ms  ✓ FunctionWrappers
   1467.6 ms  ✓ InteractiveUtils
    465.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1013.8 ms  ✓ LazyArtifacts
    507.4 ms  ✓ DiffResults
    805.3 ms  ✓ Distances
    548.1 ms  ✓ AliasTables
    540.4 ms  ✓ Missings
    652.0 ms  ✓ CommonSubexpressions
   1927.3 ms  ✓ Preferences
    654.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1164.5 ms  ✓ ThreadingUtilities
    535.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    581.4 ms  ✓ NaNMath
    512.3 ms  ✓ FillArrays → FillArraysStatisticsExt
    497.0 ms  ✓ ScopedValues
    428.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    466.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1938.2 ms  ✓ Jieko
   1131.0 ms  ✓ DifferentiationInterface
   1900.2 ms  ✓ DataStructures
    538.2 ms  ✓ RuntimeGeneratedFunctions
    724.7 ms  ✓ LogExpFunctions
    625.0 ms  ✓ Adapt
    572.0 ms  ✓ Compat → CompatLinearAlgebraExt
   3487.7 ms  ✓ TimerOutputs
    502.1 ms  ✓ FunctionWrappersWrappers
   2659.5 ms  ✓ Distributed
    619.0 ms  ✓ PrecompileTools
   1267.4 ms  ✓ Setfield
    706.8 ms  ✓ JLLWrappers
    888.0 ms  ✓ SciMLLogging
    800.3 ms  ✓ TruncatedStacktraces
    583.2 ms  ✓ SortingAlgorithms
   4396.8 ms  ✓ SparseArrays
    458.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1004.1 ms  ✓ QuadGK
   2348.5 ms  ✓ Accessors
    661.4 ms  ✓ ArrayInterface
    440.9 ms  ✓ EnzymeCore → AdaptExt
    614.1 ms  ✓ GPUArraysCore
    873.7 ms  ✓ ProgressMeter
   2156.9 ms  ✓ RecipesBase
   1095.5 ms  ✓ Rmath_jll
   7931.3 ms  ✓ Test
    937.4 ms  ✓ OpenSpecFun_jll
   1402.9 ms  ✓ IntelOpenMP_jll
   1670.4 ms  ✓ oneTBB_jll
   1190.1 ms  ✓ FFTW_jll
    804.5 ms  ✓ Statistics → SparseArraysExt
    892.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
    770.3 ms  ✓ SuiteSparse
  10050.5 ms  ✓ Moshi
    723.4 ms  ✓ Distances → DistancesSparseArraysExt
    659.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    631.0 ms  ✓ Adapt → AdaptSparseArraysExt
    411.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    599.9 ms  ✓ Accessors → LinearAlgebraExt
    784.9 ms  ✓ MaybeInplace
    682.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1073.5 ms  ✓ SciMLStructures
    531.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1775.4 ms  ✓ PreallocationTools
    580.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1043.3 ms  ✓ Rmath
    732.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
    893.4 ms  ✓ Accessors → TestExt
  13525.5 ms  ✓ StaticArrays
   1761.8 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   1395.6 ms  ✓ MKL_jll
    874.3 ms  ✓ PDMats
   2620.7 ms  ✓ SpecialFunctions
   2351.2 ms  ✓ StatsBase
    719.3 ms  ✓ FiniteDiff
    888.9 ms  ✓ BangBang
   1128.1 ms  ✓ SymbolicIndexingInterface
   1733.8 ms  ✓ SciMLOperators
    752.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    908.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3194.5 ms  ✓ Roots
    986.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1059.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
    885.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    845.9 ms  ✓ Adapt → AdaptStaticArraysExt
    896.4 ms  ✓ Accessors → StaticArraysExt
    870.0 ms  ✓ FillArrays → FillArraysPDMatsExt
    791.1 ms  ✓ DiffRules
   1352.6 ms  ✓ HypergeometricFunctions
    893.4 ms  ✓ PDMats → StatsBaseExt
    964.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    928.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    795.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1090.4 ms  ✓ BangBang → BangBangStaticArraysExt
   1506.5 ms  ✓ OhMyThreads
    870.9 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1105.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  28079.4 ms  ✓ Static
  23645.8 ms  ✓ Polynomials
   6395.5 ms  ✓ RecursiveArrayTools
    810.6 ms  ✓ OhMyThreads → MarkdownExt
    919.6 ms  ✓ BitTwiddlingConvenienceFunctions
   5128.3 ms  ✓ ForwardDiff
   2506.6 ms  ✓ StatsFuns
   6734.2 ms  ✓ NearestNeighbors
  14200.8 ms  ✓ FFTW
