Precompiling Pkg...
   1003.4 ms  ✓ MozillaCACerts_jll
   1008.5 ms  ✓ Logging
   1107.7 ms  ✓ p7zip_jll
   1120.4 ms  ✓ UUIDs
   1116.6 ms  ✓ Unicode
   1120.2 ms  ✓ Zlib_jll
   1142.8 ms  ✓ nghttp2_jll
   1192.3 ms  ✓ MbedTLS_jll
   1261.6 ms  ✓ NetworkOptions
   1221.1 ms  ✓ Base64
    319.8 ms  ✓ LibSSH2_jll
    437.3 ms  ✓ Printf
    394.5 ms  ✓ LibGit2_jll
    393.3 ms  ✓ LibCURL_jll
   2115.7 ms  ✓ ArgTools
    596.1 ms  ✓ LibCURL
    551.5 ms  ✓ Tar
   2281.4 ms  ✓ Dates
   2850.4 ms  ✓ Markdown
   2293.2 ms  ✓ LibGit2
    458.7 ms  ✓ TOML
   2819.0 ms  ✓ Downloads
  39466.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1715.4 ms  ✓ IteratorInterfaceExtensions
   1788.3 ms  ✓ UnPack
   1808.6 ms  ✓ ConcreteStructs
   1815.4 ms  ✓ SimpleUnPack
   1817.2 ms  ✓ MuladdMacro
   1904.4 ms  ✓ Future
   2105.4 ms  ✓ StatsAPI
   2515.3 ms  ✓ ExprTools
   2601.9 ms  ✓ PositiveFactorizations
   2809.9 ms  ✓ AbstractFFTs
   3006.0 ms  ✓ ADTypes
   3396.6 ms  ✓ Serialization
   1705.8 ms  ✓ CommonSolve
   3523.9 ms  ✓ FunctionWrappers
   1909.0 ms  ✓ OpenLibm_jll
   2207.7 ms  ✓ InverseFunctions
   2203.3 ms  ✓ CompilerSupportLibraries_jll
   4126.5 ms  ✓ Combinatorics
   4303.0 ms  ✓ FillArrays
   2591.9 ms  ✓ Statistics
   2396.0 ms  ✓ IterTools
   2389.8 ms  ✓ SuiteSparse_jll
   2129.7 ms  ✓ ManualMemory
   1828.2 ms  ✓ Reexport
   1600.0 ms  ✓ SIMDTypes
   2102.6 ms  ✓ EnumX
   2795.8 ms  ✓ OrderedCollections
   2585.8 ms  ✓ Requires
   1798.2 ms  ✓ CompositionsBase
   1992.8 ms  ✓ Mmap
   1896.1 ms  ✓ PtrArrays
   1702.9 ms  ✓ FastPower
   2991.9 ms  ✓ DocStringExtensions
   1961.3 ms  ✓ IfElse
   1878.4 ms  ✓ CPUTime
   1792.9 ms  ✓ CommonWorldInvalidations
   2899.1 ms  ✓ EnzymeCore
   2296.5 ms  ✓ ConstructionBase
   1916.8 ms  ✓ DataAPI
   1797.8 ms  ✓ FastClosures
   4588.6 ms  ✓ SpatialIndexing
   8695.3 ms  ✓ ExproniconLite
   2623.3 ms  ✓ StaticArraysCore
   7300.0 ms  ✓ Bessels
   5088.8 ms  ✓ IrrationalConstants
   2899.2 ms  ✓ CpuId
   2096.6 ms  ✓ RuntimeGeneratedFunctions
   2094.2 ms  ✓ FunctionWrappersWrappers
   2301.9 ms  ✓ NaNMath
   2812.6 ms  ✓ Compat
   3303.2 ms  ✓ Preferences
   2793.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2161.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   3309.1 ms  ✓ Distances
   2001.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2103.3 ms  ✓ Parameters
   4803.9 ms  ✓ DifferentiationInterface
   2409.5 ms  ✓ Adapt
   5093.6 ms  ✓ LazyArtifacts
   2322.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2296.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
