nice: cannot set niceness: Permission denied
Precompiling packages...
    417.3 ms  ✓ Reexport
    439.2 ms  ✓ BayesHistogram
    454.9 ms  ✓ DataAPI
    600.3 ms  ✓ Statistics
    453.2 ms  ✓ UnPack
    555.8 ms  ✓ ConstructionBase
    417.8 ms  ✓ DataValueInterfaces
    486.6 ms  ✓ StaticArraysCore
    454.1 ms  ✓ StatsAPI
   1321.8 ms  ✓ IrrationalConstants
    924.6 ms  ✓ SuiteSparse_jll
    716.5 ms  ✓ URIs
    695.7 ms  ✓ OrderedCollections
    506.7 ms  ✓ LorentzVectors
    530.0 ms  ✓ InverseFunctions
    458.6 ms  ✓ CompositionsBase
    683.6 ms  ✓ Calculus
    478.2 ms  ✓ BitFlags
    662.4 ms  ✓ Serialization
    592.6 ms  ✓ DocStringExtensions
    597.4 ms  ✓ IterTools
    471.2 ms  ✓ Unicode
    608.6 ms  ✓ AbstractTrees
    583.3 ms  ✓ LRUCache
    470.6 ms  ✓ PtrArrays
    563.0 ms  ✓ Mmap
    750.2 ms  ✓ TranscodingStreams
    548.4 ms  ✓ SimpleBufferStream
    504.1 ms  ✓ IteratorInterfaceExtensions
[0KWARNING: Imported binding GMP.ispos was undeclared at import time during import to BitIntegers.
    570.4 ms  ✓ LaTeXStrings
   4937.4 ms  ✓ MacroTools
    757.0 ms  ✓ BitIntegers
    566.7 ms  ✓ Missings
    436.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    666.8 ms  ✓ ArraysOfArrays
    513.5 ms  ✓ Parameters
   1466.1 ms  ✓ InteractiveUtils
    422.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2028.6 ms  ✓ Crayons
    838.3 ms  ✓ ConcurrentUtilities
    691.7 ms  ✓ LogExpFunctions
    637.3 ms  ✓ Measurements
   1734.9 ms  ✓ DataStructures
    528.2 ms  ✓ LoggingExtras
    445.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    391.0 ms  ✓ LRUCache → SerializationExt
   1868.6 ms  ✓ SentinelArrays
    547.9 ms  ✓ AliasTables
    497.1 ms  ✓ CodecZlib
   1690.2 ms  ✓ Preferences
    978.8 ms  ✓ CodecZstd
    465.7 ms  ✓ TableTraits
   2258.3 ms  ✓ OpenSSL
    583.9 ms  ✓ Mixers
   3927.9 ms  ✓ SparseArrays
    523.3 ms  ✓ Memoization
    462.2 ms  ✓ ArraysOfArrays → ArraysOfArraysStaticArraysCoreExt
    407.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    540.9 ms  ✓ SortingAlgorithms
