nice: cannot set niceness: Permission denied
Precompiling packages...
   1554.3 ms  ✓ OpenSSL_jll
   1522.1 ms  ✓ MozillaCACerts_jll
   1613.2 ms  ✓ Unicode
   1629.7 ms  ✓ UUIDs
   1692.8 ms  ✓ Zlib_jll
   1730.3 ms  ✓ Logging
   1797.8 ms  ✓ CompilerSupportLibraries_jll
   1811.7 ms  ✓ nghttp2_jll
   1835.7 ms  ✓ NetworkOptions
   1894.8 ms  ✓ Base64
    634.6 ms  ✓ LibSSH2_jll
    601.5 ms  ✓ p7zip_jll
    801.1 ms  ✓ Printf
    512.1 ms  ✓ LibGit2_jll
    509.2 ms  ✓ LibCURL_jll
   3229.2 ms  ✓ ArgTools
    771.2 ms  ✓ LibCURL
    631.7 ms  ✓ Tar
   2938.3 ms  ✓ Dates
   3042.6 ms  ✓ LibGit2
    437.9 ms  ✓ TOML
   2974.8 ms  ✓ Downloads
   9244.9 ms  ✓ StyledStrings
   1653.2 ms  ✓ JuliaSyntaxHighlighting
   3723.9 ms  ✓ Markdown
  46193.7 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2344.8 ms  ✓ IteratorInterfaceExtensions
   2592.6 ms  ✓ RangeArrays
   2594.1 ms  ✓ PolygonOps
   2680.0 ms  ✓ IndirectArrays
   2677.3 ms  ✓ TensorCore
   2681.8 ms  ✓ LaTeXStrings
   2688.0 ms  ✓ StatsAPI
   2693.4 ms  ✓ Contour
   2975.6 ms  ✓ TriplotBase
   3487.4 ms  ✓ AbstractFFTs
   4267.1 ms  ✓ Serialization
   2432.9 ms  ✓ OpenLibm_jll
   5473.3 ms  ✓ FillArrays
   2809.9 ms  ✓ SuiteSparse_jll
   3191.9 ms  ✓ InverseFunctions
   3296.5 ms  ✓ Statistics
   3307.2 ms  ✓ IterTools
   6071.6 ms  ✓ OffsetArrays
   2690.6 ms  ✓ DataValueInterfaces
   2766.9 ms  ✓ EnumX
   2484.1 ms  ✓ Reexport
   7975.8 ms  ✓ Format
   4699.0 ms  ✓ Requires
   2798.8 ms  ✓ StableRNGs
   3096.7 ms  ✓ IntervalSets
   3467.9 ms  ✓ DocStringExtensions
   9281.1 ms  ✓ CEnum
   3486.5 ms  ✓ AbstractTrees
   2997.7 ms  ✓ RoundingEmulator
   2845.3 ms  ✓ Mmap
   2587.5 ms  ✓ PtrArrays
   2688.2 ms  ✓ PCRE2_jll
   3000.8 ms  ✓ Extents
   3692.5 ms  ✓ TranscodingStreams
   2807.5 ms  ✓ Inflate
   9192.0 ms  ✓ Observables
   2616.8 ms  ✓ DataAPI
   2492.5 ms  ✓ CRC32c
  10384.5 ms  ✓ OrderedCollections
   2895.7 ms  ✓ StaticArraysCore
   3015.3 ms  ✓ MappedArrays
  11903.9 ms  ✓ Grisu
   2600.6 ms  ✓ Scratch
   2188.4 ms  ✓ TableTraits
   7116.1 ms  ✓ AdaptivePredicates
   3887.1 ms  ✓ Preferences
   8837.6 ms  ✓ LazyModules
   5605.0 ms  ✓ LazyArtifacts
   9319.7 ms  ✓ ConstructionBase
   2684.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  13959.6 ms  ✓ IrrationalConstants
   2701.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2690.5 ms  ✓ StackViews
   7970.5 ms  ✓ PkgVersion
   2708.3 ms  ✓ Ratios
   3595.5 ms  ✓ PaddedViews
  20010.3 ms  ✓ MacroTools
  12192.3 ms  ✓ StructUtils
  11093.9 ms  ✓ Compat
  24049.9 ms  ✓ BaseDirs
   4245.4 ms  ✓ Adapt
   2988.7 ms  ✓ AliasTables
   3246.2 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3312.7 ms  ✓ IntervalSets → IntervalSetsRandomExt
  10648.5 ms  ✓ NaNMath
   2410.5 ms  ✓ Showoff
  14013.3 ms  ✓ InteractiveUtils
   2967.9 ms  ✓ RelocatableFolders
   2494.3 ms  ✓ PrecompileTools
   3187.0 ms  ✓ JLLWrappers
   2390.5 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2439.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2650.9 ms  ✓ MosaicViews
   3406.3 ms  ✓ LogExpFunctions
   2505.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2736.4 ms  ✓ Compat → CompatLinearAlgebraExt
   9387.5 ms  ✓ Missings
   4609.3 ms  ✓ AxisArrays
  17496.8 ms  ✓ Distributed
   9550.5 ms  ✓ DataStructures
   4589.9 ms  ✓ SimpleTraits
  11046.3 ms  ✓ Tables
   3597.9 ms  ✓ Graphite2_jll
  19106.4 ms  ✓ FixedPointNumbers
   3794.7 ms  ✓ Libmount_jll
   3887.5 ms  ✓ LLVMOpenMP_jll
   3829.6 ms  ✓ Bzip2_jll
  11395.3 ms  ✓ ComputePipeline
   4396.0 ms  ✓ Rmath_jll
   3602.4 ms  ✓ Xorg_libXau_jll
   3518.8 ms  ✓ libpng_jll
   3897.8 ms  ✓ libfdk_aac_jll
   3787.7 ms  ✓ LAME_jll
   4202.6 ms  ✓ Imath_jll
   4200.1 ms  ✓ Giflib_jll
   3589.2 ms  ✓ LERC_jll
  21402.3 ms  ✓ FileIO
   3582.2 ms  ✓ EarCut_jll
   6802.2 ms  ✓ IntelOpenMP_jll
   3997.4 ms  ✓ CRlibm_jll
   4596.5 ms  ✓ XZ_jll
   4585.2 ms  ✓ Ogg_jll
   5294.5 ms  ✓ JpegTurbo_jll
  28798.1 ms  ✓ SparseArrays
   3604.5 ms  ✓ Xorg_libXdmcp_jll
   3509.3 ms  ✓ x265_jll
   3718.6 ms  ✓ x264_jll
   3997.0 ms  ✓ libaom_jll
   4089.1 ms  ✓ Zstd_jll
   7212.8 ms  ✓ oneTBB_jll
   3808.6 ms  ✓ Expat_jll
   3500.7 ms  ✓ Xorg_xtrans_jll
   3806.3 ms  ✓ LZO_jll
   3905.1 ms  ✓ Opus_jll
   3807.5 ms  ✓ Libiconv_jll
   3582.3 ms  ✓ Libffi_jll
   3490.9 ms  ✓ isoband_jll
   3594.3 ms  ✓ Libuuid_jll
   3596.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3699.4 ms  ✓ FriBidi_jll
   5401.9 ms  ✓ FFTW_jll
   5311.3 ms  ✓ OpenSpecFun_jll
   4396.8 ms  ✓ OpenBLASConsistentFPCSR_jll
   4066.1 ms  ✓ SharedArrays
  25803.3 ms  ✓ Test
   4899.4 ms  ✓ ProgressMeter
   5897.5 ms  ✓ FilePathsBase
   3898.2 ms  ✓ SortingAlgorithms
   2897.1 ms  ✓ StructUtils → StructUtilsTablesExt
   2505.4 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   3725.5 ms  ✓ Pixman_jll
   3605.3 ms  ✓ FreeType2_jll
   3909.0 ms  ✓ Rmath
   3404.0 ms  ✓ CRlibm
   3798.2 ms  ✓ libsixel_jll
   4699.4 ms  ✓ OpenEXR_jll
   4497.2 ms  ✓ libvorbis_jll
   3420.2 ms  ✓ WoodburyMatrices
   3302.8 ms  ✓ SuiteSparse
   3306.3 ms  ✓ Statistics → SparseArraysExt
   3483.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
  13292.1 ms  ✓ ChainRulesCore
   3202.2 ms  ✓ Adapt → AdaptSparseArraysExt
  10700.4 ms  ✓ QuadGK
  11606.3 ms  ✓ StructArrays
   4202.8 ms  ✓ Libtiff_jll
   2384.3 ms  ✓ Isoband
   4348.5 ms  ✓ GettextRuntime_jll
   2416.3 ms  ✓ SignedDistanceFields
   3606.5 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  14276.9 ms  ✓ ColorTypes
   3295.4 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   7085.9 ms  ✓ MKL_jll
   4002.5 ms  ✓ FilePaths
   4636.7 ms  ✓ FreeType
   3206.8 ms  ✓ AxisAlgorithms
   4997.2 ms  ✓ Fontconfig_jll
  11294.8 ms  ✓ Xorg_libxcb_jll
   8508.2 ms  ✓ AbstractFFTs → AbstractFFTsTestExt
   7708.7 ms  ✓ FilePathsBase → FilePathsBaseTestExt
   2610.0 ms  ✓ AbstractFFTs → AbstractFFTsChainRulesCoreExt
   5407.5 ms  ✓ PDMats
   3585.0 ms  ✓ StructArrays → StructArraysAdaptExt
   3191.8 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   4200.3 ms  ✓ StructArrays → StructArraysSparseArraysExt
   3195.1 ms  ✓ ColorTypes → StyledStringsExt
  46901.9 ms  ✓ StaticArrays
  14468.0 ms  ✓ SpecialFunctions
   9301.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   6095.2 ms  ✓ Glib_jll
   8191.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3918.0 ms  ✓ Xorg_libX11_jll
   4197.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   6805.4 ms  ✓ FillArrays → FillArraysPDMatsExt
  17097.4 ms  ✓ StatsBase
   8007.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   7526.4 ms  ✓ Adapt → AdaptStaticArraysExt
   9151.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   9899.8 ms  ✓ QOI
   4291.1 ms  ✓ Xorg_libXext_jll
  17989.6 ms  ✓ ColorVectorSpace
  61297.6 ms  ✓ SIMD
   6171.8 ms  ✓ PDMats → StatsBaseExt
  26107.3 ms  ✓ IntervalArithmetic
   7396.8 ms  ✓ Xorg_libXrender_jll
   3100.7 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   8508.0 ms  ✓ HypergeometricFunctions
  64194.3 ms  ✓ Parsers
  12116.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   2694.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   3588.5 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   5896.3 ms  ✓ Libglvnd_jll
  13302.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3303.7 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4501.5 ms  ✓ Cairo_jll
  24427.4 ms  ✓ Colors
   5092.3 ms  ✓ libwebp_jll
