nice: cannot set niceness: Permission denied
Precompiling packages...
   1947.8 ms  ✓ StatsAPI
   1961.2 ms  ✓ LaTeXStrings
   2106.7 ms  ✓ RangeArrays
   2025.1 ms  ✓ IteratorInterfaceExtensions
   2032.9 ms  ✓ MuladdMacro
   2024.2 ms  ✓ TriplotBase
   2054.4 ms  ✓ IndirectArrays
   2152.6 ms  ✓ PolygonOps
   2153.8 ms  ✓ Contour
   2246.8 ms  ✓ CEnum
   2853.6 ms  ✓ AbstractFFTs
   2940.1 ms  ✓ TensorCore
   1981.4 ms  ✓ IntegerMathUtils
   2068.3 ms  ✓ OpenLibm_jll
   2213.1 ms  ✓ CompilerSupportLibraries_jll
   2424.8 ms  ✓ InverseFunctions
   2397.4 ms  ✓ SuiteSparse_jll
   4621.3 ms  ✓ OffsetArrays
   4611.2 ms  ✓ FillArrays
   2803.3 ms  ✓ IterTools
   2898.7 ms  ✓ StructUtils
   2770.5 ms  ✓ PkgVersion
   5114.3 ms  ✓ Format
   2799.1 ms  ✓ Compat
   3303.4 ms  ✓ Preferences
   1811.4 ms  ✓ DataValueInterfaces
   2209.3 ms  ✓ Requires
   1986.1 ms  ✓ EnumX
   2518.7 ms  ✓ Observables
   2008.7 ms  ✓ StableRNGs
   2717.1 ms  ✓ OrderedCollections
   1892.7 ms  ✓ Zlib_jll
   2203.9 ms  ✓ StackViews
   2820.6 ms  ✓ AbstractTrees
   2832.9 ms  ✓ DocStringExtensions
   1896.8 ms  ✓ PtrArrays
   2611.4 ms  ✓ IntervalSets
   1882.3 ms  ✓ PCRE2_jll
   2290.5 ms  ✓ RoundingEmulator
   2489.8 ms  ✓ LazyModules
   2490.6 ms  ✓ Inflate
   2407.5 ms  ✓ ConstructionBase
   2799.6 ms  ✓ TranscodingStreams
   2030.5 ms  ✓ DataAPI
   2292.6 ms  ✓ Adapt
   8497.5 ms  ✓ Distributed
   5504.1 ms  ✓ IrrationalConstants
   2389.7 ms  ✓ Scratch
   2292.3 ms  ✓ TableTraits
   3300.6 ms  ✓ StaticArraysCore
   2594.8 ms  ✓ NaNMath
   2601.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2812.0 ms  ✓ Primes
   5702.1 ms  ✓ UnicodeFun
   3809.7 ms  ✓ MappedArrays
  10271.7 ms  ✓ MacroTools
   2596.8 ms  ✓ PaddedViews
   2092.8 ms  ✓ Reexport
  12752.6 ms  ✓ BaseDirs
   2315.8 ms  ✓ Compat → CompatLinearAlgebraExt
   6499.5 ms  ✓ AdaptivePredicates
   2777.4 ms  ✓ JLLWrappers
   2105.8 ms  ✓ PrecompileTools
   2219.3 ms  ✓ Ratios
   1801.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2204.4 ms  ✓ AliasTables
   1907.9 ms  ✓ MosaicViews
   1910.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1876.5 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2876.4 ms  ✓ ComputePipeline
   1806.1 ms  ✓ RelocatableFolders
   2863.6 ms  ✓ SharedArrays
   1768.6 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3433.4 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2634.1 ms  ✓ LogExpFunctions
   3104.0 ms  ✓ ProgressMeter
   2092.3 ms  ✓ Missings
   3507.8 ms  ✓ Tables
   3387.8 ms  ✓ SimpleTraits
   2495.7 ms  ✓ OpenSSL_jll
   3403.2 ms  ✓ FilePathsBase
   2104.0 ms  ✓ Libmount_jll
   2426.2 ms  ✓ Graphite2_jll
   2498.3 ms  ✓ CoreMath_jll
   2389.9 ms  ✓ LLVMOpenMP_jll
   2596.6 ms  ✓ Bzip2_jll
   4397.6 ms  ✓ FFTA
   7073.7 ms  ✓ DataStructures
   2496.8 ms  ✓ Xorg_libpciaccess_jll
   2691.5 ms  ✓ Rmath_jll
   2499.0 ms  ✓ Xorg_libXau_jll
   2322.2 ms  ✓ libfdk_aac_jll
   2509.6 ms  ✓ libpng_jll
   5727.6 ms  ✓ ChainRulesCore
   2562.0 ms  ✓ Imath_jll
   2402.8 ms  ✓ LAME_jll
   2194.3 ms  ✓ LERC_jll
   2692.3 ms  ✓ Giflib_jll
   2497.6 ms  ✓ EarCut_jll
   2694.6 ms  ✓ CRlibm_jll
   2301.0 ms  ✓ Xorg_libXdmcp_jll
   3624.3 ms  ✓ JpegTurbo_jll
   3687.6 ms  ✓ XZ_jll
   2780.9 ms  ✓ Ogg_jll
   2296.4 ms  ✓ Expat_jll
   2597.9 ms  ✓ libaom_jll
   2801.6 ms  ✓ x265_jll
   2902.8 ms  ✓ x264_jll
  13796.8 ms  ✓ SparseArrays
  11806.1 ms  ✓ FileIO
   3103.0 ms  ✓ Zstd_jll
   3015.3 ms  ✓ Opus_jll
   3200.1 ms  ✓ Xorg_xtrans_jll
   2893.5 ms  ✓ Libffi_jll
   3278.0 ms  ✓ Libiconv_jll
   2476.2 ms  ✓ isoband_jll
   2599.4 ms  ✓ FriBidi_jll
   2419.4 ms  ✓ OpenSpecFun_jll
   2692.7 ms  ✓ Libuuid_jll
   2584.8 ms  ✓ OpenBLASConsistentFPCSR_jll
   2095.5 ms  ✓ StructUtils → StructUtilsTablesExt
   2412.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1997.6 ms  ✓ CoreMath
   2304.1 ms  ✓ FilePathsBase → FilePathsBaseMmapExt
   3465.0 ms  ✓ AxisArrays
   2218.0 ms  ✓ Pixman_jll
   2208.7 ms  ✓ SortingAlgorithms
   3605.6 ms  ✓ StructArrays
   2420.6 ms  ✓ FreeType2_jll
   2421.6 ms  ✓ libdrm_jll
