Precompiling Pkg...
    956.4 ms  ✓ Logging
    955.4 ms  ✓ MozillaCACerts_jll
   1063.7 ms  ✓ UUIDs
   1066.3 ms  ✓ MbedTLS_jll
   1081.5 ms  ✓ Unicode
   1147.0 ms  ✓ nghttp2_jll
   1150.1 ms  ✓ Zlib_jll
   1209.0 ms  ✓ NetworkOptions
   1178.4 ms  ✓ p7zip_jll
   1214.0 ms  ✓ Base64
    399.5 ms  ✓ LibSSH2_jll
    492.9 ms  ✓ Printf
    421.4 ms  ✓ LibGit2_jll
    419.9 ms  ✓ LibCURL_jll
   1974.8 ms  ✓ ArgTools
    564.3 ms  ✓ LibCURL
    542.9 ms  ✓ Tar
   2295.3 ms  ✓ Dates
   2882.3 ms  ✓ Markdown
   2273.6 ms  ✓ LibGit2
    449.9 ms  ✓ TOML
   2875.3 ms  ✓ Downloads
  38471.2 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1936.7 ms  ✓ IteratorInterfaceExtensions
   2027.8 ms  ✓ RangeArrays
   2027.8 ms  ✓ IndirectArrays
   2032.0 ms  ✓ PolygonOps
   2033.4 ms  ✓ CEnum
   2119.9 ms  ✓ LaTeXStrings
   2214.8 ms  ✓ GeoFormatTypes
   2412.8 ms  ✓ TriplotBase
   2429.2 ms  ✓ StatsAPI
   2611.6 ms  ✓ TensorCore
   2620.7 ms  ✓ Contour
   3033.6 ms  ✓ AbstractFFTs
   3310.6 ms  ✓ Serialization
   2197.8 ms  ✓ OpenLibm_jll
   2395.3 ms  ✓ InverseFunctions
   2412.2 ms  ✓ SuiteSparse_jll
   2785.9 ms  ✓ CompilerSupportLibraries_jll
   1798.0 ms  ✓ DataValueInterfaces
   2986.8 ms  ✓ Statistics
   2506.9 ms  ✓ Observables
   2592.4 ms  ✓ Requires
   5299.4 ms  ✓ FillArrays
   2002.5 ms  ✓ EnumX
   2899.2 ms  ✓ OrderedCollections
   3382.4 ms  ✓ IterTools
   5528.6 ms  ✓ OffsetArrays
   6024.0 ms  ✓ Format
   1898.3 ms  ✓ Reexport
   4209.7 ms  ✓ Grisu
   2697.5 ms  ✓ StableRNGs
   1994.0 ms  ✓ PtrArrays
   2210.5 ms  ✓ Mmap
   2096.5 ms  ✓ PCRE2_jll
   2707.2 ms  ✓ AbstractTrees
   2599.7 ms  ✓ IntervalSets
