nice: cannot set niceness: Permission denied
Precompiling packages...
   1950.6 ms  ✓ IndirectArrays
   1961.3 ms  ✓ IteratorInterfaceExtensions
   1962.0 ms  ✓ PolygonOps
   1964.8 ms  ✓ CEnum
   2115.4 ms  ✓ RangeArrays
   2055.4 ms  ✓ StatsAPI
   2063.4 ms  ✓ TensorCore
   2151.4 ms  ✓ Contour
   2125.7 ms  ✓ IntegerMathUtils
   2167.0 ms  ✓ LaTeXStrings
   2143.3 ms  ✓ TriplotBase
   2666.0 ms  ✓ AbstractFFTs
   1894.6 ms  ✓ TableTraits
   2098.2 ms  ✓ OpenLibm_jll
   2085.7 ms  ✓ CompilerSupportLibraries_jll
   2199.1 ms  ✓ InverseFunctions
   2391.3 ms  ✓ SuiteSparse_jll
   2598.2 ms  ✓ IterTools
   4631.4 ms  ✓ FillArrays
   2682.4 ms  ✓ PkgVersion
   2676.2 ms  ✓ Compat
   4865.4 ms  ✓ OffsetArrays
   5028.0 ms  ✓ Format
   3288.7 ms  ✓ Preferences
   2796.8 ms  ✓ OrderedCollections
   2005.2 ms  ✓ EnumX
   2181.5 ms  ✓ NaNMath
   2505.3 ms  ✓ Observables
   2411.7 ms  ✓ Requires
   1926.5 ms  ✓ StableRNGs
   1905.7 ms  ✓ Reexport
   1899.0 ms  ✓ Zlib_jll
   1802.0 ms  ✓ CompositionsBase
   2416.3 ms  ✓ IntervalSets
   2705.4 ms  ✓ AbstractTrees
   2201.7 ms  ✓ RoundingEmulator
   2909.6 ms  ✓ DocStringExtensions
   1783.5 ms  ✓ PtrArrays
   2099.5 ms  ✓ PCRE2_jll
   2291.1 ms  ✓ LazyModules
   2691.8 ms  ✓ TranscodingStreams
   2797.2 ms  ✓ Inflate
   1996.5 ms  ✓ DataAPI
   2582.6 ms  ✓ ConstructionBase
   2182.8 ms  ✓ Scratch
   2377.3 ms  ✓ Adapt
   8281.2 ms  ✓ Distributed
   5579.6 ms  ✓ IrrationalConstants
   2697.0 ms  ✓ MappedArrays
   3312.8 ms  ✓ StaticArraysCore
   2791.0 ms  ✓ Primes
   5720.1 ms  ✓ UnicodeFun
   2687.8 ms  ✓ DataValueInterfaces
  10084.6 ms  ✓ MacroTools
   3005.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2815.1 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2891.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3992.8 ms  ✓ StructUtils
   2700.1 ms  ✓ PaddedViews
  13052.0 ms  ✓ BaseDirs
