nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.8 ms  ✓ IndirectArrays
   2027.1 ms  ✓ IntegerMathUtils
   2056.3 ms  ✓ CEnum
   2061.7 ms  ✓ PolygonOps
   2209.3 ms  ✓ RangeArrays
   2067.3 ms  ✓ IteratorInterfaceExtensions
   2146.6 ms  ✓ LaTeXStrings
   2241.2 ms  ✓ StatsAPI
   2252.2 ms  ✓ TensorCore
   2262.7 ms  ✓ Contour
   2543.5 ms  ✓ TriplotBase
   3157.7 ms  ✓ AbstractFFTs
   2096.5 ms  ✓ CompilerSupportLibraries_jll
   2207.8 ms  ✓ OpenLibm_jll
   2293.6 ms  ✓ InverseFunctions
   4435.1 ms  ✓ FillArrays
   2309.3 ms  ✓ SuiteSparse_jll
   2589.9 ms  ✓ IterTools
   4922.1 ms  ✓ Format
   4944.3 ms  ✓ OffsetArrays
   2909.9 ms  ✓ PkgVersion
   2501.7 ms  ✓ Compat
   2497.6 ms  ✓ OrderedCollections
   3320.0 ms  ✓ Preferences
   3682.6 ms  ✓ StructUtils
   1901.8 ms  ✓ DataValueInterfaces
   1898.8 ms  ✓ EnumX
   1701.3 ms  ✓ Reexport
   2279.1 ms  ✓ Observables
   2291.9 ms  ✓ Requires
   2096.9 ms  ✓ StableRNGs
   2008.6 ms  ✓ Zlib_jll
   2405.3 ms  ✓ DocStringExtensions
   1811.4 ms  ✓ CompositionsBase
   2698.5 ms  ✓ AbstractTrees
   1893.8 ms  ✓ PtrArrays
   2592.9 ms  ✓ RoundingEmulator
   2794.5 ms  ✓ IntervalSets
   2093.3 ms  ✓ PCRE2_jll
   2512.1 ms  ✓ LazyModules
   2405.3 ms  ✓ Inflate
   3018.8 ms  ✓ TranscodingStreams
   7493.8 ms  ✓ Distributed
   2602.5 ms  ✓ ConstructionBase
   2404.3 ms  ✓ Adapt
   2206.4 ms  ✓ DataAPI
   5415.2 ms  ✓ IrrationalConstants
   2391.8 ms  ✓ Scratch
   2193.5 ms  ✓ StaticArraysCore
   5085.7 ms  ✓ UnicodeFun
