nice: cannot set niceness: Permission denied
Precompiling packages...
   1575.2 ms  ✓ OpenSSL_jll
   1559.6 ms  ✓ MozillaCACerts_jll
   1564.5 ms  ✓ Logging
   1669.0 ms  ✓ UUIDs
   1739.9 ms  ✓ nghttp2_jll
   1734.5 ms  ✓ Zlib_jll
   1746.5 ms  ✓ CompilerSupportLibraries_jll
   1770.1 ms  ✓ Unicode
   1872.3 ms  ✓ NetworkOptions
   1866.4 ms  ✓ Base64
    656.6 ms  ✓ LibSSH2_jll
    641.6 ms  ✓ p7zip_jll
    725.6 ms  ✓ Printf
    503.8 ms  ✓ LibCURL_jll
    525.7 ms  ✓ LibGit2_jll
   3399.1 ms  ✓ ArgTools
    773.1 ms  ✓ LibCURL
    679.7 ms  ✓ Tar
   3078.6 ms  ✓ Dates
   3223.9 ms  ✓ LibGit2
    455.8 ms  ✓ TOML
   3217.0 ms  ✓ Downloads
   9756.6 ms  ✓ StyledStrings
   1744.6 ms  ✓ JuliaSyntaxHighlighting
   3918.4 ms  ✓ Markdown
  47815.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2557.9 ms  ✓ MuladdMacro
   2560.6 ms  ✓ RangeArrays
   2559.3 ms  ✓ IndirectArrays
   2570.8 ms  ✓ LaTeXStrings
   2646.0 ms  ✓ IteratorInterfaceExtensions
   2649.3 ms  ✓ StatsAPI
   2656.4 ms  ✓ Contour
   2750.7 ms  ✓ PolygonOps
   2848.8 ms  ✓ TriplotBase
   2859.9 ms  ✓ TensorCore
   3246.6 ms  ✓ AbstractFFTs
   2600.9 ms  ✓ OpenLibm_jll
   2609.9 ms  ✓ IntegerMathUtils
   2788.8 ms  ✓ SuiteSparse_jll
   2892.7 ms  ✓ InverseFunctions
   5716.5 ms  ✓ OffsetArrays
   5830.0 ms  ✓ FillArrays
   3208.8 ms  ✓ Statistics
   3766.7 ms  ✓ Serialization
   4001.5 ms  ✓ IterTools
   2484.0 ms  ✓ DataValueInterfaces
   2298.8 ms  ✓ Reexport
   4718.8 ms  ✓ Requires
   2577.3 ms  ✓ StableRNGs
   8109.4 ms  ✓ Format
   2766.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   3100.6 ms  ✓ AbstractTrees
   3239.4 ms  ✓ DocStringExtensions
   3219.3 ms  ✓ RoundingEmulator
   3624.1 ms  ✓ IntervalSets
   9943.0 ms  ✓ CEnum
   2406.1 ms  ✓ PtrArrays
   2808.8 ms  ✓ Mmap
   2697.4 ms  ✓ PCRE2_jll
   3320.2 ms  ✓ TranscodingStreams
   2990.8 ms  ✓ Inflate
   2198.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2603.9 ms  ✓ DataAPI
   2680.6 ms  ✓ Adapt
   2894.5 ms  ✓ StaticArraysCore
  10295.4 ms  ✓ OrderedCollections
   2988.0 ms  ✓ MappedArrays
  10597.7 ms  ✓ Observables
   2703.6 ms  ✓ Scratch
   9826.8 ms  ✓ NaNMath
   2308.4 ms  ✓ TableTraits
   7427.3 ms  ✓ AdaptivePredicates
   3010.8 ms  ✓ EnumX
   4011.8 ms  ✓ Preferences
   3705.7 ms  ✓ Primes
   2714.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2413.6 ms  ✓ StackViews
   9499.6 ms  ✓ ConstructionBase
   3062.9 ms  ✓ PaddedViews
   9924.3 ms  ✓ LazyModules
   2775.7 ms  ✓ Ratios
   8781.1 ms  ✓ PkgVersion
   3623.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   9605.6 ms  ✓ Missings
  11883.8 ms  ✓ StructUtils
  19794.4 ms  ✓ MacroTools
   6510.6 ms  ✓ SignedDistanceFields
   4504.1 ms  ✓ CRC32c
   3121.8 ms  ✓ AliasTables
  23456.4 ms  ✓ BaseDirs
   2504.6 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2615.8 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
  13696.4 ms  ✓ InteractiveUtils
   2493.4 ms  ✓ PrecompileTools
   4611.6 ms  ✓ AxisArrays
   3407.7 ms  ✓ JLLWrappers
   2302.8 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2305.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2895.2 ms  ✓ MosaicViews
   2788.6 ms  ✓ RelocatableFolders
  15298.9 ms  ✓ IrrationalConstants
   8497.9 ms  ✓ DataStructures
  10296.9 ms  ✓ Compat
   7495.0 ms  ✓ FFTA
   5179.6 ms  ✓ SimpleTraits
  16478.8 ms  ✓ Distributed
  10402.4 ms  ✓ ComputePipeline
  11523.6 ms  ✓ Tables
   3791.3 ms  ✓ CoreMath_jll
   4125.5 ms  ✓ Graphite2_jll
  18991.2 ms  ✓ FixedPointNumbers
   3913.3 ms  ✓ Libmount_jll
