nice: cannot set niceness: Permission denied
Precompiling packages...
   2132.9 ms  ✓ RangeArrays
   2005.5 ms  ✓ StatsAPI
   2017.1 ms  ✓ IteratorInterfaceExtensions
   2091.5 ms  ✓ PolygonOps
   2094.0 ms  ✓ CEnum
   2100.5 ms  ✓ Contour
   2118.2 ms  ✓ LaTeXStrings
   2200.3 ms  ✓ TensorCore
   2197.3 ms  ✓ TriplotBase
   2599.5 ms  ✓ IndirectArrays
   2911.3 ms  ✓ AbstractFFTs
   3586.3 ms  ✓ Gamma
   1998.4 ms  ✓ CommonSolve
   2108.8 ms  ✓ CompilerSupportLibraries_jll
   2284.2 ms  ✓ OpenLibm_jll
   2302.7 ms  ✓ IntegerMathUtils
   4587.8 ms  ✓ FillArrays
   2691.2 ms  ✓ InverseFunctions
   4769.5 ms  ✓ Format
   4773.9 ms  ✓ OffsetArrays
   2295.0 ms  ✓ SuiteSparse_jll
   3311.4 ms  ✓ StructUtils
   3207.9 ms  ✓ IterTools
   3273.9 ms  ✓ PkgVersion
   1882.0 ms  ✓ DataValueInterfaces
   2292.2 ms  ✓ Requires
   1800.2 ms  ✓ Reexport
   2510.4 ms  ✓ Compat
   3100.6 ms  ✓ Preferences
   2414.3 ms  ✓ Observables
   2086.8 ms  ✓ EnumX
   1909.1 ms  ✓ Zlib_jll
   2030.1 ms  ✓ StableRNGs
   2703.4 ms  ✓ OrderedCollections
   2700.6 ms  ✓ DocStringExtensions
   2988.7 ms  ✓ AbstractTrees
   1908.1 ms  ✓ PtrArrays
   1920.4 ms  ✓ CompositionsBase
   2106.8 ms  ✓ LazyModules
   2300.5 ms  ✓ PCRE2_jll
   2717.5 ms  ✓ IntervalSets
   2717.0 ms  ✓ RoundingEmulator
   2594.2 ms  ✓ Inflate
   2999.7 ms  ✓ TranscodingStreams
   8075.7 ms  ✓ Distributed
   2483.6 ms  ✓ ConstructionBase
   2389.4 ms  ✓ Adapt
   2675.9 ms  ✓ DataAPI
   5702.3 ms  ✓ IrrationalConstants
   2283.9 ms  ✓ StaticArraysCore
   2318.3 ms  ✓ Scratch
   2082.6 ms  ✓ TableTraits
   2909.9 ms  ✓ AliasTables
   2499.2 ms  ✓ MappedArrays
   5504.8 ms  ✓ UnicodeFun
   2507.8 ms  ✓ NaNMath
   9984.9 ms  ✓ MacroTools
   2321.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3202.1 ms  ✓ Primes
   1995.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2296.3 ms  ✓ Missings
   2203.9 ms  ✓ Ratios
   2899.6 ms  ✓ StackViews
   2189.1 ms  ✓ PrecompileTools
   7108.2 ms  ✓ AdaptivePredicates
  14018.6 ms  ✓ BaseDirs
   3006.5 ms  ✓ PaddedViews
   4990.3 ms  ✓ HypergeometricFunctions
   3196.7 ms  ✓ JLLWrappers
   2188.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3003.5 ms  ✓ ComputePipeline
