nice: cannot set niceness: Permission denied
Precompiling packages...
   2016.4 ms  ✓ LaTeXStrings
   2025.1 ms  ✓ IteratorInterfaceExtensions
   2052.3 ms  ✓ IntegerMathUtils
   2110.0 ms  ✓ PolygonOps
   2110.6 ms  ✓ IndirectArrays
   2119.6 ms  ✓ StatsAPI
   2118.6 ms  ✓ Contour
   2184.4 ms  ✓ CEnum
   2286.2 ms  ✓ TensorCore
   2451.5 ms  ✓ RangeArrays
   2395.3 ms  ✓ TriplotBase
   2818.1 ms  ✓ AbstractFFTs
   1989.1 ms  ✓ OpenLibm_jll
   2109.5 ms  ✓ CompilerSupportLibraries_jll
   2259.1 ms  ✓ InverseFunctions
   2212.4 ms  ✓ SuiteSparse_jll
   4384.6 ms  ✓ FillArrays
   2591.6 ms  ✓ IterTools
   4718.7 ms  ✓ OffsetArrays
   2816.1 ms  ✓ PkgVersion
   4978.5 ms  ✓ Format
   2678.1 ms  ✓ Compat
   2766.6 ms  ✓ OrderedCollections
   3499.8 ms  ✓ Preferences
   3802.0 ms  ✓ StructUtils
   1813.3 ms  ✓ DataValueInterfaces
   1790.7 ms  ✓ Reexport
   2301.7 ms  ✓ Observables
   2000.7 ms  ✓ EnumX
   2269.9 ms  ✓ Requires
   2087.5 ms  ✓ Zlib_jll
   2597.2 ms  ✓ DocStringExtensions
   2503.9 ms  ✓ AbstractTrees
   2507.1 ms  ✓ IntervalSets
   1894.6 ms  ✓ CompositionsBase
   1833.4 ms  ✓ PtrArrays
   2327.8 ms  ✓ RoundingEmulator
   1908.3 ms  ✓ PCRE2_jll
   2226.7 ms  ✓ LazyModules
   2201.7 ms  ✓ ConstructionBase
   2080.1 ms  ✓ Adapt
   1882.5 ms  ✓ Scratch
   1993.0 ms  ✓ DataAPI
   3506.7 ms  ✓ TranscodingStreams
   3012.5 ms  ✓ Inflate
   1990.5 ms  ✓ MappedArrays
   8090.7 ms  ✓ Distributed
   5196.5 ms  ✓ IrrationalConstants
   2684.7 ms  ✓ StaticArraysCore
   4718.6 ms  ✓ UnicodeFun
   2169.0 ms  ✓ TableTraits
   2222.3 ms  ✓ NaNMath
   2307.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2096.4 ms  ✓ RelocatableFolders
   9834.2 ms  ✓ MacroTools
   2305.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2698.0 ms  ✓ StackViews
   3063.8 ms  ✓ Primes
   2004.5 ms  ✓ PrecompileTools
   1822.2 ms  ✓ Ratios
  13011.2 ms  ✓ BaseDirs
   3296.0 ms  ✓ PaddedViews
   6813.1 ms  ✓ AdaptivePredicates
   3694.4 ms  ✓ SharedArrays
   2093.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2106.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3480.6 ms  ✓ ComputePipeline
   2181.9 ms  ✓ AliasTables
   1900.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   1999.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2034.4 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2092.4 ms  ✓ Missings
   2201.6 ms  ✓ JLLWrappers
   1812.7 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2895.7 ms  ✓ LogExpFunctions
   3198.4 ms  ✓ ProgressMeter
   1922.0 ms  ✓ CommonSolve
   3488.1 ms  ✓ SimpleTraits
   3208.7 ms  ✓ MuladdMacro
   3286.0 ms  ✓ FilePathsBase
   7897.0 ms  ✓ DataStructures
   2206.2 ms  ✓ MosaicViews
   4687.9 ms  ✓ Tables
   3215.7 ms  ✓ AxisArrays
   2294.3 ms  ✓ Graphite2_jll
   2378.4 ms  ✓ OpenSSL_jll
   2577.1 ms  ✓ CoreMath_jll
   5914.0 ms  ✓ ChainRulesCore
   2212.2 ms  ✓ Libmount_jll
   2669.2 ms  ✓ LLVMOpenMP_jll
   2879.3 ms  ✓ Bzip2_jll
   2780.2 ms  ✓ Xorg_libpciaccess_jll
   2617.0 ms  ✓ Rmath_jll
   2623.7 ms  ✓ Xorg_libXau_jll
   2508.9 ms  ✓ libpng_jll
   2390.5 ms  ✓ Imath_jll
   2779.7 ms  ✓ libfdk_aac_jll
   2724.2 ms  ✓ Giflib_jll
  12797.9 ms  ✓ FileIO
   2609.8 ms  ✓ LERC_jll
   3332.0 ms  ✓ LAME_jll
   2711.5 ms  ✓ EarCut_jll
   2895.3 ms  ✓ CRlibm_jll
   3003.2 ms  ✓ JpegTurbo_jll
   2707.9 ms  ✓ Ogg_jll
   3074.6 ms  ✓ XZ_jll
   9778.3 ms  ✓ Accessors
   2676.8 ms  ✓ Xorg_libXdmcp_jll
   2411.5 ms  ✓ x265_jll
  14778.0 ms  ✓ SparseArrays
   2696.1 ms  ✓ libaom_jll
   2403.8 ms  ✓ Zstd_jll
   2886.3 ms  ✓ x264_jll
   2412.7 ms  ✓ Expat_jll
