nice: cannot set niceness: Permission denied
Precompiling packages...
   1490.4 ms  ✓ OpenSSL_jll
   1645.5 ms  ✓ MozillaCACerts_jll
   1655.2 ms  ✓ Logging
   1665.4 ms  ✓ Unicode
   1676.2 ms  ✓ UUIDs
   1730.5 ms  ✓ Zlib_jll
   1750.7 ms  ✓ nghttp2_jll
   1767.7 ms  ✓ CompilerSupportLibraries_jll
   1857.9 ms  ✓ NetworkOptions
   1847.5 ms  ✓ Base64
    700.6 ms  ✓ LibSSH2_jll
    601.0 ms  ✓ p7zip_jll
    771.3 ms  ✓ Printf
    500.2 ms  ✓ LibGit2_jll
    509.0 ms  ✓ LibCURL_jll
   3247.7 ms  ✓ ArgTools
    786.3 ms  ✓ LibCURL
    645.4 ms  ✓ Tar
   2952.5 ms  ✓ Dates
   3009.8 ms  ✓ LibGit2
    438.2 ms  ✓ TOML
   2985.8 ms  ✓ Downloads
   9240.1 ms  ✓ StyledStrings
   1623.1 ms  ✓ JuliaSyntaxHighlighting
   3704.8 ms  ✓ Markdown
  46236.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2421.8 ms  ✓ PolygonOps
   2522.4 ms  ✓ IteratorInterfaceExtensions
   2598.4 ms  ✓ RangeArrays
   2618.3 ms  ✓ LaTeXStrings
   2687.7 ms  ✓ StatsAPI
   2713.4 ms  ✓ TensorCore
   2721.2 ms  ✓ IndirectArrays
   2808.5 ms  ✓ Contour
   3389.8 ms  ✓ TriplotBase
   3408.2 ms  ✓ AbstractFFTs
   4362.9 ms  ✓ Serialization
   2699.9 ms  ✓ OpenLibm_jll
   3087.3 ms  ✓ InverseFunctions
   5683.5 ms  ✓ FillArrays
   3122.4 ms  ✓ SuiteSparse_jll
   5891.4 ms  ✓ OffsetArrays
   3421.4 ms  ✓ Statistics
   3584.8 ms  ✓ IterTools
   2620.6 ms  ✓ DataValueInterfaces
   7703.9 ms  ✓ Format
   2794.6 ms  ✓ EnumX
   2405.4 ms  ✓ Reexport
   4704.8 ms  ✓ Requires
   2801.3 ms  ✓ StableRNGs
   9116.7 ms  ✓ CEnum
   3013.8 ms  ✓ IntervalSets
   3500.1 ms  ✓ DocStringExtensions
   3421.5 ms  ✓ AbstractTrees
   3297.9 ms  ✓ RoundingEmulator
   2983.8 ms  ✓ Mmap
   2594.1 ms  ✓ PtrArrays
   2695.8 ms  ✓ PCRE2_jll
   3010.1 ms  ✓ Extents
   3598.8 ms  ✓ TranscodingStreams
