nice: cannot set niceness: Permission denied
Precompiling packages...
   1605.9 ms  ✓ OpenSSL_jll
   1669.9 ms  ✓ UUIDs
   1684.6 ms  ✓ Logging
   1753.7 ms  ✓ Unicode
   1755.9 ms  ✓ MozillaCACerts_jll
   1753.6 ms  ✓ Zlib_jll
   1775.7 ms  ✓ CompilerSupportLibraries_jll
   1781.2 ms  ✓ nghttp2_jll
   1862.7 ms  ✓ NetworkOptions
   1862.8 ms  ✓ Base64
    631.7 ms  ✓ LibSSH2_jll
    582.6 ms  ✓ p7zip_jll
    682.6 ms  ✓ Printf
    483.3 ms  ✓ LibCURL_jll
    484.9 ms  ✓ LibGit2_jll
   3309.1 ms  ✓ ArgTools
    747.3 ms  ✓ LibCURL
    643.1 ms  ✓ Tar
   2946.6 ms  ✓ Dates
   3008.6 ms  ✓ LibGit2
    451.3 ms  ✓ TOML
   3008.8 ms  ✓ Downloads
   9270.4 ms  ✓ StyledStrings
   1605.0 ms  ✓ JuliaSyntaxHighlighting
   3771.3 ms  ✓ Markdown
  46246.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2623.4 ms  ✓ IteratorInterfaceExtensions
   2706.9 ms  ✓ IndirectArrays
   2706.4 ms  ✓ PolygonOps
   2719.3 ms  ✓ MuladdMacro
   2800.3 ms  ✓ TensorCore
   2809.8 ms  ✓ LaTeXStrings
   2813.6 ms  ✓ RangeArrays
   2916.8 ms  ✓ Contour
   3210.7 ms  ✓ StatsAPI
   3402.9 ms  ✓ TriplotBase
   3614.3 ms  ✓ AbstractFFTs
   2796.1 ms  ✓ IntegerMathUtils
   2794.5 ms  ✓ OpenLibm_jll
   5688.2 ms  ✓ FillArrays
   3090.6 ms  ✓ InverseFunctions
   3098.2 ms  ✓ SuiteSparse_jll
   3313.9 ms  ✓ IterTools
   3320.9 ms  ✓ Statistics
   6193.7 ms  ✓ OffsetArrays
   4212.4 ms  ✓ Serialization
   2490.9 ms  ✓ DataValueInterfaces
   8204.9 ms  ✓ Format
   2499.0 ms  ✓ Reexport
   2716.2 ms  ✓ EnumX
   2996.5 ms  ✓ StableRNGs
   3484.4 ms  ✓ DocStringExtensions
   3409.6 ms  ✓ AbstractTrees
   4287.2 ms  ✓ Requires
   3390.3 ms  ✓ IntervalSets
  10509.3 ms  ✓ CEnum
   2808.9 ms  ✓ RoundingEmulator
   3003.9 ms  ✓ Mmap
   2998.2 ms  ✓ PtrArrays
   3092.7 ms  ✓ Extents
   2804.8 ms  ✓ PCRE2_jll
   3698.4 ms  ✓ TranscodingStreams
   2601.8 ms  ✓ DataAPI
   3111.6 ms  ✓ Inflate
   2374.0 ms  ✓ CRC32c
  10297.7 ms  ✓ Observables
   2977.3 ms  ✓ MappedArrays
   3092.2 ms  ✓ StaticArraysCore
  11403.2 ms  ✓ OrderedCollections
  12887.7 ms  ✓ Grisu
   2699.4 ms  ✓ Scratch
   2305.2 ms  ✓ TableTraits
   7396.3 ms  ✓ AdaptivePredicates
   4026.0 ms  ✓ Preferences
   3502.8 ms  ✓ Primes
   2703.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10506.8 ms  ✓ LazyModules
   2790.5 ms  ✓ FillArrays → FillArraysStatisticsExt
  10489.2 ms  ✓ ConstructionBase
   2776.7 ms  ✓ StackViews
  15319.2 ms  ✓ IrrationalConstants
   3267.9 ms  ✓ PaddedViews
   7640.4 ms  ✓ PkgVersion
  11671.9 ms  ✓ StructUtils
   6889.1 ms  ✓ SignedDistanceFields
   2616.8 ms  ✓ Adapt
   2806.9 ms  ✓ Ratios
  21495.3 ms  ✓ MacroTools
  24616.8 ms  ✓ BaseDirs
   3042.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3802.1 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
  12205.2 ms  ✓ Compat
   2839.3 ms  ✓ AliasTables
  10018.6 ms  ✓ NaNMath
   2693.9 ms  ✓ Showoff
   2908.7 ms  ✓ RelocatableFolders
   3285.0 ms  ✓ JLLWrappers
