nice: cannot set niceness: Permission denied
Precompiling packages...
   1964.0 ms  ✓ IndirectArrays
   1981.2 ms  ✓ IteratorInterfaceExtensions
   1984.5 ms  ✓ LaTeXStrings
   2132.7 ms  ✓ RangeArrays
   1996.0 ms  ✓ MuladdMacro
   2061.7 ms  ✓ Contour
   2065.5 ms  ✓ CEnum
   2084.6 ms  ✓ StatsAPI
   2186.6 ms  ✓ TensorCore
   2363.2 ms  ✓ PolygonOps
   2559.7 ms  ✓ TriplotBase
   2883.1 ms  ✓ AbstractFFTs
   1780.3 ms  ✓ TableTraits
   1792.7 ms  ✓ IntegerMathUtils
   1900.6 ms  ✓ OpenLibm_jll
   1996.7 ms  ✓ CompilerSupportLibraries_jll
   4283.8 ms  ✓ FillArrays
   2595.5 ms  ✓ IterTools
   2479.0 ms  ✓ SuiteSparse_jll
   2673.7 ms  ✓ PkgVersion
   2771.3 ms  ✓ StructUtils
   4946.8 ms  ✓ OffsetArrays
   5032.7 ms  ✓ Format
   3395.0 ms  ✓ Grisu
   1792.2 ms  ✓ DataValueInterfaces
   3291.4 ms  ✓ Preferences
   2422.9 ms  ✓ Compat
   2480.2 ms  ✓ Observables
   1713.0 ms  ✓ EnumX
   2395.9 ms  ✓ Requires
   1702.9 ms  ✓ Reexport
   1828.8 ms  ✓ Zlib_jll
   2912.9 ms  ✓ OrderedCollections
   2102.5 ms  ✓ StableRNGs
   2812.7 ms  ✓ DocStringExtensions
   2815.1 ms  ✓ AbstractTrees
   1714.0 ms  ✓ PtrArrays
   1901.0 ms  ✓ PCRE2_jll
   2293.0 ms  ✓ Extents
   2493.8 ms  ✓ RoundingEmulator
   2609.8 ms  ✓ IntervalSets
   2175.7 ms  ✓ LazyModules
   2111.6 ms  ✓ Inflate
   2997.1 ms  ✓ TranscodingStreams
   7726.8 ms  ✓ Distributed
   2088.9 ms  ✓ DataAPI
   2395.3 ms  ✓ ConstructionBase
   2500.7 ms  ✓ Scratch
   2315.7 ms  ✓ MappedArrays
   2603.3 ms  ✓ StaticArraysCore
   2685.4 ms  ✓ NaNMath
   5281.4 ms  ✓ UnicodeFun
   3012.1 ms  ✓ InverseFunctions
   3211.7 ms  ✓ Primes
   6479.0 ms  ✓ IrrationalConstants
   2604.7 ms  ✓ StackViews
  12593.8 ms  ✓ BaseDirs
   2587.1 ms  ✓ Showoff
  10504.0 ms  ✓ MacroTools
   6400.6 ms  ✓ AdaptivePredicates
   2089.4 ms  ✓ PrecompileTools
   2381.2 ms  ✓ JLLWrappers
   3394.9 ms  ✓ PaddedViews
   2306.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2182.2 ms  ✓ Adapt
   2317.0 ms  ✓ Ratios
   1795.5 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2018.3 ms  ✓ AliasTables
   3015.6 ms  ✓ ComputePipeline
   1719.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2023.2 ms  ✓ Missings
   2424.8 ms  ✓ SharedArrays
   1870.7 ms  ✓ RelocatableFolders
   1722.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3220.4 ms  ✓ ProgressMeter
   3400.1 ms  ✓ Tables
   2585.3 ms  ✓ LogExpFunctions
   1999.1 ms  ✓ OpenSSL_jll
   2022.1 ms  ✓ Graphite2_jll
   3004.5 ms  ✓ SimpleTraits
   2081.3 ms  ✓ Libmount_jll
   2204.1 ms  ✓ LLVMOpenMP_jll
   4584.0 ms  ✓ FFTA
   2119.2 ms  ✓ Bzip2_jll
   6523.4 ms  ✓ DataStructures
   2019.3 ms  ✓ Rmath_jll
   2176.6 ms  ✓ Xorg_libXau_jll
   2175.8 ms  ✓ libpng_jll
   2199.5 ms  ✓ libfdk_aac_jll
   2108.5 ms  ✓ Imath_jll
   2179.5 ms  ✓ Giflib_jll
   2304.6 ms  ✓ LERC_jll
   2520.8 ms  ✓ LAME_jll
   2299.8 ms  ✓ EarCut_jll
   2595.9 ms  ✓ CRlibm_jll
