Precompiling Pkg...
    982.9 ms  ✓ UUIDs
    978.7 ms  ✓ Unicode
   1187.2 ms  ✓ NetworkOptions
   1152.9 ms  ✓ MozillaCACerts_jll
   1157.8 ms  ✓ Logging
   1243.2 ms  ✓ nghttp2_jll
   1243.9 ms  ✓ p7zip_jll
   1241.1 ms  ✓ Zlib_jll
   1245.1 ms  ✓ Base64
   1259.6 ms  ✓ MbedTLS_jll
    565.9 ms  ✓ Printf
    313.4 ms  ✓ LibSSH2_jll
    426.4 ms  ✓ LibCURL_jll
   2006.7 ms  ✓ ArgTools
    430.0 ms  ✓ LibGit2_jll
    558.5 ms  ✓ LibCURL
    564.5 ms  ✓ Tar
   2320.0 ms  ✓ Dates
   2778.2 ms  ✓ Markdown
   2273.5 ms  ✓ LibGit2
    416.9 ms  ✓ TOML
   2795.7 ms  ✓ Downloads
  37707.7 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1748.8 ms  ✓ IteratorInterfaceExtensions
   1766.7 ms  ✓ IndirectArrays
   1852.5 ms  ✓ GeoFormatTypes
   1860.5 ms  ✓ LaTeXStrings
   1945.4 ms  ✓ PolygonOps
   1952.7 ms  ✓ RangeArrays
   1948.7 ms  ✓ Contour
   1956.7 ms  ✓ TensorCore
   2051.4 ms  ✓ StatsAPI
   1985.0 ms  ✓ CEnum
   2280.0 ms  ✓ TriplotBase
   2660.2 ms  ✓ AbstractFFTs
   3018.5 ms  ✓ Serialization
   2204.5 ms  ✓ OpenLibm_jll
   2472.8 ms  ✓ InverseFunctions
   2410.2 ms  ✓ SuiteSparse_jll
   2595.7 ms  ✓ CompilerSupportLibraries_jll
   1899.6 ms  ✓ DataValueInterfaces
   2902.4 ms  ✓ Statistics
   4574.3 ms  ✓ FillArrays
   2909.2 ms  ✓ IterTools
   2811.2 ms  ✓ Observables
   3083.9 ms  ✓ OrderedCollections
   2612.2 ms  ✓ Requires
   5085.5 ms  ✓ OffsetArrays
   2103.6 ms  ✓ EnumX
   5588.4 ms  ✓ Format
   4379.9 ms  ✓ Grisu
   1980.2 ms  ✓ Reexport
   2417.5 ms  ✓ StableRNGs
   2088.7 ms  ✓ PtrArrays
   2418.3 ms  ✓ IntervalSets
   2792.6 ms  ✓ AbstractTrees
   2296.8 ms  ✓ Mmap
   2506.3 ms  ✓ RoundingEmulator
