nice: cannot set niceness: Permission denied
Precompiling packages...
   1591.3 ms  ✓ MozillaCACerts_jll
   1592.5 ms  ✓ nghttp2_jll
   1609.4 ms  ✓ Logging
   1728.8 ms  ✓ OpenSSL_jll
   1702.7 ms  ✓ UUIDs
   1700.2 ms  ✓ Unicode
   1703.2 ms  ✓ Zlib_jll
   1796.9 ms  ✓ CompilerSupportLibraries_jll
   1802.6 ms  ✓ NetworkOptions
   1820.7 ms  ✓ Base64
    505.7 ms  ✓ LibSSH2_jll
    571.0 ms  ✓ p7zip_jll
    709.4 ms  ✓ Printf
    488.7 ms  ✓ LibGit2_jll
    487.1 ms  ✓ LibCURL_jll
   3292.0 ms  ✓ ArgTools
    766.2 ms  ✓ LibCURL
    646.7 ms  ✓ Tar
   3041.0 ms  ✓ Dates
   3126.4 ms  ✓ LibGit2
    449.7 ms  ✓ TOML
   3137.1 ms  ✓ Downloads
   9403.5 ms  ✓ StyledStrings
   1755.2 ms  ✓ JuliaSyntaxHighlighting
   3898.0 ms  ✓ Markdown
  47795.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2459.6 ms  ✓ IteratorInterfaceExtensions
   2558.4 ms  ✓ IndirectArrays
   2561.8 ms  ✓ PolygonOps
   2566.3 ms  ✓ RangeArrays
   2655.8 ms  ✓ LaTeXStrings
   2669.2 ms  ✓ StatsAPI
   2866.7 ms  ✓ TensorCore
   3159.0 ms  ✓ TriplotBase
   3362.1 ms  ✓ AbstractFFTs
   3355.8 ms  ✓ Contour
   4228.1 ms  ✓ Gamma
   2389.2 ms  ✓ CommonSolve
   2499.9 ms  ✓ OpenLibm_jll
   2694.6 ms  ✓ IntegerMathUtils
   2786.2 ms  ✓ InverseFunctions
   5434.1 ms  ✓ FillArrays
   5758.4 ms  ✓ OffsetArrays
   3318.9 ms  ✓ Statistics
   3401.8 ms  ✓ IterTools
   3798.9 ms  ✓ Serialization
   3283.4 ms  ✓ SuiteSparse_jll
   2494.5 ms  ✓ DataValueInterfaces
   2699.0 ms  ✓ EnumX
   7855.4 ms  ✓ Format
   2711.2 ms  ✓ StableRNGs
   2708.1 ms  ✓ Reexport
   3495.6 ms  ✓ DocStringExtensions
   3108.9 ms  ✓ IntervalSets
   3492.7 ms  ✓ AbstractTrees
   3008.3 ms  ✓ RoundingEmulator
   4515.1 ms  ✓ Requires
   9664.7 ms  ✓ CEnum
   2909.7 ms  ✓ Mmap
   2723.6 ms  ✓ CompositionsBase
   2707.9 ms  ✓ PCRE2_jll
   2979.1 ms  ✓ PtrArrays
   2394.0 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3696.4 ms  ✓ TranscodingStreams
   2791.4 ms  ✓ Adapt
   3079.9 ms  ✓ Inflate
   3059.6 ms  ✓ DataAPI
   2694.4 ms  ✓ CRC32c
   2882.0 ms  ✓ StaticArraysCore
   9729.0 ms  ✓ Observables
   3259.7 ms  ✓ MappedArrays
