nice: cannot set niceness: Permission denied
Precompiling packages...
   2065.8 ms  ✓ IndirectArrays
   2140.4 ms  ✓ LaTeXStrings
   2141.6 ms  ✓ StatsAPI
   2153.3 ms  ✓ PolygonOps
   2157.4 ms  ✓ IteratorInterfaceExtensions
   2157.6 ms  ✓ CEnum
   2308.2 ms  ✓ RangeArrays
   2253.9 ms  ✓ TensorCore
   2364.8 ms  ✓ Contour
   2342.1 ms  ✓ TriplotBase
   2607.1 ms  ✓ IntegerMathUtils
   2953.1 ms  ✓ AbstractFFTs
   2100.4 ms  ✓ OpenLibm_jll
   2193.9 ms  ✓ CompilerSupportLibraries_jll
   4418.5 ms  ✓ FillArrays
   2323.9 ms  ✓ InverseFunctions
   4455.0 ms  ✓ OffsetArrays
   2499.2 ms  ✓ SuiteSparse_jll
   2794.4 ms  ✓ IterTools
   2305.1 ms  ✓ Compat
   5031.0 ms  ✓ Format
   3198.7 ms  ✓ PkgVersion
   3507.5 ms  ✓ StructUtils
   2990.7 ms  ✓ OrderedCollections
   3624.5 ms  ✓ Preferences
   1790.3 ms  ✓ DataValueInterfaces
   1998.8 ms  ✓ EnumX
   2312.7 ms  ✓ Observables
   2218.7 ms  ✓ Requires
   1982.8 ms  ✓ Reexport
   1791.3 ms  ✓ Zlib_jll
   2379.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2881.9 ms  ✓ AbstractTrees
   1798.6 ms  ✓ PtrArrays
   3095.0 ms  ✓ DocStringExtensions
   2200.3 ms  ✓ CompositionsBase
   2323.0 ms  ✓ RoundingEmulator
   2888.7 ms  ✓ IntervalSets
   1885.4 ms  ✓ LazyModules
   2109.2 ms  ✓ PCRE2_jll
   2383.0 ms  ✓ Inflate
   7188.1 ms  ✓ Distributed
   2871.7 ms  ✓ TranscodingStreams
   2091.5 ms  ✓ DataAPI
   2422.9 ms  ✓ ConstructionBase
   1777.4 ms  ✓ TableTraits
   5287.6 ms  ✓ IrrationalConstants
   2714.1 ms  ✓ Adapt
   2412.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2498.6 ms  ✓ StaticArraysCore
   2430.3 ms  ✓ MappedArrays
   2218.0 ms  ✓ StableRNGs
   2697.3 ms  ✓ NaNMath
   3020.4 ms  ✓ Primes
   5800.9 ms  ✓ UnicodeFun
  10193.8 ms  ✓ MacroTools
   6202.6 ms  ✓ AdaptivePredicates
   2892.4 ms  ✓ StackViews
   2804.7 ms  ✓ PaddedViews
   2198.5 ms  ✓ PrecompileTools
  13270.8 ms  ✓ BaseDirs
   2606.6 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2714.4 ms  ✓ Compat → CompatLinearAlgebraExt
   1804.4 ms  ✓ Ratios
   2200.8 ms  ✓ Scratch
   2281.4 ms  ✓ AliasTables
   3595.2 ms  ✓ ComputePipeline
   2175.2 ms  ✓ IntervalSets → IntervalSetsRandomExt
   1902.0 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   1931.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2203.4 ms  ✓ Missings
   2499.8 ms  ✓ SharedArrays
   2198.5 ms  ✓ JLLWrappers
   2795.6 ms  ✓ LogExpFunctions
   1771.7 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   3372.5 ms  ✓ ProgressMeter
   2387.2 ms  ✓ MosaicViews
   2193.9 ms  ✓ CommonSolve
   3128.9 ms  ✓ SimpleTraits
   7213.1 ms  ✓ DataStructures
   4672.7 ms  ✓ Tables
   3304.4 ms  ✓ MuladdMacro
