nice: cannot set niceness: Permission denied
Precompiling packages...
   1542.2 ms  ✓ OpenSSL_jll
   1597.8 ms  ✓ Logging
   1662.7 ms  ✓ UUIDs
   1676.6 ms  ✓ MozillaCACerts_jll
   1691.6 ms  ✓ nghttp2_jll
   1718.8 ms  ✓ Unicode
   1777.3 ms  ✓ Zlib_jll
   1817.8 ms  ✓ NetworkOptions
   1830.4 ms  ✓ CompilerSupportLibraries_jll
   1902.6 ms  ✓ Base64
    681.0 ms  ✓ LibSSH2_jll
    646.7 ms  ✓ p7zip_jll
    775.0 ms  ✓ Printf
    514.8 ms  ✓ LibGit2_jll
    513.3 ms  ✓ LibCURL_jll
   3252.9 ms  ✓ ArgTools
    797.5 ms  ✓ LibCURL
    677.9 ms  ✓ Tar
   2960.7 ms  ✓ Dates
   3157.8 ms  ✓ LibGit2
    458.7 ms  ✓ TOML
   3085.1 ms  ✓ Downloads
   9405.0 ms  ✓ StyledStrings
   1786.2 ms  ✓ JuliaSyntaxHighlighting
   3969.0 ms  ✓ Markdown
  47940.3 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2531.0 ms  ✓ IteratorInterfaceExtensions
   2616.4 ms  ✓ MuladdMacro
   2705.9 ms  ✓ LaTeXStrings
   2722.9 ms  ✓ RangeArrays
   2724.3 ms  ✓ TensorCore
   2894.0 ms  ✓ StatsAPI
   2905.4 ms  ✓ TriplotBase
   2917.5 ms  ✓ PolygonOps
   3007.4 ms  ✓ IndirectArrays
   3025.3 ms  ✓ Contour
   3117.9 ms  ✓ AbstractFFTs
   2413.4 ms  ✓ OpenLibm_jll
   2685.0 ms  ✓ IntegerMathUtils
   5209.0 ms  ✓ FillArrays
   3096.4 ms  ✓ Statistics
   2905.0 ms  ✓ SuiteSparse_jll
   5892.4 ms  ✓ OffsetArrays
   3422.5 ms  ✓ IterTools
   3787.3 ms  ✓ Serialization
   3811.2 ms  ✓ InverseFunctions
   2613.7 ms  ✓ DataValueInterfaces
   7897.6 ms  ✓ Format
   2885.6 ms  ✓ EnumX
   2890.8 ms  ✓ StableRNGs
   4309.2 ms  ✓ Requires
   3599.3 ms  ✓ DocStringExtensions
   2997.6 ms  ✓ IntervalSets
   3312.4 ms  ✓ AbstractTrees
  10092.0 ms  ✓ CEnum
   2794.3 ms  ✓ RoundingEmulator
   2918.1 ms  ✓ Mmap
   3003.6 ms  ✓ Extents
   2808.7 ms  ✓ PtrArrays
   2804.5 ms  ✓ PCRE2_jll
   6991.6 ms  ✓ SignedDistanceFields
   2933.3 ms  ✓ Inflate
   3623.3 ms  ✓ TranscodingStreams
   2309.2 ms  ✓ CRC32c
   2675.2 ms  ✓ DataAPI
  11002.0 ms  ✓ OrderedCollections
  11184.7 ms  ✓ Observables
   2907.8 ms  ✓ StaticArraysCore
  11913.8 ms  ✓ Grisu
   2870.7 ms  ✓ MappedArrays
   2677.3 ms  ✓ Scratch
   7474.2 ms  ✓ AdaptivePredicates
   2590.0 ms  ✓ TableTraits
   3590.7 ms  ✓ Preferences
   3394.2 ms  ✓ Primes
   9387.4 ms  ✓ LazyModules
   2195.0 ms  ✓ Reexport
   2501.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   3519.0 ms  ✓ StackViews
  14319.6 ms  ✓ IrrationalConstants
   2902.4 ms  ✓ PaddedViews
  18897.9 ms  ✓ MacroTools
   7705.5 ms  ✓ PkgVersion
  11696.2 ms  ✓ ConstructionBase
   2411.0 ms  ✓ Ratios
   3601.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  23112.0 ms  ✓ BaseDirs
  11106.3 ms  ✓ StructUtils
   3311.5 ms  ✓ Adapt
   2504.4 ms  ✓ IntervalSets → IntervalSetsRandomExt
   2914.3 ms  ✓ IntervalSets → IntervalSetsStatisticsExt
   3080.9 ms  ✓ AliasTables
  11592.9 ms  ✓ Compat
   2789.4 ms  ✓ Showoff
  10983.9 ms  ✓ NaNMath
   3173.3 ms  ✓ RelocatableFolders
   3004.1 ms  ✓ JLLWrappers
   2605.1 ms  ✓ PrecompileTools
  14787.8 ms  ✓ InteractiveUtils
   2726.7 ms  ✓ MosaicViews
   3605.4 ms  ✓ LogExpFunctions
   2704.2 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2300.9 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   2876.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2686.9 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   6281.4 ms  ✓ FFTA
   9015.5 ms  ✓ DataStructures
   2625.9 ms  ✓ Compat → CompatLinearAlgebraExt
   4192.4 ms  ✓ AxisArrays
  10172.1 ms  ✓ Missings
   3524.3 ms  ✓ CoreMath_jll
   3722.0 ms  ✓ Libmount_jll
   4679.5 ms  ✓ Graphite2_jll
  10587.5 ms  ✓ Tables
  19025.4 ms  ✓ FixedPointNumbers
   4420.5 ms  ✓ LLVMOpenMP_jll
   3909.5 ms  ✓ Bzip2_jll
  10615.9 ms  ✓ ComputePipeline
   3898.3 ms  ✓ Xorg_libpciaccess_jll
  17610.1 ms  ✓ Distributed
   4688.0 ms  ✓ Rmath_jll
