nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1103.1 ms  ✓ UUIDs
   1138.4 ms  ✓ Logging
   1182.1 ms  ✓ nghttp2_jll
   1188.2 ms  ✓ Unicode
   1209.9 ms  ✓ MozillaCACerts_jll
   1295.4 ms  ✓ Zlib_jll
   1301.2 ms  ✓ MbedTLS_jll
   1310.0 ms  ✓ p7zip_jll
   1354.7 ms  ✓ NetworkOptions
   1410.6 ms  ✓ Base64
    397.0 ms  ✓ LibSSH2_jll
    522.6 ms  ✓ Printf
    494.1 ms  ✓ LibCURL_jll
    535.6 ms  ✓ LibGit2_jll
   2324.9 ms  ✓ ArgTools
    648.7 ms  ✓ LibCURL
    608.2 ms  ✓ Tar
   2467.1 ms  ✓ Dates
   3052.2 ms  ✓ Markdown
   2336.0 ms  ✓ LibGit2
    564.6 ms  ✓ TOML
   3112.0 ms  ✓ Downloads
  43805.8 ms  ✓ Pkg
  23 dependencies successfully precompiled in 50 seconds
Precompiling project...
   1888.3 ms  ✓ IteratorInterfaceExtensions
   1997.9 ms  ✓ StatsAPI
   2024.9 ms  ✓ LaTeXStrings
   2114.7 ms  ✓ CEnum
   2137.8 ms  ✓ RangeArrays
   2283.1 ms  ✓ TriplotBase
   2398.3 ms  ✓ IndirectArrays
   2427.8 ms  ✓ Contour
   2718.0 ms  ✓ TensorCore
   3031.5 ms  ✓ PolygonOps
   3177.1 ms  ✓ Serialization
   3699.2 ms  ✓ AbstractFFTs
   2334.0 ms  ✓ OpenLibm_jll
   2394.5 ms  ✓ InverseFunctions
   4508.9 ms  ✓ FillArrays
   2588.9 ms  ✓ IterTools
   2712.9 ms  ✓ CompilerSupportLibraries_jll
   2810.8 ms  ✓ Statistics
   2540.1 ms  ✓ SuiteSparse_jll
   5121.3 ms  ✓ OffsetArrays
   2696.3 ms  ✓ Observables
   5781.5 ms  ✓ Format
   3210.0 ms  ✓ OrderedCollections
   2800.9 ms  ✓ Requires
   2487.8 ms  ✓ DataValueInterfaces
   2097.5 ms  ✓ EnumX
