Precompiling Pkg...
   1563.8 ms  ✓ NetworkOptions
   1495.0 ms  ✓ UUIDs
   1491.7 ms  ✓ p7zip_jll
   1489.4 ms  ✓ Zlib_jll
   1501.0 ms  ✓ Unicode
   1515.8 ms  ✓ Logging
   1582.7 ms  ✓ MozillaCACerts_jll
   1623.3 ms  ✓ nghttp2_jll
   1626.4 ms  ✓ MbedTLS_jll
   1630.9 ms  ✓ Base64
    429.2 ms  ✓ LibSSH2_jll
    566.6 ms  ✓ Printf
   2441.9 ms  ✓ ArgTools
    573.6 ms  ✓ LibCURL_jll
    603.6 ms  ✓ LibGit2_jll
    697.0 ms  ✓ Tar
    656.2 ms  ✓ LibCURL
   2770.3 ms  ✓ Markdown
   2388.2 ms  ✓ Dates
   2213.2 ms  ✓ LibGit2
    478.5 ms  ✓ TOML
   2711.3 ms  ✓ Downloads
  39072.7 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2620.4 ms  ✓ IteratorInterfaceExtensions
   2819.5 ms  ✓ IndirectArrays
   2828.6 ms  ✓ LaTeXStrings
   2833.8 ms  ✓ RangeArrays
   2921.7 ms  ✓ PolygonOps
   2916.9 ms  ✓ CEnum
   2933.0 ms  ✓ Contour
   3023.2 ms  ✓ GeoFormatTypes
   3136.7 ms  ✓ StatsAPI
   3307.4 ms  ✓ TriplotBase
   3435.6 ms  ✓ TensorCore
   3936.0 ms  ✓ AbstractFFTs
   4101.6 ms  ✓ Serialization
   5616.6 ms  ✓ FillArrays
   3011.9 ms  ✓ OpenLibm_jll
   3221.3 ms  ✓ InverseFunctions
   2777.6 ms  ✓ DataValueInterfaces
   6325.5 ms  ✓ OffsetArrays
   3713.5 ms  ✓ Statistics
   3711.1 ms  ✓ CompilerSupportLibraries_jll
   3400.8 ms  ✓ Observables
   3593.9 ms  ✓ OrderedCollections
   2699.2 ms  ✓ EnumX
   3710.8 ms  ✓ IterTools
   3793.2 ms  ✓ SuiteSparse_jll
   3402.7 ms  ✓ Requires
   6822.1 ms  ✓ Format
   4795.1 ms  ✓ Grisu
   2697.6 ms  ✓ Reexport
   3301.1 ms  ✓ StableRNGs
   2815.4 ms  ✓ PtrArrays
   2985.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   3494.5 ms  ✓ AbstractTrees
   2990.6 ms  ✓ PCRE2_jll
   3092.2 ms  ✓ Mmap
   3284.5 ms  ✓ RoundingEmulator
   3192.2 ms  ✓ Inflate
   3701.9 ms  ✓ IntervalSets
   3804.3 ms  ✓ TranscodingStreams
   3210.1 ms  ✓ ConstructionBase
   2806.7 ms  ✓ DataAPI
   2507.5 ms  ✓ CRC32c
   5425.1 ms  ✓ IrrationalConstants
   3088.4 ms  ✓ StaticArraysCore
   2997.4 ms  ✓ MappedArrays
   2994.7 ms  ✓ Scratch
   2788.7 ms  ✓ TableTraits
   3705.9 ms  ✓ Compat
