nice: cannot set niceness: Permission denied
Precompiling packages...
   2023.1 ms  ✓ IndirectArrays
   2030.5 ms  ✓ IteratorInterfaceExtensions
   2107.8 ms  ✓ StatsAPI
   2118.3 ms  ✓ PolygonOps
   2132.5 ms  ✓ LaTeXStrings
   2278.1 ms  ✓ RangeArrays
   2130.0 ms  ✓ TensorCore
   2188.6 ms  ✓ Contour
   2191.0 ms  ✓ IntegerMathUtils
   2223.9 ms  ✓ CEnum
   2310.9 ms  ✓ TriplotBase
   3020.2 ms  ✓ AbstractFFTs
   1985.7 ms  ✓ OpenLibm_jll
   2173.1 ms  ✓ CompilerSupportLibraries_jll
   4392.5 ms  ✓ FillArrays
   2423.3 ms  ✓ SuiteSparse_jll
   2598.9 ms  ✓ InverseFunctions
   2384.3 ms  ✓ Compat
   2597.8 ms  ✓ PkgVersion
   4802.3 ms  ✓ OffsetArrays
   2789.0 ms  ✓ IterTools
   4987.5 ms  ✓ Format
   3389.3 ms  ✓ Preferences
   3713.0 ms  ✓ StructUtils
   2869.4 ms  ✓ OrderedCollections
   1700.7 ms  ✓ DataValueInterfaces
   2398.6 ms  ✓ Observables
   1774.1 ms  ✓ Reexport
   1910.0 ms  ✓ EnumX
   2332.3 ms  ✓ Requires
   1992.7 ms  ✓ StableRNGs
   1846.1 ms  ✓ Zlib_jll
   2921.6 ms  ✓ DocStringExtensions
   1928.2 ms  ✓ CompositionsBase
   3190.9 ms  ✓ AbstractTrees
   2594.4 ms  ✓ IntervalSets
   2172.7 ms  ✓ PtrArrays
   2608.4 ms  ✓ RoundingEmulator
   2138.3 ms  ✓ PCRE2_jll
   6787.2 ms  ✓ Distributed
   2294.3 ms  ✓ Ratios
   2695.6 ms  ✓ TranscodingStreams
   2585.7 ms  ✓ Inflate
   2090.1 ms  ✓ Adapt
   2105.7 ms  ✓ DataAPI
   2023.4 ms  ✓ StaticArraysCore
   2902.6 ms  ✓ ConstructionBase
   2342.2 ms  ✓ Scratch
   5801.6 ms  ✓ IrrationalConstants
   2310.9 ms  ✓ TableTraits
   2798.5 ms  ✓ MappedArrays
   2396.0 ms  ✓ NaNMath
   2709.5 ms  ✓ Primes
   5293.7 ms  ✓ UnicodeFun
  10000.3 ms  ✓ MacroTools
   2712.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2491.3 ms  ✓ Compat → CompatLinearAlgebraExt
   6095.4 ms  ✓ AdaptivePredicates
   2398.5 ms  ✓ StackViews
   2285.3 ms  ✓ PaddedViews
  13037.1 ms  ✓ BaseDirs
   2412.0 ms  ✓ ConstructionBase → ConstructionBaseIntervalSetsExt
   2410.2 ms  ✓ PrecompileTools
   2088.9 ms  ✓ LazyModules
   2370.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1912.6 ms  ✓ IntervalSets → IntervalSetsRandomExt
   3005.0 ms  ✓ ComputePipeline
   1997.6 ms  ✓ AliasTables
   2012.2 ms  ✓ Missings
   1890.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2106.7 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2613.4 ms  ✓ SharedArrays
   2356.5 ms  ✓ StructUtils → StructUtilsStaticArraysCoreExt
   1797.7 ms  ✓ RelocatableFolders
   2368.2 ms  ✓ JLLWrappers
   3203.5 ms  ✓ ProgressMeter
   2733.6 ms  ✓ LogExpFunctions
   2104.6 ms  ✓ MosaicViews
