nice: cannot set niceness: Permission denied
Precompiling packages...
   1716.3 ms  ✓ MozillaCACerts_jll
   1714.2 ms  ✓ Unicode
   1750.7 ms  ✓ OpenSSL_jll
   1719.6 ms  ✓ Logging
   1736.7 ms  ✓ UUIDs
   1726.8 ms  ✓ Zlib_jll
   1812.7 ms  ✓ nghttp2_jll
   1847.8 ms  ✓ CompilerSupportLibraries_jll
   1860.9 ms  ✓ NetworkOptions
   1940.2 ms  ✓ Base64
    552.8 ms  ✓ LibSSH2_jll
    719.4 ms  ✓ Printf
    589.5 ms  ✓ p7zip_jll
    475.2 ms  ✓ LibCURL_jll
    478.8 ms  ✓ LibGit2_jll
   3346.0 ms  ✓ ArgTools
    761.8 ms  ✓ LibCURL
    632.1 ms  ✓ Tar
   3014.9 ms  ✓ Dates
   3066.5 ms  ✓ LibGit2
    449.8 ms  ✓ TOML
   3090.8 ms  ✓ Downloads
   9466.4 ms  ✓ StyledStrings
   1733.2 ms  ✓ JuliaSyntaxHighlighting
   3883.0 ms  ✓ Markdown
  47801.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2387.9 ms  ✓ IteratorInterfaceExtensions
   2502.9 ms  ✓ RangeArrays
   2564.6 ms  ✓ LaTeXStrings
   2596.7 ms  ✓ IndirectArrays
   2660.7 ms  ✓ PolygonOps
   2800.0 ms  ✓ StatsAPI
   3078.6 ms  ✓ Contour
   3167.4 ms  ✓ TriplotBase
   3194.8 ms  ✓ TensorCore
   3301.6 ms  ✓ AbstractFFTs
   4177.0 ms  ✓ Gamma
   2626.8 ms  ✓ OpenLibm_jll
   2889.3 ms  ✓ IntegerMathUtils
   2697.8 ms  ✓ InverseFunctions
   5559.9 ms  ✓ FillArrays
   2789.7 ms  ✓ CommonSolve
   3328.6 ms  ✓ Statistics
   6073.4 ms  ✓ OffsetArrays
   3005.4 ms  ✓ SuiteSparse_jll
   3689.6 ms  ✓ Serialization
   3701.7 ms  ✓ IterTools
   7681.7 ms  ✓ Format
   2506.0 ms  ✓ DataValueInterfaces
   2403.5 ms  ✓ Reexport
   2790.7 ms  ✓ EnumX
   2913.0 ms  ✓ StableRNGs
   3301.7 ms  ✓ AbstractTrees
   9378.2 ms  ✓ CEnum
   3193.6 ms  ✓ IntervalSets
   2802.0 ms  ✓ RoundingEmulator
   3674.5 ms  ✓ DocStringExtensions
   5007.5 ms  ✓ Requires
   2479.3 ms  ✓ CompositionsBase
   2882.3 ms  ✓ Mmap
   2509.7 ms  ✓ PCRE2_jll
   2604.2 ms  ✓ PtrArrays
   3499.0 ms  ✓ TranscodingStreams
